url_code,time_utc,type,caption,likes,comments
CytaOSotJbV,2023-10-22 17:30:10,GraphImage,‘GLARING EXCEPTION’: The parents are taking action after the state banned them from using a faith-based curriculum. Link in bio.,6340,560
CytYF2YtPk3,2023-10-22 17:11:33,GraphImage,RIGHT ON TARGET: The force is specifically tasked with finding Hamas terrorists behind the Oct. 7 attack on Israel. Link in bio.,16643,1815
CytTWQZtsbR,2023-10-22 16:30:06,GraphImage,"WIN AGAINST TERROR: Strikes in Gaza killed dozens of Hamas targets throughout the night, Israel says. Get the latest at our link in bio.",34709,2160
CytM_RMxZHv,2023-10-22 15:34:32,GraphImage,‘I’M APPALLED’: See the video that has Emily Blunt eating crow at the link in bio.,3437,476
CytFtiJq2WA,2023-10-22 14:31:46,GraphVideo,WATCH: Veterans Joey Jones and Pete Hegseth break down what Israel’s ground invasion could look like.,3429,610
Cys-pIjNn_i,2023-10-22 13:29:10,GraphImage,"HOT TAKES: ""Maxim doesn't know what hot means or what a woman is."" Social media torches the outlet at the link in bio.",9389,3462
Cys3JwEtbI4,2023-10-22 12:23:43,GraphImage,‘INSANE DEALS’: Costco price tags apparently have hidden meanings. Link in bio.,3935,212
CysvDjAtW4i,2023-10-22 11:12:58,GraphImage,‘FRIENDS IN LOW PLACES’: The country power couple says they ‘fell more in love’ with the Carters when they started working together for Habitat for Humanity. Link in bio.,3448,371
CysmvIEtnmS,2023-10-22 10:00:16,GraphImage,END OF AN ERA: What you need to know before you shop at the link in bio.,4738,321
CysY_fJtKKv,2023-10-22 08:00:11,GraphImage,"BAD NEWS, JONES: The InfoWars host, who claimed the 2012 shooting was a hoax, was sentenced to pay more than $1.1B. Link in bio.",7229,1505
CysSHp7N0nt,2023-10-22 07:00:07,GraphImage,NO FREE SAMPLES: The wholesaler's CEO had modest beginnings with the big box retailer. Read his incredible rise at the link in bio.,2984,201
CysEY5cNnNM,2023-10-22 05:00:08,GraphImage,NOT SO GOLDEN: The Dem-run city's property problems explained at the link in bio.,11481,969
Cyr9id0tXDF,2023-10-22 04:00:17,GraphImage,WORK IT: Check out the unique gown at the link in bio.,4058,225
Cyr2qCZNrcP,2023-10-22 03:00:09,GraphImage,BAD COMPANY: The countries that grade on par with the US at the link in bio.,7073,630
