url_code,time_utc,type,caption,likes,comments
CytcAXVBCiM,2023-10-22 18:00:43,GraphImage,"Ending months of silence, George Santos began an unusual dialogue with a reporter he had long avoided.

In December, The New York Times published an exposé that revealed how the Republican congressman had falsified his background on the campaign trail. By now, the biographical fictions are well known: the jobs at Citigroup and Goldman Sachs that he never had, the Baruch and NYU degrees he never obtained and the volleyball team he never played on. There were also unresolved fraud charges in Brazil — a precursor to what would soon follow.

Santos now faces 23 felony counts — including 10 new ones added this month — for a variety of financial schemes, many of which involve his campaign. He has pleaded not guilty.

For nearly a year, Santos had avoided Times reporters — until recently. Tap the link in our bio to read about the on-the-record conversations between Santos and Grace Ashford, a Times reporter. Photo by @dontgabalot",10365,550
CytTG6Lrbuq,2023-10-22 16:29:29,GraphVideo,"The Israeli military carried out a rare airstrike on a mosque in the occupied West Bank overnight, killing at least two people in what Palestinian officials called a “dangerous escalation.”

The strike hit a mosque in the densely packed Palestinian refugee camp of Jenin in the northern West Bank. Israel’s military said it was targeting an underground “terror compound” beneath the mosque that it said was being used by Hamas and Islamic Jihad to organize an imminent attack. Lt. Col. Richard Hecht, an Israeli military spokesman, called the activity beneath the mosque a “ticking time bomb.” The claims had not been independently verified.

At least two people were killed and three others were injured, according to the Palestinian health ministry. Video from the scene showed significant damage to the mosque.

We’re covering the war live. Tap the link in our bio for the latest updates.",9944,2872
CytKJhhLpf_,2023-10-22 15:09:41,GraphSidecar,"Thousands gathered on Saturday afternoon in the Bay Ridge neighborhood of Brooklyn, home to the largest Palestinian community in New York, to protest the bombardment of Gaza. “It was very important to come and stand in solidarity with our brothers,” said Awni Shabayek, 38, a UPS driver who had come with his wife and three children from Easton, Pennsylvania. “It’s all we can do.”

The protest — one of several recent pro-Palestinian rallies in New York City — drew people of all ages. Vendors sold Palestinian flags and the scarf known as the keffiyeh on the sidelines of the march, which proceeded down the commercial thoroughfare of Fifth Avenue.

Read our live coverage of the war at the link in our bio. Photos by @ahmedgaaber",80585,5350
Cys_hkMhc5w,2023-10-22 13:40:31,GraphSidecar,"Despite the gray skies and light drizzle, costumed dogs strutted along for the Tompkins Square Halloween Dog Parade on Saturday as they have for more than three decades. But for the first time since the event’s inception, they had an official parade route.

What started as a small gathering of friends for Halloween has ballooned into a cornerstone of New York City’s spooky season, drawing thousands of spectators to the East Village. Though the parade was almost canceled because of financial constraints, about 15,000 people and more than 600 pups turned out for the annual event — nearly doubling last year’s attendance.

See more looks from this year's parade — and find out which pup’s costume took best in show — at the link in our bio. Photos by @jtaggfoto",34179,339
CyrWeWGBHDP,2023-10-21 22:20:52,GraphImage,"John Stamos is done with being someone’s idea of John Stamos.

In a new memoir, the actor who couldn’t shake his breakthrough role as Uncle Jesse on “Full House” talks about honesty, sobriety and his grief over Bob Saget’s death. The hardest stuff to write about, he said, was his eight years on “Full House.”

“It’s always killed me that that’s what everybody knew me from, that mullet-headed ding-dong,” he said in an interview with The New York Times.

Tap the link in our bio to read the full interview with @johnstamos. Photo by @strange.victory",30642,625
CyrLl_yuFln,2023-10-21 20:45:10,GraphVideo,"When Israel ordered the evacuation of northern Gaza, @samarabuelouf, a photographer for The New York Times, fled south to the city of Khan Younis. There, she found the same horror and grief she had seen in Gaza City. 

Tap the link in our bio to read the latest on the war.",18328,2454
Cyq_uh4u0G-,2023-10-21 19:00:08,GraphSidecar,"Members of Te Pati Maori, a New Zealand political party, are seeking to reclaim their Maori heritage and are using fashion to do it.

Some members wear Victorian clothes and jade jewelry, while others refuse to wear neckties. “When you want to get a message out fast, fashion is a way to do it,” said Debbie Ngarewa-Packer, the co-leader of Te Pati Maori, who has worn a high, vintage lace collar and a tophat — a reclamation of the era when her ancestors first engaged with the British, who began colonizing New Zealand in the early 1800s — to Parliament. About 17% of New Zealand’s population identifies as Maori. Te Pati Maori, a minority party, has proposed policy changes, including decoupling New Zealand from the British monarchy and enacting a wealth tax. But it has faced criticism from the right that it exhibits too much political showmanship with few concrete results.

Tap the link in our bio to read more about how Te Pati Maori is using fashion to make a political statement. Photos by @ruthmcdowall",18032,282
CyqwoKyrcgE,2023-10-21 16:48:12,GraphSidecar,"The recent opening of Akshardham Mahamandir in Robbinsville, New Jersey, was a historic moment for Hindus in New Jersey and beyond. The temple, about 15 years in the making, is believed to be the largest in the Western Hemisphere and is expected to draw religious pilgrims and tourists from all over the world. It has also been clouded in controversy.

Federal law enforcement agents raided the temple construction site in 2021 after workers accused the builders, a prominent Hindu sect with ties to Prime Minister Narendra Modi of India and his ruling party, of forced labor, low wages and poor working conditions. Their lawyers said workers who were Dalit, the lowest rung in India’s caste system, were specifically targeted. A federal criminal investigation is ongoing, as is a wage claim lawsuit.

In the meantime, the temple, which sits on 180 acres and includes 10,000 statues and spires nearly 200 feet tall, is attracting visitors by the thousands, some there to view the elaborate architecture and design, others for a more spiritual experience.

Take a look inside the temple and learn more about the controversy at the link in our bio. Photos by @hannah.beier",90795,1586
CyqqbT2rVnB,2023-10-21 15:54:32,GraphVideo,"A convoy of 20 trucks carrying aid moved through the Rafah border crossing into Gaza from Egypt on Saturday, according to the U.N., after days of diplomatic wrangling to get food, water and medicine into the blockaded enclave where supplies were running out and hospitals were nearing collapse.

Aid officials welcomed the breakthrough but warned that the trucks, which the U.N. said carried “lifesaving supplies,” were barely enough to start addressing the spiraling humanitarian crisis in Gaza.

This is a developing story. Tap the link in our bio for the latest updates on the war.",22107,2184
CyqUDcmOHtW,2023-10-21 13:00:46,GraphImage,The chicken-and-avocado filling for these Venezuelan-style Arepas is known as reina pepiada (or curvy queen). Get @chefrickmartinez's recipe at the link in bio. Photo by  @christophertestani with food styling by @simoncooks for @nytcooking,56805,620
Cyo_cbsJwos,2023-10-21 00:19:11,GraphSidecar,"Relatives of the camel and the alpaca, llamas are quiet, docile and sometimes affectionate, with soulful eyes and a huggable neck. Smaller than horses, they are easy to train, and their fiber is prized by knitters.

To owners in the Northeast, llamas can put on quite a show — and do a lot more.

In a three-day llama competition this month at the Eastern States Exposition, the Northeast’s biggest agricultural fair, there were 180 llamas entered in the show, an unusually high number. It was a testament to the growing enthusiasm for llama ownership in the region, where smaller farms, rocky terrain and a cool climate are a good match for the animal, which is native to the Andes Mountains in South America.

Tap the link in our bio to read more from the fair and to learn about how llamas are becoming more popular. Photos by @pet__fish",23131,232
CyozBSQrgf0,2023-10-20 22:30:37,GraphSidecar,"The days when hair wasn’t meant to take attention from clothes, for the most part, are over. 

After witnessing what appeared to be a total democratization of hairstyles at fashion weeks in February and March, the photographer @simbarashecha was interested to see what cuts and colors might emerge in the crowds during the latest fashion month, which started in September in New York and ended in early October in Paris.

Some of the most notable styles included streaked or individually dyed braids and choppy bowl cuts with layered colors. Fiery orange appeared to be the hue of the season. And a dominant styling trend was a just-out-of-the-shower wet look, which gave a slickness to heads both on and off the runway.

Tap the link in our bio for a deeper look inside this hairy situation and see more looks from this fall’s fashion weeks.",24239,295
CyorMwzyqf3,2023-10-20 21:22:17,GraphImage,"People who regularly eat red meat may have a higher risk of Type 2 diabetes later in life, according to a new study. Those who often consume processed meats, like bacon, hot dogs and lunch meat, have an even greater risk.

The study’s findings suggest that small dietary changes could make an impact. Read more about tie between red meat and Type 2 diabetes risk at the link in our bio.",25257,1243
Cyonjb2OzVm,2023-10-20 20:51:06,GraphVideo,"More than a week after Gaza’s only power station ran out of fuel, people from all over the territory have come to one of the very few places where they can still charge batteries for their phones, lights and essential medical equipment: a hospital run by the Red Crescent in Khan Younis. Like other health facilities in the territory, it relies on its own generators for electricity.

The humanitarian situation in Gaza is becoming increasingly desperate. Supplies including drinkable water and bread are rapidly dwindling, and daily airstrikes have made it critical to stay connected.

Tap the link in our bio for the latest updates on the war. Video by Soliman Hijjy, Mark Boyer and Neil Collier for The New York Times",19375,2229
Cyog9C_y6Sd,2023-10-20 19:52:45,GraphImage,"Hamas on Friday released two American hostages, a mother and daughter, who were being held in Gaza. The Israeli military received them at the border and took them to an army base in central Israel to be reunited with family members, according to statements released by Hamas and the Israeli government.

The Israeli Embassy in Washington, D.C., identified the released hostages as Judith Raanan, 59, and her daughter Natalie Raanan, 17. It said they were kidnapped during the attack on Kibbutz Nahal Oz.

Tap the link in our bio to read more about the release of the Americans and to see the latest updates on the Israel-Hamas war.",22276,2028
