owner_username,url_code,time_utc,type,caption,likes,comments
Axios,CytP94SyHco,2023-10-22 16:00:58,GraphImage,"💀 There's a new way to describe something funny on social media: ""IJBOL,"" or ""I just burst out laughing.""⁠
⁠
Why it matters: People online constantly look for ways to express exactly how they are responding to content, MaryLeigh Bliss, the chief content officer for youth research organization YPulse, told Axios.⁠
⁠
• ""Since the beginning of communicating through chat, which is what Millennials grew up doing, we've been looking for ways to communicate this incredibly physical reaction to what we're experiencing, seeing, reading,"" she said.⁠
⁠
Context: Young people are spending more time than anyone else on their phones, Bliss said. As a result, they have to convey the wide range of human experiences in text-based communication.⁠
⁠
• ""It's all rooted in the amount of time that they are living online,"" she said.⁠
⁠
❓How do you say something was funny over text?",834,32
Axios,Cyq46SuylV9,2023-10-21 18:00:38,GraphSidecar,"🎃 Spooky creatures and urban legends are part of what makes Halloween special. This year, the Axios Visuals team gathered 16 of the creepiest cryptids into a bracket.⁠
⁠
What's happening: We want you to vote for your favorite creature! The winner will be revealed on Halloween.⁠
⁠
Explore the cryptids and vote for your favorite at the link in our bio. The first round will close at 10am ET on Oct. 23.⁠
⁠
🎨 Graphic: Sara Wise/Axios; Illustrations: Allie Carl, Brendan Lynch, Lindsey Bailey, Maura Losch and Sarah Grillo/Axios",964,33
Axios,CyqrsFOyciP,2023-10-21 16:05:12,GraphImage,"📉 The U.S. is failing less-educated people given the dismal life expectancy prospects they face compared to their more educated peers, researchers said.⁠
⁠
Why it matters: While the U.S. economy outperforms other countries by metrics such as economic growth and inflation rates, two prominent economists argue the life expectancy gap says otherwise.⁠
⁠
""The United States is failing its less-educated people, an awful condemnation of where the country is today,"" Princeton University economists Anne Case and Angus Deaton wrote in a opinion piece for the New York Times this month.⁠
⁠
By the numbers: In 2021, the life expectancy for people without a Bachelor's degree was about 75, compared to 83 for those with degrees, according to the research.",2095,88
Axios,CyqbnuXrWrG,2023-10-21 13:45:14,GraphVideo,"👩‍💻 Creators have begun using generative AI tools like ChatGPT and Midjourney to create videos of the dead, even in cases where they never gave consent.

Why it matters: Surviving relatives and fans could find solace in AI recreations of their loved ones, but the practice also raises a host of privacy and consent issues.

What do you think of these kinds of recreations? Let us know in the comments below.

Video: Emma McIntyre, John Mcbride, Maciej Frolow, Lighthouse Films all via Getty Images",75,4
Axios,CyojZLBRsna,2023-10-20 20:26:06,GraphVideo,"🏡 Many young people across the U.S. can’t afford to buy homes without major budget changes or help from family.

Why it matters: A Redfin report on “nepo-homebuyers” found 38% of recent buyers under age 30 received family money in order to afford their down payment.

Nearly three-quarters of aspiring homebuyers say affordability is the No. 1 obstacle to owning a house, per a Bankrate study.

Credit: WW News, Hal Bergman, Feverpitched / All via Getty Images",241,3
Axios,CyohP6rJVZ8,2023-10-20 19:55:20,GraphImage,"The judge overseeing former President Trump's New York civil fraud trial fined the former president $5,000 on Friday for violating his gag order, according to a court filing.

Why it matters: Judge Arthur Engoron did not hold Trump in contempt as he threatened earlier on Friday, but said that ""future violations, whether intentional or unintentional,"" could result in possible jail time or steeper financial penalties.

The big picture: Engoron earlier on Friday said that a Truth Social post attacking his law clerk remained accessible on Trump's campaign site for more than two weeks, despite an order to remove the post earlier this month.

• ""I learned that the subject post was never removed from the website,"" Engoron said in court Friday, per CNN. The judge added that the post was removed only after the court emailed Trump's legal team late Thursday.

• ""I will now provide defendants an opportunity to explain why this blatant violation of this gag order should not result in serious sanctions including financial penalties… and or possibly imprisonment.""

• Trump's attorney apologized and said the violation was ""inadvertent.""

🔗 Read more at the link in our bio. 

📸: Michael M. Santiago/Getty",3616,276
Axios,CyobCe3SkR7,2023-10-20 19:01:08,GraphSidecar,"The cities with the highest firearm homicide rates are clustered in the South, generally in red states with less restrictive gun laws, according to an analysis by the left-leaning Center for American Progress Action Fund provided exclusively to Axios.⁠
⁠
Why it matters: The report argues that the findings refute Republican narratives that progressive policies stoke more crime in cities.⁠
⁠
• In fact, there's a distinct gap between urban firearm homicide rates in blue states — which tend to have stronger gun safety laws — and those in red states, the report concludes.⁠
⁠
•The analysis used data from the Gun Violence Archive on the 300 most populous U.S. cities.⁠
⁠
• It comes amid a growing push to treat gun violence as a public health crisis, including New Mexico's controversial use of a public health order to ban open and concealed carry.⁠
⁠
What they're saying: The analysis shows ""we're really seeing two different Americas when it comes to gun violence,"" said Chandler Hall, the report's author and a senior policy analyst at CAP.⁠
⁠
🔗 Explore an interactive map of the data at the link in our bio.",2229,293
Axios,CyoTiwcJOxg,2023-10-20 17:55:34,GraphImage,"UPDATE: House Republicans removed Jim Jordan as speaker nominee in a closed-door vote on Friday afternoon. 

House Republicans will restart the nominee process with a candidate forum on Monday, with a vote expected on Tuesday.

Original caption below. 👇
--------
House Judiciary Chair Jim Jordan (R-Ohio) lost additional support on the third ballot for the speaker's gavel on Friday, adding to the narrative that his effort is a zombie campaign.

Why it matters: Some House Republicans are growing impatient and saying they don’t want a repeat of the 15 ballots it took to elect former Speaker Kevin McCarthy in January.

Driving the news: 25 House Republicans voted for candidates other than Jordan on the third ballot, compared to 22 on the second ballot and 20 on the first.

• All House Democrats voted for Minority Leader Hakeem Jeffries (D-N.Y.), as they have on every ballot in 2023.

Between the lines: Multiple GOP lawmakers told Axios they expect members to keep abandoning Jordan on each future ballot.

• ""We love this institution and to the people who are here to kind of burn it down, take it back to its you know its foundations, that's just not acceptable to us,"" Rep. Steve Womack (Ark.) told Axios.

• ""Once you flip against Jordan, why would you ever flip back to Jordan because you're already taking all the ire from the base?"" another House Republican told Axios.

🔗 Read more at the link in our bio.

Editor's note: We reposted this chart to show the ballots in chronological order.",1217,63
Axios,Cynw3YkOsGY,2023-10-20 12:52:33,GraphSidecar,"🌐 Never before have we talked to so many top government officials who, in private, are so worried about so many overseas conflicts at once, Axios CEO Jim VandeHei and co-founder Mike Allen write in their new column, “Behind the Curtain.""

Why it matters: We don't like to sound dire. But to sound a siren of clinical, clear-eyed realism: U.S. officials say this confluence of crises poses epic concern and historic danger.

Behind the scenes: Officials tell us that inside the White House, this was the heaviest, most chilling week since President Biden took office just over 1,000 days ago.

• Former Defense Secretary Bob Gates — who ran the Pentagon under presidents of both parties, George W. Bush and Barack Obama — tells us America is facing the most crises since World War II ended 78 years ago. 

• He explains the White House's system overload like this: ""There's this gigantic funnel that sits over the table in the Situation Room. And all the problems in the world end up coming through that funnel to the same eight or 10 people. There's a limit to the bandwidth those eight or 10 people can have."" 

🔗 Tap the link in our bio to read more about the five war threats that could spiral into something much bigger.

📝 Editor's note: ""Behind the Curtain"" is a new column by Axios CEO Jim VandeHei and co-founder Mike Allen, based on regular conversations with White House and congressional leaders, CEOs, and top technologists.",2881,155
Axios,CyltphOukUI,2023-10-19 17:49:24,GraphVideo,"As Ozempic and similar weight loss drugs become more popular, Americans might start buying less food, particularly high-calorie snacks and fast food.

Why it matters: That could radically reshape the food industry.

Ozempic is approved by the FDA to treat diabetes but is also prescribed for off-label use by doctors for obesity.

Driving the news: Walmart’s U.S. CEO told Bloomberg that customers taking Ozempic buy less food. Walmart mined its own pharmacy and grocery data to pinpoint customer buying patterns, per Bloomberg.

Credit: Curt Walheim, Photo and Co, Imyskin, Bdoganay, Imazins, Image Bank Film all via Getty Images",291,7
