owner_username,url_code,time_utc,type,caption,likes,comments
FoxNews,Cyvt2CutCkm,2023-10-23 15:00:06,GraphImage,‘NEVER GIVE UP HOPE’: Alice Johnson is spreading her message as a free woman after spending over 21 years in prison. Link in bio.,6779,385
FoxNews,CyvnBJktYMk,2023-10-23 14:01:05,GraphVideo,DEATH SQUADS: Israel releases unedited video of Hamas terror attack to counter 'Holocaust denial-like phenomenon.',10306,1842
FoxNews,CyvgHOeNEDf,2023-10-23 13:00:07,GraphImage,‘YA’LL ARE F--- UPS’: Hear the leaked audio at the link in bio.,6110,1546
FoxNews,CyvZP65NiUo,2023-10-23 12:00:09,GraphImage,'BAD BLOOD': The reason Swifties don't want Jackson Mahomes around the global superstar at the link in our bio.,29242,1990
FoxNews,CyvSYpGRYOw,2023-10-23 11:00:10,GraphImage,REALITY CHECK: The State of Israel issued a scathing response to the climate activist's pro-Palestine post after thousands were brutally murdered by Hamas terrorists in Israel. Link in bio.,18983,3402
FoxNews,CyvLhxjRE6Y,2023-10-23 10:00:15,GraphImage,MAD MODEL: The ‘90s icon breaks down why she doesn’t like filters and retouching at the link in bio.,2220,182
FoxNews,Cyu9yrHxXYs,2023-10-23 08:00:13,GraphImage,"BACKTRACKING: Paddy Cosgrave apologized, saying he had “become a distraction” due to his comments. Link in bio.",6111,1078
FoxNews,Cyu260ONCHA,2023-10-23 07:00:09,GraphImage,NO SLEEP: You can book your dream vacation on the app without going over your budget. Link in bio.,2018,141
FoxNews,CyuwDGNtbtP,2023-10-23 06:00:07,GraphImage,‘IS THIS A JOKE?’ The union told members not to dress as several iconic characters including Spider-Man and Barbie. Read the rules at our link in bio.,4097,256
FoxNews,CyuiUSits6E,2023-10-23 04:00:08,GraphImage,COLD-BLOODED: The conman reportedly ate expensive meals before pulling the ruse. Link in bio.,4697,236
FoxNews,CyubdMINuBA,2023-10-23 03:00:11,GraphImage,MOTHER AND SON: The “Believe” singer says there was one thing that would never change – her “abiding love” for her child. Link in bio.,4356,1284
FoxNews,CyuUmk1NJZk,2023-10-23 02:00:18,GraphImage,BABY FEVER: Christian McCaffrey and Olivia Culpo got engaged this spring and are eager to have kids as soon as they're married. Link in bio.,9272,198
FoxNews,CyuNuONyHPG,2023-10-23 01:00:11,GraphImage,RECORD NUMBERS: The country where the majority of these illegal border crossings hailed from in September is at the link in bio.,26204,1690
FoxNews,CyuG2yHuTj8,2023-10-23 00:00:11,GraphImage,‘SADDENED AND HORRIFIED’: Samantha Woll is remembered as a “light upon” her community at the link in bio.,10263,1628
