owner_username,url_code,time_utc,type,caption,likes,comments
Tabletmag,CyWAUO7NDJm,2023-10-13 15:21:15,GraphSidecar,"None of the horrors you are witnessing this week—not the massacre of Jews, not the betrayal by public figures and popular activist movements, not the moral insanity of our universities and cultural spaces—happened by accident.⁠
⁠
Head to link in bio to read.",2344,125
Tabletmag,CyOV75VsdX8,2023-10-10 15:56:15,GraphSidecar,"Be decent. Stand with the Jewish people in your lives.⁠
⁠
Head to link in bio to read.",35269,1336
Tabletmag,CywLDuSNT4W,2023-10-23 19:15:23,GraphSidecar,"""For the dead and the living, we must bear witness.” ― Elie Wiesel⁠
⁠
Reporting here sourced from David Patrikarakos and Carrie Keller-Lynn (@cjkeller8.) Head to link in bio to listen to firsthand survivor testimonies from the October 7 massacre.",4062,145
Tabletmag,Cyv00Vxsewh,2023-10-23 16:01:32,GraphImage,"How things go these days. 

Link in bio to subscribe to the Scroll, our daily afternoon newsletter, where we're sharing updates and information each day about the developing war in Israel, taking the rare journalistic step of using sources beyond Hamas.",2275,96
Tabletmag,CyvoP4zt_UH,2023-10-23 14:11:12,GraphSidecar,"With Hamas’ massacre of Israeli civilians, and the certainty of a massive Israeli ground invasion to follow, it seemed like Cairo would once again become a desired partner to bring stability and peace to the region—in return for much-needed financial assistance of course.⁠
⁠
Instead, with many innocent Palestinian lives at stake, Egypt has strongly and consistently rejected the opportunity to play a constructive role in a major regional crisis.⁠
⁠
Head to link in bio to read.",1806,54
Tabletmag,CyoGgiUsNoE,2023-10-20 16:01:42,GraphSidecar,"Two years ago, I was waking up to the apathy of the same left which claims to care about marginalized groups and claims to “uplift” their voices; validate their truths; dismantle the systems that oppress them. And now we are waking up to an even starker truth: that millions of people love dead Jews and can’t stand living ones.⁠
⁠
Head to link in bio to read.",8406,369
Tabletmag,Cyn6TLvradL,2023-10-20 14:15:51,GraphVideo,"Outside the Tel Aviv Museum of Art, the ‘Empty Shabbat Table’

The exhibit features 203 empty seats for the 203 hostages being held in Gaza. 

Video from @/yaelbt on Twitter/X",1991,58
Tabletmag,Cyl4qR4Ad3U,2023-10-19 19:22:14,GraphSidecar,"""Today, to be a Jewish student is to be alone. In the wake of Hamas’ devastating attack on Israel in which it brutally massacred over 1,000 Israeli civilians, American universities have proven to be treacherous environments for Jews.⁠
⁠
""What has been often overlooked by observers of these events, however, is the culpability of the universities themselves. The antisemitism of my classmates did not develop in a vacuum. It is the result of obfuscations by our professors, many of whom have portrayed Hamas as merely a ‘resistance group,’ as well as the refusal of our universities to denounce the terror.""⁠
⁠
Head to link in bio to read.",2586,71
Tabletmag,CylhqUoshm5,2023-10-19 16:04:06,GraphVideo,"Israeli soldiers sing Vehi Sheamda, a passage traditionally said during the Passover seder.⁠
⁠
""And it is this (the Torah) that has stood by our ancestors and for us. For not only one enemy has risen up against us to destroy us, but in every generation they rise up to destroy us. But the Holy One, Blessed be He, delivers us from their hands.""⁠
⁠
Video from @/barzafrani on TikTok.",4443,144
Tabletmag,CylQ8rWuM-n,2023-10-19 13:35:12,GraphSidecar,"""I want to say this to you, my Jewish friends: Nothing is too much in the hands of God. So chazak, chazak, ve’nitchazek—we’re strong, but together, and with God’s help, we’ll grow even stronger.""⁠
⁠
Pastor Michael Fisher with a message of unity. Head to link in bio to read.",2408,70
