owner_username,url_code,time_utc,type,caption,likes,comments
BBCNews,Cy1Fb1stFZ9,2023-10-25 17:02:25,GraphSidecar,"Four UK astronauts could soon be heading into orbit on an all-British mission. 🧑‍🚀🇬🇧
 
Tim Peake- the last Brit to go into space in 2015- said it is ""an exciting opportunity"".
 
""No-one has done a 'national mission', commercially, like this before.""
 
Houston-based Axiom has signed an agreement with the UK Space Agency to try to make it happen.
 
The project would probably cost £200m or more, but the idea is that it would be funded commercially.
 
Tap the link in @BBCNews’s bio to find out more about the mission.
 
(Images: NASA/Reuters/Getty)
 
#Nasa #ISS #Astronauts  #BBCNews",7082,395
BBCNews,Cy058jUsE6g,2023-10-25 15:25:07,GraphVideo,"Palestinian Prime Minister Mohammad Shtayyeh, who is based in the occupied West Bank, spoke to BBC News from the city of Ramallah.
 
Tap the link in @BBCNews ‘s bio for the latest developments from Israel and Gaza.",26810,3502
BBCNews,Cy0nYVYtr--,2023-10-25 12:39:48,GraphImage,"Daniel Radcliffe will produce a documentary about his Harry Potter stunt double, who was paralysed while filming.

David Holmes sustained a spinal injury during a stunt rehearsal in 2009 which changed his ""life forever"".

""Being a stuntman was my calling in life, and doubling Harry was the best job in the world,"" David says.

The HBO documentary, The Boy Who Lived, will feature interviews from both, as well as footage from David's stunts.

The pair had been working together since the first film, when Daniel was 11.

Tap the link in @BBCNews’s bio to read when the documentary will be available to stream.

(📷Sky)

#HarryPotter #DanielRadcliffe #BBCNews",107605,570
BBCNews,Cy0SDwctTZZ,2023-10-25 09:33:29,GraphSidecar,"Celebrity bodybuilder, Hollywood action hero, Republican Party governor of California and climate campaigner - Arnold Schwarzenegger really is a jack of all trades.

But, despite all his achievements, he will never be the president of the United States. Anyone holding that office must be a natural-born citizen, the US constitution states. 

But the seven-time winner of Mr Olympia and four-time Mr Universe, who was born in Austria, is not going to complain about that.

“Everything I've accomplished was because of America,"" he says.

As he promotes his new book Be Useful: Seven Tools for Life, the 76-year-old reflects on his career and talks about his ""new dreams"" and ""new goals"". 

Tap the link in @BBCNews’s bio to find out why he has not fully given up on the role of US president. 

(📷 Getty/ Reuters/PA)

#ArnoldSchwarzenegger #US #BBCNews",55854,2228
BBCNews,Cyz6Vmps5zj,2023-10-25 06:07:00,GraphVideo,"Tens of thousands of women in Iceland, including the prime minister, have refused to work.
 
The “kvennafrí”, or women’s day off, has been called in protest of the gender pay gap and gender-based violence in the country.
 
Tap the link in @BBCNews’s to find out when the last strike was held.
 
#Iceland #GenderPayGap #BBCNews",28319,1724
BBCNews,Cyy-JalsKuC,2023-10-24 21:20:15,GraphSidecar,"""Passion is what separates the good from the great.""
 
On an emotional night, a wreath was placed on Sir Bobby Charlton's seat in the directors' box as Manchester United played at Old Trafford for the first time since his passing.
 
Before kick-off, two black and white images of the England 1966 World Cup winner looked down from entrance at Old Trafford next to the words 'Sir Bobby Charlton 1937-2023 Forever Loved.'
 
Inside Old Trafford, the stadium announcer urged supporters to take their seats well before kick-off as there would be a pre-match tribute to ""one of the greatest players there has ever been.""
 
Tap the link in @BBCNews's bio to see more moving messages from fans.
 
#SirBobbyCharlton #ManchesterUnited #BBCNews",15666,523
BBCNews,CyyxWcdPSst,2023-10-24 19:28:39,GraphVideo,"The Israeli military has dropped leaflets in southern Gaza to ask for information about hostages being held by Hamas. 

Tap the link in @BBCNews’s bio for the latest on the relief efforts in Gaza. 
 
#Israel #Gaza #BBCNews",29699,5873
BBCNews,CyyqyaduRF-,2023-10-24 18:31:06,GraphImage,"An 85-year-old grandmother and peace activist who was released from hostage by Hamas has described her captivity.

Yocheved Lifschitz was released on Monday, alongside Nurit Cooper, 79,  after two weeks in captivity.

Ms Lifschitz and her husband were kidnapped by Hamas gunmen on motorbikes and taken into a ""spider's web"" of tunnels underneath Gaza, she said.

She described being hit by sticks on the journey, but said most of the hostages were being ""treated well"".

Tap the link in our bio to find out what else the 85-year-old said.

(📷 Reuters)

#Israel #Gaza #BBCNews",48886,40698
BBCNews,CyyflpbsNaR,2023-10-24 16:54:00,GraphVideo,"“It’s time to actually find myself.”
 
Britney Spears’ new tell-all memoir - The Woman In Me - has been published. 
 
The singer writes about her 13-year conservatorship, her relationship with Justin Timberlake and the scrutiny and struggles she faced throughout her music career. 
 
Tap the link in @BBCNews’s bio to find out if she has plans to make new music. 
 
#BritneySpears #BBCNews",25111,536
BBCNews,CyyawdeIgyx,2023-10-24 16:11:01,GraphSidecar,"Human faces carved into rock more than 1,000 years ago have been revealed after a drop in water levels of Brazil’s Amazon.

A severe drought in the area means that the faces carved into rocks on the shore can now be easily spotted.

Some had been sighted during a previous drought, but archaeologists say they have been able to locate a greater variety of the carvings this time.

""What we're seeing here are representations of anthropomorphic figures,"" archaeologist Jaime Oliveira said.

Tap the link in our bio to find out who are thought to be behind the carvings.

(📷 Reuters) 

#Archaeology #Brazil #BBCNews",66149,638
BBCNews,CyyPCa4Mp1s,2023-10-24 14:30:00,GraphVideo,"“Why is nothing being done? Why?”

 A website promoting suicide has been connected to at least 50 UK deaths.

 Families of the dead are speaking out because they want the online forum, which we're not naming, to be shut down.

Tap the link in @BBCNews’s bio to read more from our investigation.

 #OnlineSafety #BBCNews",8063,0
BBCNews,Cyx9MZAs1AZ,2023-10-24 11:52:41,GraphSidecar,"What do K-Pop, Glasgow and Texas have in common?
 
STAYC.
 
The K-Pop band were performing in Dallas, where instead of wearing local baseball team Texas Rangers tops, they appeared in 1990s kits worn by Scottish football team Glasgow Rangers.
 
Glasgow Rangers fans seemed happy about the mixup, with one fan saying that ""Rangers are the kings of K-Pop"".
 
Tap the link in @BBCNews's story to read where else Scottish retro jerseys have popped up unexpectedly in K-Pop.
 
(📷 Robert Babble/ Getty)
 
#GlasgowRangers #TexasRangers #STAYC #BBCNews",22203,805
BBCNews,CyxxVP3tDIE,2023-10-24 10:09:02,GraphSidecar,"A French museum is working on an “urgent” fix of a waxwork of Dwayne ""The Rock” Johnson, after he complained about it.

Fans of the actor and wrestler accused the creator of ""whitewashing"" the star, who has dual heritage.

The Rock then called on the museum to “update” his waxwork “starting with my skin colour”.

Museum director Yves Delhommeau has since said his staff planned to work ""all night"" to bring the waxwork in line with ""fans' expectations"".

He also blamed the model's skin tone on a ""lighting issue"" and said it would be addressed.

The Rock was born in California to a black Nova Scotian father and Samoan mother, and his dad was part of the first black tag team to win a WWE wrestling championship.

Tap the link in @BBCNews’s bio to find out what else The Rock had to say.

(📷 Getty, Reuters)

#BBCNews",62858,1475
BBCNews,CyxmFewN3W_,2023-10-24 08:30:46,GraphSidecar,"Tens of thousands of women in Iceland are refusing to work on Tuesday, including the country’s prime minister.

The ""kvennafrí"", or women's day off, has been called in protest at the gender pay gap and gender-based violence.

It marks the first full-day women's strike in the country since 1975, and women and non-binary people have been urged to refuse paid and unpaid work, including household chores.

Fields in which women form the majority of workers, such as healthcare and education, are especially affected.

Tap the link in @BBCNews’s bio to find out what happened after the last women’s strike.

(📷 Reuters)

#Iceland #BBCNews",95419,1903
BBCNews,CywCg_BJhdj,2023-10-23 18:00:43,GraphImage,"""Why should [people] hand over their hard-earned money when the wealthy don't?”

Billionaires should face a minimum tax rate, a new report has suggested.

According to the EU Tax Observatory research lab, some of the world’s mega-wealthy are paying little to no tax.

They said most people pay a higher rate than the super-rich, and suggested a minimum 2% tax rate on billionaires' global wealth would raise $250bn (£205bn) a year.

Globally, there are around 2,500 billionaires with a combined wealth of $13 trillion, but thanks to the use of shell companies, billionaires are able to get away with paying tax rates equal to 0% or 0.5% of their wealth.

Tap the link in @BBCNews’s bio to find out which billionaires have agreed to give the majority of their wealth away.

(📷 Getty)

#Billionaires #BBCNews",33150,1759
BBCNews,Cyv6bTRsxQM,2023-10-23 16:50:01,GraphImage,"Would you swipe right for this feature?
 
Dating can be a social minefield, and there can be pressure to win the approval of your partner’s friends and family.
 
But dating app Tinder has taken it one step further, by letting friends and family of users recommend matches.
 
As part of the new Tinder Matchmaker feature, users will be able to give others access to their account for 24 hours, so they can recommend matches.
 
But, despite a dating expert warning about privacy concerns, Tinder says it makes dating a ""team sport” and is rolling the feature out in 15 countries including the UK and US.
 
Tap the link in our bio to find out how it all works.
 
(📷 Reuters)
 
#Dating #Tinder #BBCNews",58087,1483
BBCNews,Cyv2Wkhr4wB,2023-10-23 16:14:25,GraphSidecar,"Get your skel-phones out because these costumes are impressive ... 💀

Mexicans have been taking part in the Parade of the Catrinas, a lively procession of skeletons through Mexico City as they prepare to mark the Day of the Dead.

Many were made up to look like La Catrina, the name given to an elegant skeletal figure popular in Mexican culture.

Día de los Muertos, or Day of the Dead, is a pre-Hispanic celebration of the cycle of life and death and takes place every year on 1 and 2 November.

Tap the link in @BBCNews's bio to see what flowers are believed to attract the souls of the dead with their scent.

(EPA)

#DiaDeLosMuertos #DayOfTheDead #Mexico #BBCNews",32202,725
BBCNews,Cyvs-1kLXfV,2023-10-23 14:52:32,GraphSidecar,"""Despite outliving every dog in history, his 11,478 days on earth would never be enough, for those who loved him.”

Bobi, the world’s oldest dog, has died at the age of 31 years, and 165 days.

He became the world’s oldest living dog and the oldest dog ever in February, beating an almost century-old record for the latter.

Bobi lived his whole life with the Costa family in the village of Conqueiros, near Portugal's west coast.

Tap the link in @BBCNews’s bio to find out what Mr Costa thinks was Bobi's secret to his long life.

(📷 Getty)

#GuinessWorldRecords #BBCNews",267869,2440
BBCNews,CyvixCwtxBA,2023-10-23 13:23:16,GraphSidecar,"“This worker has done some real damage here.”

A video appearing to show a worker urinating into a tank containing beer has gone viral on Chinese social media.

Authorities in China are investigating after the man allegedly urinated into the tank of Tsingtao beer, after the clip racked up tens of millions of views online.

Tsingtao is one of China's top beer producers and its biggest exporter. 

Shares in Tsingtao Brewery fell sharply when the Shanghai Stock Exchange opened.

Tap the link in @BBCNews’s bio to find out what happened to the contaminated batch.

(📷 Getty, Weibo)

#Tsingtao #BBCNews",119299,3495
BBCNews,CyvV0ItrGVI,2023-10-23 11:30:06,GraphSidecar,"A new collectable coin celebrating The Snowman has been launched by the Royal Mint.

The design retells Raymond Briggs' classic children's book about James, a young boy who builds a snowman that comes to life.

First published in 1978, The Snowman has sold more than 5.5 million copies around the world.

Tap the link in @BBCNews's bio to find out why this coin is extra special. 

 (📷 Royal Mint)

#RoyalMint #TheSnowman #BBCNews",52368,635
BBCNews,CyvOEfOLlkm,2023-10-23 10:22:35,GraphVideo,"This will give you pumpkin to talk about ... 🎃🎃🎃
 
There were thrills and spills as kayakers carved boats out of giant pumpkins for an annual competition in Kasterlee, near the Belgian city of Antwerp.

Tap the link in @BBCNews's bio for ideas on what to do with your leftover pumpkins. 

#Pumpkin #Antwerp #Belgium #BBCNews",16946,602
BBCNews,CyvJYA3R0B2,2023-10-23 09:41:25,GraphImage,"British actress Emily Blunt has apologised after an interview where she mentions a server's appearance resurfaced on social media.

In the clip from the The Jonathan Ross Show, first aired in 2012, she described a waitress as ""enormous"".

The video was widely shared online this week, with some criticising Emily for being ""fatphobic"".

The star has since said she was ""appalled"" to have said ""something so insensitive"" and ""hurtful"".

Tap the link in @BBCNews's bio to read what Jonathan and Emily were talking about on the show. 

#EmilyBlunt #JonathanRoss #BBCNews",29813,1888
BBCNews,Cytak_KMvHz,2023-10-22 17:35:27,GraphVideo,"Thousands of people are living in tents in this Gaza camp.
 
The BBC’s Rushdi Abualouf says 2,000 families are struggling to find water, food and bathrooms, and there is very little medication for those who need it.
 
Tap the link in @BBCNews’s bio for the latest updates on the Israel-Hamas war.
 
#Israel #Gaza #BBCNews",17325,7204
BBCNews,CytKvIgKCJQ,2023-10-22 15:14:50,GraphImage,"The Bombay sandwich (it's never referred to by the modern name Mumbai) follows a fairly simple recipe.

Boiled potatoes, along with raw vegetables like onions, cucumber, tomato and peppers, are placed between richly buttered slices of bread – always plain white – and liberally slathered with chutney. 

In recent times, a generous sprinkling of grated cheese is also added to the mix.

But how did this simple sandwich come to be a staple of Mumbai's street food scene?

Tap the link in @BBCNews's bio to find out.

#BombaySandwich #BBCNews",46090,937
BBCNews,Cys-LGSMWT8,2023-10-22 13:26:51,GraphVideo,"Naftali Bennett, the former Prime Minister of Israel, has warned that “radical Islam [and] terror would hit everywhere”.
 
Tap the link in @BBCNews’s bio for the latest updates on the Israel-Hamas war.
 
#Israel #NaftaliBennett #Gaza #GazaStrip #BBCNews",32276,12412
BBCNews,Cysod2_qlr5,2023-10-22 10:15:22,GraphSidecar,"The steely gaze of this endangered tigress has won the 2023 Mangrove Photography Awards. 🐯

Soham Bhattacharyya captured the tigress peering at him in the Sundarbans Biosphere Reserve, India. 

""The images from this year captivated our imagination... giving us hope and illuminating a positive future for mangrove ecosystems,"" said one judge. 

The competition highlights the relationship between wildfire, coastal communities and mangrove forests. 

Mangroves play an important role in protecting against climate change with their ability to absorb carbon dioxide. 

Tap the link in our @BBCNews’s bio to see some of the other award-winning images. 

(1 📷: Soham Bhattacharyya)
(2 📷: Cristiano Martins Xavier)
(3 📷: Chien C. Lee)
(4 📷: Mark Ian Cook)
(5 📷: Emanuele Biggi)
(6 📷: Gerdie Hutomo)
(7 📷: Anita Kainrath)
(8 📷: Brooke Pyke)
(9 📷: Kris Pannecoucke)
(10 📷: Phan Thi Khanh)

#MangroveForests #PhotographyAwards #MangrovePhotographyAwards #BBCNews",73259,555
BBCNews,Cysa41Bqdzu,2023-10-22 08:16:43,GraphSidecar,"“We played every parking lot, every venue, but no-one wanted to sign us.""

Grammy nominees Haim have reflected on their success as they look back over a decade of ""trial and error"".

This year marks the 10th birthday of their debut album Days Are Gone, with an anniversary edition pushing it back into the Top 40.

From dropping out of college to working jobs on the side, it hasn't always been easy. 

Tap the link in @BBCNews's bio to read what they learned on their way to the top. 

(📷 Getty)

#Haim #TaylorSwift #BBCNews",28467,601
BBCNews,CyqrXQKKtLm,2023-10-21 16:02:12,GraphSidecar,"Manchester United legend Sir Bobby Charlton, a key figure in England's 1966 World Cup victory, has died at the age of 86. 

Sir Bobby won 106 caps for England and scored 49 international goals - records for his country at the time.

With his trademark explosive shooting, Charlton became one of the finest English footballers of his generation.

During a 17-year first-team career with Manchester United, he won three league titles, a European Cup and an FA Cup.

Tap the link in @BBCNews’s bio to watch David Beckham and Wayne Rooney pay tribute. 

(PA Photos/Getty Images)

#BobbyCharlton #BBCNews",40047,885
BBCNews,CyqIUrXs4gq,2023-10-21 11:28:08,GraphVideo,"Hamas has released two US hostages who were abducted during the group’s deadly raid on Israel.
 
Israel confirmed they had received mother and daughter Judith and Natalie Raanan at the Gaza boundary.

 
Head to the link in @BBCNews’s bio to read why Hamas said they freed the pair.

 
#BBCNews",150309,15666
BBCNews,CyqKuOnK2j4,2023-10-21 11:17:43,GraphVideo,"High winds lifted the forest floor in Mugdock, Scotland as Storm Babet travelled across the UK.

Head to the link in @BBCNewsUK’s bio to see how the storm is affecting your area.

#Mugdock #StormBabet #Stirlingshire #BBCNews",136452,1519
BBCNews,CyqDHAoKAd2,2023-10-21 10:12:23,GraphVideo,"16-year-old Chloe is part of F1 Academy, the new branch of Formula 1 hoping to get women to the top of the sport.
 
This weekend, she’s racing at the Circuit of the Americas - the same track as her idol Lewis Hamilton.
 
Tap the link in @BBCNewsUK’s bio to read which races F1 Academy will support next year.
 
#F1 #F1Academy #LewisHamilton #BBCNews",9718,138
BBCNews,CyqB3wVq7bR,2023-10-21 09:59:38,GraphSidecar,"Trucks carrying aid have entered Gaza for the first time since the Israel-Hamas war erupted.

It's unclear how long the crossing will remain open, but Israel has agreed to allow 20 trucks into Gaza from Egypt through the Rafah border crossing.

Supplies including food, water and medicine - but no fuel - are being transferred onto smaller Palestinian trucks to be distributed around the Gaza strip. 

As the trucks were allowed through the gates at Rafah, those present on the Egyptian side began celebrating.

Tap the link in @BBCNews’s bio for the latest developments. 

#RafahCrossing #BBCNews",67618,4164
BBCNews,Cyp7bKOqJqL,2023-10-21 09:03:18,GraphSidecar,"There are more than 1,300 varieties of potato growing in the Andes mountains in Peru.

These are not the smooth-skinned, pale potatoes often seen on supermarket shelves; instead, they come in shades of purple, pink, red, and black - as well as white and yellow.

Some have so many lumps and bumps they require special methods of preparation. 

And now, the beguiling vegetables have a new and vital role to play – helping to ensure potato crops can adapt to the challenges of climate change.

That's why Potato Park - located near the Peruvian town of Pisac - and seed guardians are so important.

Tap the link in @BBCNews's bio to find out about their critical work in preserving the potato.

#Potatoes #Peru #AndesMountains #BBCNews",55637,521
BBCNews,CyoN0f_qBG1,2023-10-20 17:05:34,GraphSidecar,"Come on Barbie let’s go party… just not for Halloween.

Hollywood blockbusters are often a great source of inspiration for a Halloween costume, even for actors working in the industry.

But not so much this year.

Sag-Aftra - the union that represents actors and is behind the current strikes in Hollywood - has warned members that dressing up as characters from certain shows and movies would break the strikes' rules.

So outfits based on Barbie, Wednesday Addams and some film superheroes are banned.

“Let's use our collective power to send a loud and clear message to our struck employers that we will not promote their content without a fair contract!”, the union told its members.

Tap on the link in the @BBCNews bio to find out what costumes striking actors are allowed to wear.

(📷 Getty)

#Halloween #ActorsStrike #BBCNews",77068,3069
BBCNews,CyoDGsXKcKu,2023-10-20 15:31:56,GraphSidecar,"“In my opinion, Gwen is the perfect person to receive a star on the Walk of Fame.”

Pop star Gwen Stefani has been immortalised in celebrity history after being honoured with a star on Hollywood’s Walk of Fame.

The music legend, who shot to fame with the band No Doubt before enjoying multiple solo hits, appeared emotional as her husband Blake Shelton paid tribute to her, saying that her star quality is something that “she was just born with”.

“Wait, who is that, what’s her name, what does she do, why do I love her already?” he joked to the crowd that attended the ceremony.

Tap the link in @bbcnews’s bio to read what you have to do to get one of the coveted stars.

(📸 Getty)

#GwenStefani #Hollywood #WalkOfFame #BBCNews",35896,1130
BBCNews,Cyn6a_oqMGa,2023-10-20 14:16:03,GraphSidecar,"Staff thought it “just had a rather large nose”.

When a homeless cat arrived at a rescue centre in Warrington, England, it was sent to the vets for a regular check-up. 

But vets discovered something not so regular.

The cat had not one but two pairs of nostrils, described as a ""first for us” by staff.

Click the link in the @bbcnews bio to find out what caused the abnormality.

(📷 PA)

#Cats #RescueCat #BBCNews",67792,667
