owner_username,url_code,time_utc,type,caption,likes,comments
Reuters,Cy0mXIUuvdQ,2023-10-25 12:30:53,GraphImage,"A double-decker bus passes over Ting Kau Bridge at sunset in Hong Kong, October 25, 2023. 📷 @tyrone_siu #hongkong #sunset #bus #reuters #reutersphotos",3965,30
Reuters,Cyy4hGPRwyt,2023-10-24 20:33:49,GraphVideo,"Orit Meir, the mother of an Israeli hostage held in Gaza, wept as she described how she saw him looking terrified in a Hamas video and sent him a message of love and support. Reuters obtained the video from the family but could not independently verify its origin and content.
 
Around 220 hostages are estimated to still be in the hands of Hamas. In all, 1,400 people were killed by Hamas fighters on Oct. 7, Israel says. The health ministry in Hamas-ruled Gaza reported that at least 5,791 Palestinians had been killed by Israeli bombardments since the Oct. 7 Hamas attack on Israel.
 
🔗 Read more about the hostage crisis at our link in bio.
 
#Reuters #video #videonews #topstories #topnews #Israel #Israelis #Hamas #Palestinians #Palestinianterritories #Palestinian #Hamasattack #conflict #Gaza #IsraelHamas #IsraelHamaswar #IsraelHamasconflict",2844,1263
Reuters,Cyy2Zd-LvUg,2023-10-24 20:12:34,GraphImage,"Mourners attend the funeral of Dana and Karmel Bachar at Kvutzat Shiller, Israel, October 24, 2023.
 
The mother and son were among those killed on Oct. 7 in Hamas's cross-border attack.
 
The Palestinian health ministry said on Tuesday that Israeli air strikes had killed more than 700 Palestinians in Hamas-run Gaza overnight, and ministry spokesman Ashraf Al-Qidra said it was the highest 24-hour death toll in Israel's two-week-old siege of the narrow strip.
 
The Israeli military said that it killed dozens of Hamas fighters overnight while hitting more than 400 Hamas targets, but that it would take time to destroy the Islamist militant group.
 
🔗 Read the latest on the Israel-Hamas war at our link in bio. 📷 Shir Torem #Israel #Gaza #war #conflict #reuters #reutersphotos",4078,977
Reuters,CyybeCGLGRB,2023-10-24 16:17:16,GraphImage,"Palestinians stand at the site of an Israeli strike on a house in Khan Younis, in the southern Gaza Strip, October 24, 2023.
 
More than 700 Palestinians were killed in overnight Israeli air strikes, Gaza's health ministry said on Tuesday, the highest 24-hour death toll since Israel began a bombing campaign to crush Hamas militants who stunned the country with a deadly Oct. 7 attack.
 
Israel said it had killed dozens of Hamas fighters in the overnight strikes on the besieged enclave but said its war to destroy the Islamist group would take time.
 
🔗 Read the latest on the Israel-Hamas war at our link in bio. 📷 @Ibraheem_Abu_Mustafa #Israel #Gaza #reuters #reutersphotos",2704,375
Reuters,Cywd4qdO-m4,2023-10-23 22:02:12,GraphVideo,"🐩✨Gavino Garay takes us inside the Humane Rescue Alliance’s 36th annual ‘Bark Ball’ in Washington, D.C., where the cause goes beyond the glitz and glam.
 
#Reuters #video #news #BarkBall #HumaneRescueAlliance #Washington #WashingtonDC #DC #glitzandglam #gowns #tuxedo #fashion #pets #dogs",1459,55
Reuters,Cyv9_vVLCSm,2023-10-23 17:21:15,GraphImage,"A Palestinian man and his son, who were wounded in an Israeli strike, sit on the floor at Shifa hospital in Gaza City, October 23, 2023. 

After Hamas launched an attack into Israel on Oct. 7, killing about 1,400 people and taking more than 200 hostages, Israel imposed a total blockade on the Gaza Strip, which is running out of water, food, medicines and fuel for its 2.3 million people.

On Monday, aid workers and security sources said a third convoy of aid trucks entered the Rafah crossing from Egypt bound for Gaza. Rafah is the main crossing that does not border Israel. U.N. officials say about 100 trucks a day are needed to meet essential needs in Gaza.

🔗 Read the latest on the Israel-Hamas war at our link in bio. 📷 Mohammed Al-Masri #reuters #reutersphotos #Gaza #Israel #war #hospital",19525,1744
Reuters,CytQC4cr0GW,2023-10-22 16:01:14,GraphImage,"People in Brussels, Belgium, take part in a protest in support of Palestinians in Gaza, October 22, 2023. Fears that the Israel-Hamas war could mushroom into wider Middle East conflict rose on Sunday with Washington warning of a significant risk to U.S. interests in the region as ally Israel pounded Gaza and clashes on its border with Lebanon intensified. 

Gaza's Health Ministry said 266 Palestinians, including 117 children, had been killed by Israeli air strikes in the past 24 hours in the enclave, to which Israel laid ""total siege"" after a deadly mass infiltration into Israel by Hamas gunmen on Oct. 7. 

🔗 Read the latest on the war at the link in bio. 📷 @YvesHerman2  #Gaza #Belgium #Israel #war #reuters #reutersphotos",9759,1078
Reuters,CyqzH_wx_h2,2023-10-21 17:10:01,GraphImage,"A man walks past destroyed Russian military vehicles outside St. Michael's Golden-Domed Monastery on a foggy morning in Kyiv, Ukraine, October 21, 2023. 📷 @tomoroz #ukraine #reuters #reutersphotos #russia #conflict #war",5587,124
Reuters,CyodHdluz3-,2023-10-20 19:20:11,GraphVideo,"Israeli Defense Minister Yoav Gallant told troops gathered at the Gaza border they would soon see the Palestinian enclave “from inside,” suggesting an expected ground invasion with the aim of annihilating Hamas could be near.
 
Israel has vowed to wipe out the Hamas Islamist group that rules Gaza, after its gunmen burst through the barrier fence surrounding the enclave on Oct. 7 and rampaged through Israeli towns and kibbutzes, killing 1,400 people, mainly civilians.
 
The Palestinian health ministry said Israeli air strikes have killed at least 4,137 Palestinians in Gaza, including hundreds of children, and wounded 13,000 since Oct. 7.
 
🔗 Read more at our link in bio.
 
#Reuters #video #videonews #topstories #topnews #Israel #Israelis #Hamas #Palestinians #Palestinianterritories #Palestinian #Hamasattack #conflict #Gaza #IsraelHamas #IsraelHamaswar #IsraelHamasconflict",8303,1288
Reuters,CyoLNAPxCwa,2023-10-20 16:42:42,GraphImage,"Friends and family mourn Smadar Edan and Roy Edan at their funeral in Kfar Harif, Israel, October 20, 2023. The Edans were killed during the deadly infiltration by Hamas gunmen from the Gaza Strip while two of their children hid in a closet. Roy Edan, who was a photojournalist, documented the infiltration before he was shot. Their 3-year-old daughter, Abigail, remains unaccounted for. 
 
Israel has vowed to wipe out the Hamas Islamist group that rules Gaza, after its gunmen burst through the barrier fence surrounding the enclave on Oct. 7 and rampaged through Israeli towns and kibbutzes, killing 1,400 people, mainly civilians.
 
At least 4,137 Palestinians have been killed and 13,000 wounded in Gaza in Israeli strikes since Oct. 7, the Palestinian health ministry said.
 
📷 Violeta Santos Moura
 #israel #war #conflict #reuters #reutersphotos",4365,817
