owner_username,url_code,time_utc,type,caption,likes,comments
Time,Cyx-CdPs0Ag,2023-10-24 12:00:12,GraphVideo,"Introducing the Best Inventions of 2023.

The $2.3 billion Sphere—a Las Vegas entertainment venue—is just one of the 200 inventions that made this year's list. 

Sphere's 366-ft.-tall exterior is earth’s biggest LED screen. Inside it boasts a 160,000-sq.-ft. curved screen and an advanced concert-grade audio system, both now put to use for a residency by U2. 

When Sphere first lit up on July 4, “it was like something out of a sci-fi movie,” says David Dibble, CEO of MSG Ventures, which developed the venue's tech. ""People got out of their cars and were just staring up.”

Wonder what else made this year's list? Hit the link in bio to find out.

Photograph by Raoul Gatchalian—Star Max/IPx/AP. Animation by @brobeldesign",4626,282
Time,Cyiqb6BMmgb,2023-10-18 13:20:13,GraphSidecar,"Saher Alghorra has long loved to document both the beauty and challenges of life in Gaza. That’s what first drove the 27-year-old Gaza native to become a photojournalist. But even Alghorra—who has already lived through the devastating 2008 and 2014 Gaza-Israel conflicts—was not prepared for what has transpired this month. “The humanitarian situation here is extremely catastrophic,” Alghorra tells TIME.

Alghorra’s photographs show how Israeli airstrikes continue to overwhelm the 2.2 million Palestinians living in what is one of the world’s most densely populated places. Families grieve next to lifeless bodies. Plumes of smoke fill the sky. Rubble fills the streets. Patients inundate Al-Shifa, the city’s largest medical complex, as thousands more seek shelter there. Homes are destroyed every day. “They are reduced to dismembered bodies inside,” he says.

And those who live have not escaped the trauma. Alghorra recalls meeting two children at the emergency room at Al-Quds hospital who had lost their father while escaping airstrikes. “They sat there crying. We tried to help find [him],” he says. Alghorra followed them until they finally found him injured in a different part of the hospital. “They hugged each other and collapsed in tears.”

A photographer captures death, destruction, and grief in Gaza — at the link in bio.

Photographs by Saher Alghorra (@saher_alghorra)—Middle East Images/AFP/Getty Images",13688,5260
Time,CyiopBORrSp,2023-10-18 13:04:34,GraphImage,"The families of Israelis held hostage by Hamas speak out about what they know and the torment of what they don't. 

Searching for hope, they find themselves at the mercy both of terrorists and of the intelligence apparatus of an Israeli government that failed them on Oct. 7, then ignored them in the chaotic days that followed.

On the cover, Jonathan Polin, left, and Rachel Goldberg sit with photos of their son, Hersh Goldberg-Polin. Goldberg-Polin, 23, was injured and abducted at the Nova music festival in southern Israel.

""Since midday Saturday, we've had a team of supporters here around the clock making calls to hospitals, to authorities, trying to work through U.S. government authorities, trying to get to humanitarian international aid agencies, trying to get to foreign governments that we think might be potentially influential. Right now we have a team working full speed with the number one goal being get Hersh the medical treatments that he needs immediately,"" Jonathan Polin says.

""We're doing everything we can to bring Hersh home.""

Read the families' stories at the link in bio.

Photograph by Michal Chelbin (@michal_chelbin) for TIME.",18988,10086
Time,Cy1iL4dv76o,2023-10-25 21:18:15,GraphVideo,"Watch astronaut Victor J. Glover, Jr. (@astrovicglover) give a toast at the 2023 TIME100 Next Gala",373,44
Time,Cy1R9_duA-Y,2023-10-25 18:52:38,GraphVideo,"Rep. Mike Johnson, a social conservative from Louisiana, has been elected as House Speaker after weeks of turmoil. 

He will be the least experienced House Speaker in more than a century",1551,496
Time,Cy1NUukvIJV,2023-10-25 18:11:26,GraphImage,"After three weeks of infighting over who should lead the lower chamber, House Republicans elected a new Speaker in Rep. Mike Johnson, a social conservative from Louisiana who will be the least experienced House Speaker in more than a century.

Link in bio for more.

Photograph by Alex Wong—Getty Images",3167,302
Time,Cy1KPFnPAi7,2023-10-25 17:48:15,GraphVideo,Watch Jalen Hurts (@jalenhurts) introduce Kelsea Ballerini (@kelseaballerini) at the 2023 TIME100 Next Gala,2578,102
Time,Cy1CakYNgHb,2023-10-25 16:38:13,GraphVideo,"""I raise my glass to honor and celebrate all of the transgender families across the country who have been living in fear but have continued to be unapologetically themselves."" 

Watch activist Dylan Brandt's toast at the 2023 TIME100 Next Gala",2360,112
Time,Cy061VZuOZl,2023-10-25 15:29:47,GraphSidecar,"Behind the scenes at the 2023 TIME100 Next Gala, which featured a performance by Kelsea Ballerini (@kelseaballerini) and toasts by astronaut Victor J. Glover, Jr. (@astrovicglover) and Stephanie Hsu (@stephaniehsuofficial)

Photographs by Slaven Vlasic—Getty Images for TIME (1, 5); Craig Barritt—Getty Images for TIME (2, 3); Mike Coppola—Getty Images for TIME (4)",635,34
Time,Cy0sJZKOUj4,2023-10-25 13:22:41,GraphVideo,Watch Stephanie Hsu (@stephaniehsuofficial) give a toast at the 2023 TIME100 Next gala,580,29
Time,Cy0VHqFMmxN,2023-10-25 10:00:32,GraphVideo,Watch climate activist Xiye Bastida give a toast at the 2023 TIME100 Next Gala.,1080,77
Time,CyzsEQ7MdkU,2023-10-25 04:06:54,GraphVideo,"At the 2023 TIME100 Next Gala, TIME CEO Jessica Sibley spoke about the emerging leaders shaping our future.

Thank you to our Signature Partners @novonordiskus @verizon and our Supporting Partners @glenfiddichus @lacroixwater",662,27
Time,CyzogJlMD-4,2023-10-25 03:31:02,GraphVideo,"Do you believe in ghosts? 

We asked Bella Ramsey, Silver Iocovozzi, Tems, Noah Kahan, Kelsea Ballerini, and more at the 2023 TIME100 Next Gala. Here's what they said.",6091,93
Time,CyzlHdmto00,2023-10-25 03:02:24,GraphVideo,"“I grew up in a family where being open was the coolest thing I could be, and being strong didn’t mean holding back tears and stiffening my upper lip. My strength came from my honesty and my vulnerability.”

Watch Noah Kahan (@noahkahanmusic) give a toast at the 2023 TIME100 Next Gala.",2640,62
Time,Cyzhhm0Npui,2023-10-25 02:31:33,GraphVideo,"“Being unique is not a choice. But choosing to authentically present your uniqueness is.” 

Watch Tyler James Williams (@willtylerjames) give a toast at the 2023 TIME100 Next Gala",3528,99
Time,CyzcpxQKOUp,2023-10-25 01:47:19,GraphVideo,"At the 2023 TIME100 Next Gala, Maya Hawke and Bella Ramsey talked about the #sagstrike—and what they hope comes next for their industry. 

""Hopefully people get treated better, and we continue telling amazing stories,"" Ramsey said.",10892,126
Time,CyzVRUktzEG,2023-10-25 00:42:19,GraphSidecar,"Highlights from the red carpet at the 2023 TIME100 Next Gala—featuring Kelsea Ballerini, Jalen Hurts, Lily Gladstone, Tyler James Williams, and Rachel Zegler. 

Photographs by Mike Coppola—Getty Images for TIME (1-4); Slaven Vlasic—Getty Images for TIME",5467,40
Time,CyyfqulP-qK,2023-10-24 16:55:40,GraphVideo,,614,35
Time,CyyTOFOs7RW,2023-10-24 15:05:11,GraphSidecar,"“I hope that we’ll stay alive, not because I want life, but because I want to tell our stories, the stories of our people,” 21-year-old Tala Herzallah, a student in Gaza, told TIME.

It is difficult to hear the voices of Palestinians living in Gaza today, amid daily Israeli airstrikes, where more than 3,700 Palestinians have been killed since Oct 7. Hamas killed 1,400 in its attack on Israel, and the group is still holding more than 200 hostages in Gaza. Israeli authorities have cut off fuel and electricity to the enclave, making it difficult for residents to keep their devices charged, let alone reach the outside world. While many international journalists are based in Israel, there is a limited foreign media presence in Gaza.

Palestinians living in Gaza are keen to share their experiences. Swipe through to read Herzallah’s and other Palestinians’ stories from Gaza, and find more at the link in bio",14449,1453
