owner_username,url_code,time_utc,type,caption,likes,comments
WashTimes,Cy1BD_JMhX1,2023-10-25 16:24:15,GraphSidecar,"President Biden and former President Donald Trump are tied with 37% of voter support, according to a new poll.⁠
⁠
Swipe 👉️ to learn more.",44,18
WashTimes,Cy05WCdsqU8,2023-10-25 15:19:06,GraphVideo,"On Wednesday's Front Page: Louisiana Rep. Mike Johnson is Republicans fourth nominee for speaker in the last three weeks, Israel faces a fierce backlash from its critics and friends amid a rising civilian death toll, and more.",19,2
WashTimes,Cy0paUONoBQ,2023-10-25 12:59:20,GraphVideo,"#TopoftheTimes: Self-driving taxis are under investigation

Tune in as The Washington Times' Tim Constantine discusses today's top stories.",19,1
WashTimes,CyzK0v5NR9t,2023-10-24 23:11:09,GraphImage,Biden bets on border money to entice Republicans on $105 billion spending bill⁠,39,13
WashTimes,CyzDK2LLlVz,2023-10-24 22:07:08,GraphVideo,"""We're going to continue to try to get that humanitarian assistance in and we're going to continue to try to get hostages and people out of Gaza appropriately. And as I think you've heard us say, a cease fire right now really only benefits Hamas,"" said National Security Council spokesman John Kirby.",90,32
WashTimes,Cyy7YZ2Jdk5,2023-10-24 20:56:17,GraphImage,White House press secretary Karine Jean-Pierre on Tuesday declared her opposition to antisemitism one day after she was criticized for deflecting a question about an uptick in attacks on Jewish people by condemning hate crimes against Muslims.,79,5
WashTimes,CyyzfALMgj9,2023-10-24 19:47:13,GraphImage,"The Biden administration just tallied the worst year in border security history, according to the Department of Homeland Security’s final numbers for fiscal 2023, which showed record numbers of illegal immigrants, terrorism suspects and fentanyl detected.",40,12
WashTimes,CyysGhLOTD5,2023-10-24 18:43:12,GraphVideo,"Democrats say they have the best interests of women and children at heart, but how can that be when their most consistent fight is one that undervalues the role of motherhood while outright killing God's creations? Babies are not political tools to gain votes; abortion is not a private choice between a woman and her doctor. And guess what -- the science the Democrats so love to cite when it suits their ambitions and purposes is very clear on what takes place in the womb, and how a baby develops and grows. Leftists can't get by with calling a baby a bunch of cells any more. Frank Pavone, national director of Priests for Life, discusses the Supreme Court, abortion and why some Democrats say they love God, yet still support abortion.",26,2
WashTimes,Cyyj6oGS_8f,2023-10-24 17:31:31,GraphImage,From Washington Times Opinion Editor Charles Hurt: Biden funding two new wars,73,4
WashTimes,CyycPrRMYZ3,2023-10-24 16:24:09,GraphImage,"Israel’s window of opportunity to launch a decisive ground assault on Hamas Palestinian militants seemed to narrow Monday with reports of growing impatience over the long-awaited offensive, while the Biden administration privately advised Israel that waiting a bit longer could result in the safe return of more hostages held in the Gaza Strip.",24,3
WashTimes,CyyUf_VM0xD,2023-10-24 15:19:24,GraphVideo,"On Tuesday's Front Page: Israel’s window of opportunity to launch a decisive ground assault on Hamas has seemed to narrow, D.C. Mayor Muriel Bowser has introduced legislation aimed at rolling back some of the city’s anti-police rules, and more.",16,2
WashTimes,CyyMkgSMU1O,2023-10-24 14:07:17,GraphImage,House Republicans were as divided as ever after hearing from eight candidates for speaker in a closed-door meeting in the Capitol. But they nonetheless planned to nominate a single candidate by Tuesday whom they hope could win the backing of 217 GOP lawmakers in a floor vote later this week.,22,7
WashTimes,CyyE3i_pXDZ,2023-10-24 13:00:11,GraphVideo,"#TopoftheTimes: Will Russia restart nuclear tests?

Tune in as The Washington Times' Tim Constantine discusses today's top stories",24,1
WashTimes,Cyx9lRKMIpb,2023-10-24 11:56:12,GraphImage,"Fall into digital subscription savings 🍂⁠
⁠
Follow the link in bio to subscribe and save.",14,1
WashTimes,CyweXXRMnPn,2023-10-23 22:04:12,GraphImage,"China’s rapid buildup of missiles, bombers, submarines and nuclear warheads is continuing apace with no announced end goal as part of a drive by the Chinese Communist Party to replace the United States as the world’s sole superpower, according to the Pentagon’s annual report on Chinese military power.",119,33
WashTimes,CywWlEBv_ha,2023-10-23 20:56:09,GraphImage,"Ford said it will fire more workers in Michigan a week after thousands of workers walked off the job at the company’s Louisville, Kentucky, plant.⁠
⁠
According to the auto giant, around 150 workers will be furloughed as a result of the United Auto Workers strike, which has jarred Ford’s economic outlook. The latest firings bring the total number of layoffs at the company to 2,730 since the strike began in September.",32,4
WashTimes,CywG51Uy29d,2023-10-23 18:39:14,GraphImage,"Former President Donald Trump has been logging as much time in the courtroom as he has on the campaign trail, a potential obstacle that he is turning to his advantage.⁠
⁠
Since the beginning of October, Mr. Trump has spent four days campaigning — in Iowa, New Hampshire and Florida — and four days stewing alongside his defense attorneys in a Manhattan courtroom.",110,10
WashTimes,Cyv_Hs_y6Jf,2023-10-23 17:31:10,GraphImage,Mr. Biden has requested a $100 billion military aid package for Israel and Ukraine that includes humanitarian assistance. It also includes funding for the U.S. southern border with Mexico to combat illegal immigration and Taiwan to combat China’s aggression.,140,51
WashTimes,Cyv3ddNS1c7,2023-10-23 16:24:14,GraphImage,"House Republicans will meet behind closed doors Monday to debate who to nominate followed by a secret ballot on Tuesday. Republicans hope to then be able to hold a floor vote on the nominee.⁠
⁠",58,21
WashTimes,CyvwCA-tzA0,2023-10-23 15:19:51,GraphVideo,"On Monday's Front Page: A wider Middle East war is growing more likely as Israel pounded Hamas targets in the Gaza Strip, the field to become the next speaker of the House has swelled to nine Republican candidates, and more.",26,2
WashTimes,CyvnxehsFWq,2023-10-23 14:07:11,GraphImage,"Both James Biden and the president’s son Hunter Biden often leveraged Mr. Biden’s name to win hugely profitable deals. According to Hunter’s former business partners, Mr. Biden showed up at Hunter Biden’s business meetings or phoned in to them.⁠
⁠
Court documents and congressional reports show that James Biden wasn’t shy about promoting his brother’s influence. He told potential business partners in 2019 that his brother Joe “was in the room with him” as he closed a deal.",222,41
WashTimes,Cyvf0rgtqyS,2023-10-23 12:58:47,GraphVideo,"#TopoftheTimes: Senator Menendez skips classified briefings following charges for acting as a foreign agent.

Tune in as The Washington Times' Tim Constantine discusses today's top stories.",36,4
WashTimes,CypDUWEuFaE,2023-10-21 00:53:09,GraphImage,"A federal inspector general has opened an investigation into telework policies that have turned some government offices into ghost towns, risking the spread of disease and raising questions about how agencies deliver services.",68,9
WashTimes,Cyo6vS5Mkf1,2023-10-20 23:38:15,GraphImage,"Most people in the U.S. see Mexico as an essential partner to stop drug trafficking and illegal border crossings, even as they express mixed views of Mexico’s government, according to a new poll.",46,10
WashTimes,Cyop6iTsplV,2023-10-20 21:11:11,GraphImage,"U.S. military personnel and commercial pilots reported at least 291 UFO sightings since August 2022, the Pentagon said in a report released late Wednesday, with some of the craft exhibiting “high-speed travel,” “unusual maneuverability” and other strange characteristics.",31,5
WashTimes,CyohcVogu6B,2023-10-20 19:57:09,GraphImage,"At a time when Americans are deeply divided along party lines, a new poll shows considerable agreement on at least one issue: The United States’ two-decade-long war in Afghanistan was not worth fighting.",47,9
WashTimes,CyoY_DOM2p5,2023-10-20 18:46:09,GraphVideo,"It's more than Republicans versus Democrats out there. We're in a battle for the good of this nation -- against the evil that wants to totally undo this nation. It's more a spiritual war than a political battle that's dividing Americans on so harsh of lines, and once we realize that without God, the war cannot be won, then we can fight more effectively.",59,5
WashTimes,CyoQghuMheC,2023-10-20 17:29:11,GraphImage,"“The data is a reminder that hate never goes away, it only hides,” Mr. Biden said. “Any hate crime is a stain on the soul of America.”",50,4
WashTimes,CyoHsbWMrhT,2023-10-20 16:12:09,GraphImage,"“History has taught us when terrorists don’t pay a price for their terror, when dictators don’t pay a price for their aggression, they cause more chaos and death and more destruction,” Mr. Biden said. “They keep going, and the cost and threats the American people keep rising.”",61,7
WashTimes,Cyn-d_LtUbf,2023-10-20 14:51:41,GraphVideo,"On Friday's Front Page: President Biden laid out his case to the country and Congress that the U.S. must send $100 billion of aid to Israel and Ukraine, Sidney Powell has pleaded guilty to conspiring to interfere with election results, and more.",28,1
WashTimes,CynvNQDs03R,2023-10-20 12:38:11,GraphImage,Fall into digital subscription savings!,19,2
WashTimes,CymfqvxtxVl,2023-10-20 01:03:11,GraphImage,"Breaking Down America's Sweet Tooth 🍬⁠
⁠
How much are Americans planning to spend on Halloween candy this year?",36,6
WashTimes,CymYHtzhR9U,2023-10-19 23:57:13,GraphImage,"China is engaged in a systematic program of military intimidation and coercion involving dangerous jet intercepts of U.S. and allied aircraft that could trigger a U.S.-China conflict, the Pentagon’s senior policymaker for Asia said.",46,13
WashTimes,CymQVSINgRG,2023-10-19 22:49:11,GraphImage,"President Biden is clinging to young voters and making inroads with seniors while former President Donald Trump is attracting middle-aged voters battling inflation and other stressors before retirement, according to early polls that show age is a key indicator of how Americans plan to vote in 2024.",106,31
WashTimes,CymIjUFPPSg,2023-10-19 21:41:18,GraphImage,"Left-wing political commentator Cenk Uygur has joined a growing list of Democratic and liberal challengers to President Biden’s reelection run, and he is challenging the Constitution’s requirement that the president be a natural-born U.S. citizen.⁠
⁠
Mr. Uygur was born in Turkey and became a naturalized U.S. citizen. He created “The Young Turks,” a left-wing news commentary show on YouTube, and co-founded the Justice Democrats political action committee, which works to elect far-left candidates to Congress.",115,24
WashTimes,Cyl5N8rJPXB,2023-10-19 19:27:11,GraphImage,"The IRS is pushing ahead with plans for its own version of a free direct-file option, announcing it will run a 13-state pilot program for next year that will allow a limited number of taxpayers to fill out and submit their tax returns online without having to use a paid service.",69,4
WashTimes,Cylxb3DSxEE,2023-10-19 18:19:11,GraphImage,"Defense Secretary Lloyd Austin on Tuesday issued “prepare to deploy” orders for about 2,000 personnel for possible support of Israel, Pentagon officials said.⁠
⁠
The Defense Department said select military units are in a heightened state of readiness, which improves the Pentagon’s ability to quickly respond to the security situation in the Middle East.",60,6
WashTimes,Cylpps7Avoe,2023-10-19 17:11:10,GraphImage,"Rep. Jim Jordan, the Republicans’ nominee for House speaker, is putting his bid for the gavel on hold after spending days unsuccessfully trying to convince GOP holdouts to back him.⁠
⁠
House Republicans are now debating a backup plan: Voting to give appointed temporary Speaker Patrick McHenry of North Carolina the power to legislate, which he now lacks under the rules of the House.",71,12
WashTimes,Cylh4E1s6gR,2023-10-19 16:03:14,GraphImage,"Kamala Harris’ college tour confronted by the left’s pro-Palestinian young voters⁠
⁠",95,27
