owner_username,url_code,time_utc,type,caption,likes,comments,is_about_gaza_1,is_about_gaza_2,cluster_id,cosine_score
NYTimes,CzFGEBgP0-G,2023-10-31 22:20:32,GraphVideo,"Deadly Israeli Airstrike Hits Dense Area in Northern Gaza

Israel said it targeted Hamas militants on Tuesday in northern Gaza, and Hamas and hospital officials said the airstrikes killed and wounded many and leveled part of the Jabaliya neighborhood. The Gaza Health Ministry, which is controlled by Hamas, said the Israeli strikes had killed and wounded “hundreds,” a statement that could not be immediately verified. A doctor at a nearby hospital, Dr. Marwan Sultan, said the facility was receiving hundreds of injured people and that dozens were dead.

Tap the link in our bio to read the latest on the war.",38247,7422,True,True,ins_9,0.7969525252385962
NYTimes,Cy_ax2KucUe,2023-10-29 17:21:20,GraphSidecar,"The Israeli military on Sunday signaled a heavier assault on Gaza, saying it had expanded its ground incursion overnight, and warned with increasing “urgency” that Palestinian civilians should move to the southern part of the coastal strip.

A day after Prime Minister Benjamin Netanyahu said that Israeli troops were inside Gaza and that the war had entered a second phase, the precise number of soldiers who have been sent into the territory since Friday remained unclear. The military’s chief spokesman said that Israeli forces were “gradually expanding the ground activity and the scope of our forces,” and that they were “progressing through the stages of the war according to plan.”

Phone and internet service had been knocked out for days as Israel began an intensified ground operation on Friday. But phone and internet connectivity partially returned on Sunday morning, according to the chief executive of the main Palestinian telecommunications company. 

The death toll in Gaza since Oct. 7 exceeded 8,000 people, including 3,342 children, a spokesman for the Hamas-run health ministry said on Sunday. 

Read more live updates at the link in our bio. Photos by @tamirhasacellphone, @samarabuelouf, @yousef.masoud92, Mohammed Saber/EPA, via Shutterstock, Mohammed Abed/Agence France-Presse — Getty Images and Haitham Imad/EPA, via Shutterstock",96099,7018,True,True,ins_9,0.7802827306295821
NYTimes,Cy9Ff4Ruznc,2023-10-28 19:36:54,GraphImage,"Prime Minister Benjamin Netanyahu of Israel said in a televised news conference on Saturday evening that Israeli forces had entered the Gaza Strip on Friday, beginning “the second stage of the war.” He called the campaign “our second war of independence” and warned Israelis to expect a “long and difficult” campaign.

Military officials had said earlier in the day that Israeli troops advanced into the northern part of the enclave on Friday, accompanied by aerial and artillery bombardment, and that they remained there on Saturday evening. Hamas’s armed wing confirmed on Friday night and Saturday afternoon that its forces were fighting with Israeli soldiers inside Gaza.

Neither Netanyahu nor Israeli military officials publicly described the operation as an invasion, and the maneuver appears, so far, more limited than some experts had predicted. The military has released only brief footage of its advance, and few Palestinian accounts have emerged. Gazan internet connections and phone lines were down, making it difficult to assess the extent of the military action.

This is a developing story. Tap the link in our bio to read more live updates.",15768,3528,True,True,ins_9,0.8053878809816599
NYTimes,CyyZ4jTLJOd,2023-10-24 16:05:16,GraphVideo,"Death Toll Climbs in Gaza as Israel Intensifies Airstrikes

The Israeli military said on Tuesday that it had escalated bombardments in Gaza overnight, and Palestinian officials said that hundreds of people had been killed, adding to the devastating toll as Israel faced pressure to delay a ground invasion.

Israel said it had struck more than 400 targets in the past 24 hours, after hitting more than 320 a day earlier, in some of the most intense aerial attacks on Gaza in recent days. The Gaza Health Ministry, which is controlled by the armed group Hamas, said that it had recorded the highest single-day death toll of the war: at least 704 people killed in dozens of strikes on homes, a refugee camp and other places. It was not possible to independently verify the toll.

We’re covering the war live at the link in our bio.",28395,5652,True,True,ins_9,0.763367699588207
NYTimes,CyyCx34Npv7,2023-10-24 12:42:28,GraphImage,"More Palestinians have been killed in the Israeli-occupied West Bank in the past few weeks than in any similar period in at least the past 15 years, according to Palestinian health authorities and historical data from the UN.

Israeli forces and settlers have killed 95 Palestinians in the Israeli-occupied West Bank since the Hamas attacks on Oct. 7, health officials said, a surge in violence in what was already a particularly deadly year in the West Bank. One Israeli soldier was also killed in clashes.

Separately, the death toll in Gaza since Oct. 7 has surpassed 5,700 people, nearly half of them children, the Gaza health ministry said. 

Read the latest on the war at the link in our bio.",41508,3548,True,True,ins_9,0.7321635134158896
NYTimes,CyZOFjvOmmk,2023-10-14 21:19:17,GraphImage,"A comparison with the toll of past conflicts indicates the enormous scale of the Israeli retaliation for the attacks led by Hamas last Saturday in the deadliest day in Israel’s history.

Prime Minister Benjamin Netanyahu has said that Israel will act “without reservation and without respite” to destroy the military capabilities of Hamas, which controls Gaza.

The conflict-related death toll in 2023 has already exceeded that of 2014, when there was a 50-day war.

Read more of our live coverage of the conflict at the link in our bio.",241906,15771,True,True,ins_9,0.8084990467031918
NYTimes,CyTZbrIMOmo,2023-10-12 15:15:57,GraphImage,"The slow response of Israeli forces on Saturday, a national holiday, gave Hamas terrorists many hours to infiltrate more than 20 towns outside of Gaza, where they killed at least 1,200 people and took an estimated 150 hostages.

The New York Times has looked at evidence to see what it shows about the response to some of the deadliest attacks. Tap the link in our bio to see the detailed timeline.",11758,1459,True,True,ins_9,0.7912079123952361
NYTimes,CyRvvrisHcK,2023-10-11 23:39:28,GraphSidecar,"Graphic imagery and footage has flooded social media since Hamas terrorists attacked Israel, killing more than 1,200 people. Bogus claims are also circulating, and risk obscuring real evidence of atrocities.

False claims around the Israel attacks include recycled videos and a game clip. They also include old and unrelated videos and photos with inaccurate claims, and fabricated assertions about the involvement of countries like the U.S. and Ukraine. This is adding confusion and deception to an already chaotic moment. And the false information circulating online risks clouding evidence that is emerging as Israeli soldiers retake control of places that were attacked.

Tap the link in our bio to read more about some of the inaccurate material circulating online.",161070,3933,True,True,ins_9,0.7405363070069105
NYTimes,CyREeCnr2Er,2023-10-11 17:22:10,GraphVideo,"Israeli airstrikes have flattened mosques in Gaza and killed people worshiping inside, witnesses and authorities in Gaza said. Israel says its strikes are targeting centers of operations of Hamas, the armed Palestinian group that controls Gaza. It confirmed hitting the mosques, saying it was targeting Hamas infrastructure or fighters inside those buildings.

The strikes are part of Israel’s response to the attack on Saturday, when hundreds of Palestinian gunmen swept across Israel’s border with Gaza, killing more than 1,000 people and taking around 150 hostages.

Israel’s fighter jets and artillery have struck targets in Gaza frequently over the years as part of the longstanding conflict between the Palestinians and Israel. But from the first day of this new war, residents of Gaza and health authorities have said that this time the strikes have been indiscriminately hitting structures that haven’t regularly been targeted, such as schools, hospitals and mosques.

Tap the link in our bio for the latest updates on the war.",54937,7383,True,True,ins_9,0.8218989922258788
NYTimes,CyQ9Z9eu5iL,2023-10-11 16:19:36,GraphSidecar,"As Israeli soldiers regain control of areas near Gaza that came under attack, they are finding evidence of the massacre of civilians by Hamas terrorists. The evidence includes security camera footage and cellphone videos, photographs from residents and professionals, and the accounts of witnesses who survived the initial attacks. The material shows that Palestinian gunmen attacked Israeli civilians in all the mundane places of a Saturday morning in southern Israel — at an outdoor festival and in their homes, on familiar roads and in the middle of town — places where soldiers and the police were as surprised by the violence as neighbors, families and friends.

Hamas gunmen, hitting more than 20 sites in southern Israel, killed more than 1,000 people, including women and children, and abducted an estimated 150 more people. Officials from Israel, the U.S., Europe and the UN have condemned the violence in the starkest terms. 

Tap the link in our bio to see the evidence from Hamas’s trail of terror.",24531,2424,True,True,ins_9,0.7897496856700742
