owner_username,url_code,time_utc,type,caption,likes,comments
CNN,Cy1GEQruTW2,2023-10-25 17:08:30,GraphVideo,"Videos taken by Palestinian teen Nadin Abdullatif, who lives in Gaza City’s Al Rimal neighborhood, show the aftermath of a strike that destroyed her home.",13293,4000
CNN,Cy1AxfpKZBL,2023-10-25 16:21:53,GraphVideo,"Joseph Emerson, the off-duty Alaska Airlines pilot accused of attempting to disable a plane's engines mid-flight en route from Washington state to San Francisco on Sunday pled not guilty to all state charges on October 24. He claims that he took 'magic mushrooms' 48 hours before and thought he was dreaming. State court documents say Emerson had experienced depression and the recent death of a friend.",30588,2030
CNN,Cy0b-L5R1US,2023-10-25 11:00:09,GraphImage,"California's Death Valley is the hottest place in the world and the driest place in North America. But two months after Hurricane Hilary's epic rainfall, parts of the national park look more oasis than desert.

Parched ground turned to ponds, wildflowers are in bloom in remote areas and a salt flat is now a massive lake. The salt flat-turned-lake is an exceptional but fleeting sight to behold.

Tap the link in our bio to read more.

📷 Mario Tama/Getty Images",16929,453
CNN,CyzkculuBgZ,2023-10-25 02:57:18,GraphVideo,"CNN obtained footage showing the aftermath of a night airstrike in Gaza. Israel’s military says it is striking Hamas targets after a horrific terrorist attack, but the civilian death toll in Gaza continues to climb.",34234,8271
CNN,CyzR714Juo5,2023-10-25 00:15:05,GraphVideo,"In a first-of-its-kind performance at Central Park, artists from “Studio Drift” lit up the night sky with 1,000 choreographed drones.",18877,605
CNN,CyzPktSJZqZ,2023-10-24 23:53:11,GraphVideo,"Security footage shows three armed suspects in Auburn, Washington, fail to forcefully enter a home when a homeowner defended themselves with a gun. The Auburn Police Department has said they are looking into whether the suspects knew the homeowners or if it was a random attack.",117088,5295
CNN,CyzMyL0Jgcw,2023-10-24 23:29:39,GraphVideo,Queen Rania of Jordan tells CNN’s Christiane Amanpour in an exclusive interview there is a “glaring double standard” in the Western world’s reaction to Hamas’ October 7 attack and its response to civilian deaths under Israeli bombardment of Gaza.,93743,7962
CNN,Cyy43fZJBir,2023-10-24 20:34:07,GraphImage,"Finding clean water is becoming an all-consuming – and increasingly difficult – challenge for many Gazans.

Hamas’ brutal attacks in Israel on October 7 killed at least 1,400 people and the group took more than 200 hostages, according to Israeli authorities. In the wake of the assault, Israel launched an aerial bombardment of Gaza that Palestinian health officials say has killed more than 5,000 people. Israel also announced a “complete siege” on the enclave, withholding vital supplies of water, food and fuel.

Israel has since allowed some water to flow through one of the three pipelines that run into Gaza, but experts say it covers only a tiny percentage of the enclave’s needs. Most of Gaza’s water comes from local sources – but the fuel required to pump and clean it is fast running out.

The climate crisis is also having an impact. Sea level rise will increase the salinity of the groundwater and more intense and frequent extreme weather events such as heat and drought further threaten water resources.

Read more at the link in our bio.

📷: Mohammed Abed/AFP/Getty Images",10614,3124
CNN,Cyyz-lPp2J0,2023-10-24 19:52:20,GraphVideo,An Egyptian protester demonstrating in support of Palestinians in Gaza encountered CNN Correspondent Clarissa Ward at the Rafah crossing on Friday. Ward was covering the United Nations Secretary-General’s visit to oversee the influx of aid to Gaza. Ward listened to the protester’s criticism and accusations and offered to convey her message to the world. Watch the interview here.,165461,13433
CNN,CyyvEHhJL4L,2023-10-24 19:09:01,GraphVideo,"An Israeli hostage spoke about her ordeal one day after being released by Hamas. 
 
85-year-old grandmother Yocheved Lifshitz recounted the moment that militants snatched her from her home in the kibbutz of Nir Oz and drove her away on a motorbike toward Gaza.",14976,14980
CNN,CyybX_1ueuH,2023-10-24 16:23:45,GraphVideo,"Former President Donald Trump compared himself to Nelson Mandela, who spent 27 years in South African prisons before emerging to lead the nation out of decades of apartheid rule, as he railed against the numerous criminal charges against him.

Trump, the front-runner for the 2024 Republican presidential nomination, sought to paint himself as a victim of political persecution, telling a crowd of supporters at a Derry, New Hampshire, rally, “I don’t mind being Nelson Mandela, because I’m doing it for a reason.”

Read more at the link in our bio.",12697,3720
CNN,CyyajS5O7Uf,2023-10-24 16:09:51,GraphVideo,"After evacuating Gaza City, CNN journalist Ibrahim Dahman continues to document the dire situation he and his family face inside Gaza.",26722,3830
CNN,CyyZgusN5ff,2023-10-24 16:00:09,GraphImage,"Bobi, the world's oldest dog ever, has died after reaching the almost inconceivable age of 31 years and 165 days, according to Guinness World Records.

His death at an animal hospital on Friday was initially announced by veterinarian Dr. Karen Becker. She wrote on Facebook that ""despite outliving every dog in history, his 11,478 days on earth would never be enough, for those who loved him.""

Tap the link in our bio to read more.

📷 Patricia de Melo Moreira/AFP/Getty Images",79217,1104
CNN,CyxAD7dOw-B,2023-10-24 03:01:44,GraphVideo,"On Thursday night, an Israeli airstrike hit a building at the compound of St. Porphyrius Orthodox Church in Gaza, one of the oldest churches in the world, where hundreds had sought refuge from the bombardments.",90717,13328
CNN,CywybXbuHJY,2023-10-24 01:01:23,GraphVideo,CNN aerial video shows the devastation to Gaza after weeks of Israeli bombardment in response to the October 7th terror attack by Hamas.,19414,6129
CNN,Cywo4yhJfSU,2023-10-23 23:38:15,GraphVideo,"Nadin Abdullatif is a 13-year-old Palestinian girl who sent in voice notes to CNN, documenting what life has been like for her and her family, as Israel retaliates for the deadly Hamas terror attack.",16269,4028
CNN,CywefXWJv6z,2023-10-23 22:07:05,GraphVideo,"Located in Egypt’s north Sinai, the Rafah crossing is the sole border crossing between Gaza and Egypt. CNN’s Nic Robertson explains what to know about the crossing where hundreds of thousands of Palestinians have descended.",5743,1972
CNN,CywIG13J35n,2023-10-23 18:50:18,GraphVideo,"“I think the international community will be part of the process of killing of our people if they don’t act on Israel to allow ... this fuel to enter Gaza.”
 
Dr. Marwan Abusada, Chief of Surgery at Al-Shifa Hospital in Gaza, warns that his hospital will run out of fuel in two days.",33700,7520
CNN,Cyv7WFyuMIl,2023-10-23 16:59:04,GraphVideo,"Friends and family of Samantha Woll, a beloved Detroit synagogue leader found fatally stabbed over the weekend, remembered her kindness, her generosity and her dedication for helping others during a packed funeral service.

“Your soul was beautiful and pure,” Monica Woll Rosen said as she stood next to her older sister’s white casket. “You so deeply wanted peace for this world, you fought for everyone, regardless of who they were or where they came from. You were the definition of a leader.”

Tap the link in bio for more.",6796,996
CNN,CyvKgCiRTPB,2023-10-23 09:51:16,GraphImage,"The bodies of three children lie on a steel tray inside what appears to be a Gaza hospital morgue, one leg of their trousers pushed up to reveal writing in black ink on their skin.
 
“We received some cases where the parents wrote the names of their children on the legs and abdomen,” Dr. Abdul Rahman Al Masri, the head of the emergency department Al-Aqsa Martyrs Hospital, told CNN.
 
He said parents were worried that “anything could happen,” and no one would be able to identify their children.
 
Ink markings on the limbs of children is one sign of the desperation felt by parents in the densely populated enclave as Israel continues intense airstrikes in retaliation for the October 7 Hamas attacks.

Tap the link in bio for more. 

📸 : Abed Khaled/AP",79493,20972
CNN,CytoEWzJBt2,2023-10-22 19:31:07,GraphSidecar,"In the days since a blast ripped through the packed Al-Ahli Hospital in Gaza City, killing hundreds of Palestinians, dueling claims between Palestinian militants and the Israeli government over culpability are still raging. But forensic analysis of publicly available imagery and footage has begun to offer some clues as to what caused the explosion.
 
CNN has reviewed dozens of videos posted on social media, aired on live broadcasts and filmed by a freelance journalist working for CNN in Gaza, as well as satellite imagery, to piece together what happened in as much detail as possible.
 
Without the ability to access the site and gather evidence from the ground, no conclusion can be definitive. But CNN’s analysis suggests that a rocket launched from within Gaza broke up midair, and that the blast at the hospital was the result of part of the rocket landing at the hospital complex.
 
Read more at the link in our bio.
 
📷: Abed Khaled/AP| Paul Murphy and Henrik Pettersson/CNN | X/Wafa News Agency | CNN | Abed Khaled/AP",43449,16279
CNN,CytSHZqOBuu,2023-10-22 16:19:54,GraphVideo,Retired US Maj. Gen. James “Spider” Marks shares what he thinks Israel’s strategy will be if they decide to move forward with a ground incursion into Gaza.,9145,3821
