owner_username,url_code,time_utc,type,caption,likes,comments
FoxNews,Cy1FLcDpdrH,2023-10-25 17:00:13,GraphImage,'DISTURBING': Auburn basketball coach pushes back against anti-Israel protests occurring on college campuses throughout the US. Link in bio.,12039,1457
FoxNews,Cy0_VGop-r4,2023-10-25 16:09:06,GraphImage,"'TRULY UNBELIEVABLE': The tortoise went missing in 2020 and was miraculously found safe years later, just five miles away from where she initially escaped.",7693,243
FoxNews,Cy0-VrrtfO5,2023-10-25 16:00:32,GraphVideo,"TUNE IN: GOP presidential candidates Chris Christie and Tim Scott join “Your World"" with Neil Cavuto today at 4p ET on Fox News Channel",1216,196
FoxNews,Cy03ohss4qI,2023-10-25 15:02:42,GraphVideo,"""Once the time is right, once the conditions are right and in Israel's favor, trust me, we will act."" Tal Heinrich, spokeswoman for Netanyahu, comments as IDF hammers Hamas ahead of Gaza ground invasion.",5731,845
FoxNews,Cy0wk6YMm0x,2023-10-25 14:00:11,GraphImage,FIGHT FOR THE GAVEL: Republican behind House Speaker disarray weighs in on GOP's latest nominee at the link in bio.,11501,827
FoxNews,Cy0pz1ZNBrP,2023-10-25 13:01:21,GraphVideo,"""I want them back so bad, I just want my parents back."" Netta Atzili, whose parents were kidnapped by Hamas, delivers an emotional response to those doubting the atrocities committed by terrorists.",4562,964
FoxNews,Cy0kOUZRDoH,2023-10-25 12:12:15,GraphImage,BEAMING SUCCESS: The first-of-its-kind deal the gymnast hopes can help her teammates make money too at the link in bio.,5461,220
FoxNews,Cy0depmxiPL,2023-10-25 11:13:19,GraphImage,ANGELS IN THE OUTFIELD: How the rookie's faith led Arizona back to the World Series at the link in bio.,25096,359
FoxNews,Cy0WnFNx_gi,2023-10-25 10:13:19,GraphImage,"'PLEAS' AND SORRY: The former president's ex-attorney explained how she ""failed"" to do her due diligence at the link in bio.",6125,2872
FoxNews,Cy0OPi1RcID,2023-10-25 09:00:11,GraphImage,"NEWSFLASH: As the Israel-Hamas war escalated, viewers became increasingly frustrated with the news organization’s refusal to use the term ""terrorists,"" particularly after reports of Hamas’ brutal actions against civilians.",7485,1520
FoxNews,Cy0HYZvME4r,2023-10-25 08:00:13,GraphImage,‘…BABY ONE MORE TIME’: The pop star marks another major milestone in her career. Link in bio.,2634,174
FoxNews,Cy0Agd4MZB-,2023-10-25 07:00:09,GraphImage,HEADING TO COURT: Planned Parenthood says the costly case could shut down the company in Texas. Link in bio.,3308,398
FoxNews,Cyz5o52NB1l,2023-10-25 06:00:08,GraphImage,FOURTH TIME’S A CHARM?: The latest on the unfolding Capitol Hill drama at the link in bio.,2897,453
FoxNews,Cyzy1DPNxG_,2023-10-25 05:01:03,GraphVideo,SENDING A MESSAGE: UFC President and CEO Dana White explains to Sean Hannity why he's all in on the company's new Bud Light sponsorship.,15298,1946
FoxNews,CyzsCM3P63a,2023-10-25 04:01:22,GraphVideo,‘TELL US THE TRUTH’: Jesse Watters reacts to Hillary Clinton telling a heckler to “sit down” after being confronted over Biden’s “warmongering” speech.,9096,772
FoxNews,CyzlG8PIc-J,2023-10-25 03:00:57,GraphVideo,‘SO HAPLESS’: Laura Ingraham calls out the Biden administration’s foreign policy agenda on “The Ingraham Angle.”,4904,447
FoxNews,CyzeLtgN9sC,2023-10-25 02:00:13,GraphImage,'YOU CAN'T APPEASE EVIL': New York businessman explains how the barbaric attacks against Israeli civilians pushed his family to he and his family to raise awareness of Hamas' crimes against humanity at the link in bio.,5961,593
FoxNews,CyzavNOJQxu,2023-10-25 01:30:07,GraphImage,ARMING ALLIES: How the U.S. is “planning to support” Israel during the war against Hamas at the link in bio.,13755,856
FoxNews,CyzXTwAO1Xy,2023-10-25 01:00:09,GraphImage,"'MESSAGE IS RESONATING': @votetimscott explains why his presidential campaign is going ""all in"" in Iowa at the link in bio.",3496,219
FoxNews,CyzQd--gjA-,2023-10-25 00:00:24,GraphImage,COME AGAIN? White House press secretary says she misheard antisemitism question following backlash. What she told Fox News Digital about the ordeal at the link in bio.,4688,1899
FoxNews,CyzOsZ-sKe6,2023-10-24 23:44:52,GraphImage,'WEAK ANSWER': @RepMoskowitz fires back at Karine Jean-Pierre after her comments on rising antisemitism in America. Link in bio.,7564,545
FoxNews,CyzCt2GtbxK,2023-10-24 22:00:13,GraphImage,"DANGEROUS ESCALATION: What US officials are saying about who is responsible, and America's response at the link in bio.",30413,1861
FoxNews,Cyy72U7solN,2023-10-24 21:00:13,GraphImage,EMMER OUT: What the latest withdrawal means for the future of the conference at the link in bio.,4378,1271
FoxNews,Cyy0-j9rFYD,2023-10-24 20:00:10,GraphImage,"""WHERE IS THE OUTRAGE?"": The US Secretary of State delivered a fiery speech at the UN Security Council, calling on the international community to recognize that Israel has a right to defend itself. Link in bio.",5370,960
FoxNews,CyyuIqeM1et,2023-10-24 19:00:22,GraphImage,'CRUEL AND HATEFUL': Paris Hilton slams trolls commenting on her baby's appearance at the link in bio.,12226,866
FoxNews,CyynXAhJYBS,2023-10-24 18:01:29,GraphVideo,"'DEEPLY CONCERNING': @RepMoskowitz says he ""continues to be disappointed"" in fellow Democrats who are trusting Hamas' information about a blast in the parking lot of a Gaza hospital over the US intelligence community's assessment.",3530,561
FoxNews,Cyyga3splUt,2023-10-24 17:00:31,GraphImage,"BULLY PULPIT: The former president says the choices Israel is making could ""play into the hands of Israel's enemies."" Link in bio.",7746,6534
FoxNews,CyyZhAHtl-T,2023-10-24 16:00:13,GraphImage,'BEYOND THE PALE': Family fights back in response to anti-Israel protests. Link in bio.,5307,770
FoxNews,CyySre1NLp_,2023-10-24 15:01:07,GraphVideo,"ISRAEL AT WAR: @TreyYingst explains how Israel is targeting the top of Hamas' leadership, urging civilians in Gaza to provide intelligence about the hundreds of hostages held by the terrorists.",5404,1256
FoxNews,CyyPNo8NGsH,2023-10-24 14:30:10,GraphImage,"LEAKED AUDIO: The Hillary Clinton-endorsed candidate for Houston mayor was caught on tape berating her staff and is known for being one of the ""meanest"" members of Congress. Click the link in bio for more details.",4576,1461
FoxNews,CyyIDsLNiDP,2023-10-24 13:27:38,GraphImage,'TWERK' OR TREAT: City officials demand it be taken down — but the mastermind behind it says it’s just ‘all in the name of fun.’ The story behind it at the link in our bio.,15748,640
FoxNews,CyyAXs6OsHq,2023-10-24 12:21:08,GraphVideo,WATCH: @speakermccarthy  warns of potential terrorist ‘sleeper cells’ on our southern border. So what does that mean? @kilmeade  and @petehegseth  break it all down.,14500,1354
FoxNews,Cyx5wj4M-Px,2023-10-24 11:22:41,GraphImage,NOT A GIRL: Pop star gets candid about posting nude and risqué photos on social media at the link in bio.,4600,465
FoxNews,CyxwUXBs6qr,2023-10-24 10:00:12,GraphImage,SHAPING UP: The professional athletes at the center of the new ad campaign at the link in our bio.,2603,369
FoxNews,CyxpdsbMnBA,2023-10-24 09:00:19,GraphImage,FIRING SQUAD: The Dem was asked to defend her position of calling for a ceasefire. Her response at the link in bio.,6922,3934
FoxNews,CyxilWfM-5D,2023-10-24 08:00:11,GraphImage,‘DIME’ AND DASH: The charges against the four alleged thieves are at the link in bio.,4484,272
FoxNews,CyxbukMsUSn,2023-10-24 07:00:17,GraphImage,‘SHAMEFUL’: The newspaper admits that the image was “highly insensitive” at the link in bio.,5290,815
FoxNews,CyxU2UMte4f,2023-10-24 06:00:10,GraphImage,'BERN'ING MONEY: See the eye-popping amount at the link in bio.,5906,1173
FoxNews,CyxN-pzt5p0,2023-10-24 05:00:08,GraphImage,HOLLYWOOD HEARTTHROB: The late actor’s daughter says she couldn’t put the letters in her new book because they were so raunchy. Link in bio.,6250,242
FoxNews,CyxHHaVNTWf,2023-10-24 04:00:11,GraphImage,NEW DETAILS: Officials say they believe the suspect in the Jewish leader’s killing “acted alone.” Link in bio.,4284,554
FoxNews,CyxAP8FtI4a,2023-10-24 03:00:11,GraphImage,TIDAL WAVE: Legendary rapper goes off on the president and first lady for vacationing at the beach while Americans are still being held captive as the Israel-Hamas war rages on. Click on the link in our bio for his two cents.,96281,2203
FoxNews,Cyw5YuXNdMA,2023-10-24 02:00:12,GraphImage,"‘VERBAL ABUSE’: One co-host says the Dem congresswoman's rant is ""emotional abuse"" and suggests she be taken to the ethics committee. More at the link in bio.",5048,798
FoxNews,Cyw3RntpQz4,2023-10-24 01:41:46,GraphImage,HIGHWAY HORROR: The latest details on the devastating crash are at the link in bio.,17604,921
FoxNews,Cywyg3MASim,2023-10-24 01:00:09,GraphImage,HOGAN OUT: The former governor announced he is withdrawing from Harvard fellowship programs after the university failed to denounce the hatred on campus following the brutal Hamas terrorist attacks. Link in bio.,15293,858
FoxNews,CywrpqtLOKM,2023-10-24 00:00:11,GraphImage,"TERROR THREAT: After the horrific attacks in Israel, some experts are expressing concern about America’s border security. Link in bio.",14868,2696
FoxNews,CywkyFvLfqN,2023-10-23 23:00:09,GraphImage,A LOT AT 'STEAK': Researchers claim the findings support people limiting their red meat consumption. Link in bio.,8886,2119
FoxNews,Cywd7JWrqJZ,2023-10-23 22:00:14,GraphImage,MAKING A COMEBACK: Country music icon Toby Keith announces he will return to the stage at the link in bio.,12648,233
FoxNews,CywQX5nrCrz,2023-10-23 20:01:50,GraphImage,"OH, PUCK: League officials say they will review the incident for a possible rule violation. Link in bio.",8358,811
