url_code,time_utc,type,caption,likes,comments
Cyq43ttL2eK,2023-10-21 18:00:15,GraphSidecar,"From the time she got married in September 2021, Kenya Appling had looked forward to having a child. 

That dream was crushed four months after her wedding when Appling, was diagnosed with uterine cancer and, at the advice of her doctor, underwent a hysterectomy, as well as chemotherapy and radiation.

“It was really devastating. I could not come to terms with it for a while,” she said.

Appling, who says her doctor told her she did not have any established risk factors before her diagnosis, believes the cancer was caused by harmful ingredients in the chemical hair straighteners she had used monthly since childhood.

She is among thousands of Black women who have sued L’Oréal, Revlon and other makers of chemical hair straighteners, alleging the companies’ products caused them irreparable harm and serious injury. Chief among those injuries for many of them is the devastating loss of the ability to have children.

Read more at the link in bio.

📷️ @nitashiajohnson and @__rita.p",4918,196
Cyqg09RrmYo,2023-10-21 14:30:21,GraphVideo,Aid trucks enter the Rafah border crossing between Gaza and Egypt for the first time since the war began.,9092,966
CyovpIRLgtd,2023-10-20 22:01:09,GraphImage,"Judith Raanan is an artist and never missed a sabbath service at her local synagogue. Her daughter Natalie had just graduated from high school and hoped to work in fashion, interior design or tattooing following her summer and fall travel plans, which included visiting Italy before heading to Israel for the Jewish holidays and her grandmother's 85th birthday, NBC Chicago reported.

It was there that Judith and Natalie were taken hostage on Oct. 7 after militants stormed kibbutz Nahal Oz where they had been staying with relatives.

They were released Friday after a nearly two-week ordeal.

“So the last text was from Natalie 12:18 noon on Saturday, saying that they’re hearing shooting out of their apartment,” Natalie Raanan's aunt, Saray Cohen, told NBC News’ Lester Holt. “And she said that the other room out of the security room was bombed. She’s hearing shooting. 'We love you all. But we are OK.'”

Read more at the link in bio",10640,599
CyoqQSOL-xb,2023-10-20 21:14:15,GraphVideo,"22-year-old journalist Plestia Alaqad shares video diaries from a hospital and refugee camp in Gaza amid two weeks of a ""complete siege"" by Israel and a dire humanitarian crisis.",3230,898
CyocUNYv3X9,2023-10-20 19:12:16,GraphImage,"Two Americans who were taken hostage by Hamas have been released, the Israeli government announced this evening.

They were received by officials at Gaza border and were ""on their way to a meeting point at a military base in the center of the country, where their family members are waiting for them,"" officials said.

Read more at the link in bio.",9280,502
CyoOBwvrw0L,2023-10-20 17:07:25,GraphSidecar,"Relatives of the hundreds of Israelis who remain in Hamas captivity took comfort in each other by welcoming Shabbat together in the presence of a table with more than 200 empty seats — one for each of the hostages.

“No one could have imagined such a Kabbalat Shabbat,"" a representative for the families said. ""A simply heartbreaking moment. We hope that next Shabbat we will celebrate together with our loved ones who will return home.”

Follow live updates on the Israel-Hamas war at the link in our bio.

📷️ Janis Laizans / Reuters",8030,888
CymfNT2OsbR,2023-10-20 00:59:26,GraphVideo,"“We must, without equivocation, denounce antisemitism. We must also, without equivocation, denounce Islamophobia,” President Biden told the nation in a rare prime-time address Thursday. “And to those of you hurting ... I see you. You belong.”

In his speech, Biden explained why he believes it’s crucial for Israel and Ukraine to win the respective wars they’re fighting, as he looks to build support for a hefty aid package aimed at strengthening both countries.

Read more at the link in our bio.",3363,1218
Cyl96xpNZ1T,2023-10-19 20:08:20,GraphVideo,Palestinians worked to rescue children trapped under rubble after an Israeli airstrike hit a house in Jabalia refugee camp in Gaza.,12349,1630
CylXzrnr5fu,2023-10-19 14:35:20,GraphVideo,A Palestinian artist is shown playing with children in Gaza to raise their spirits less than a day before he was killed in a hospital blast.,32128,1991
CyjnSntLl0O,2023-10-18 22:11:58,GraphSidecar,"The U.S. has assessed that the deadly blast at a Gaza hospital was most likely caused by a misfired rocket from the Palestinian Islamic Jihad, U.S. officials say. 

NBC News consulted four military and munitions experts. One agreed with the U.S. assessment, which was hinted at by President Joe Biden during his trip to Israel on Wednesday. Three agreed the blast wasn’t from Israel. The experts were shown parts of more than a dozen videos and pictures from the incident at al-Ahli Baptist Hospital and its aftermath that have been geolocated and analyzed by NBC News.

Swipe to see what we know so far.

Link in bio for more.",6745,2124
CyjBdBgrwb-,2023-10-18 16:41:21,GraphSidecar,"A cook prepares food for displaced people in Khan Yunis. 

Children fill bottles with water from a mobile cistern in Rafah.

Bakery staff prepare bread packages for Palestinians queueing outside in Rafah.

Gazans are taking care of each other while awaiting fuel and humanitarian aid. 

""The need is absolutely overwhelming, it's desperate, and while this sounds like a tiny start to what's needed, it's needed now, in the next few hours. It cannot wait days because more and more innocent people are going to die,” Melanie Ward, chief executive for Medical Aid for Palestinians said. 

Follow live updates on the Israel-Hamas war at the link in our bio. 

📷️ Mohammed Abed / AFP - Getty Images
Ahmad Hasaballah / Getty Images",2939,379
Cygzh4NtxN9,2023-10-17 20:01:21,GraphVideo,Residents of Israel describe life during the Israel-Hamas war.,2855,2301
Cygq1bbuOfj,2023-10-17 18:45:22,GraphVideo,A retired Israeli police officer recalls defending his home and family in a three-hour-long battle with Hamas gunmen.,8151,941
Cygl6ZsLRlO,2023-10-17 18:02:21,GraphVideo,"A doctor describes the situation inside Al-Shifa Hospital, the largest hospital in Gaza.",19137,1986
CygjgNXrIZu,2023-10-17 17:41:08,GraphImage,"New Mexico prosecutors intend to recharge Alec Baldwin with involuntary manslaughter in connection with the fatal 2021 “Rust” shooting, two sources familiar with the matter tells NBC News.

The source adds that Baldwin’s case will be brought before a grand jury in mid-November. There had been recent discussions of a plea deal, according to two sources familiar with the matter.

Read more at the link in bio.",4571,535
Cygcf_frGT0,2023-10-17 16:39:57,GraphImage,"Britney Spears says she had an abortion after getting pregnant with Justin Timberlake, a revelation from an excerpt of the pop star's upcoming memoir published Tuesday by People magazine.

“Justin definitely wasn’t happy about the pregnancy,” Spears wrote about her pregnancy with then 18-year-old Timberlake in her memoir. “He said we weren’t ready to have a baby in our lives, that we were way too young.”

Spears was 17 when she started dating Timberlake in 1999, and the pair were together until 2002. In her memoir, ""The Woman in Me,"" the 41-year-old singer describes meeting Timberlake when she was 11 on the set of 'The Mickey Mouse Club,"" and her first kiss with him during a game of Truth or Dare.

Read more at the link in bio.

📷️ Kevin Winter / Getty Images file",9373,567
CygU24oLkFK,2023-10-17 15:33:20,GraphVideo,Scenes inside the Al Shifa hospital in Gaza where thousands of Palestinians are sheltering from Israeli airstrikes.,29711,4718
