url_code,time_utc,type,caption,likes,comments
CytJbKbMyAR,2023-10-22 15:03:40,GraphSidecar,"When OpenAI unleashed its humanlike ChatGPT software on the world last year, one thing was clear: These AI systems are coming for our jobs. ⁠
⁠
But don’t write off the humans just yet. More than a century ago, the advent of the automobile was bad news for stable hands, but good for mechanics. And AI is already creating new opportunities. ⁠
⁠
Read more at the link in our bio.",1348,180
CyriDgzPor3,2023-10-22 00:00:15,GraphImage,"U.S. Department of Agriculture budget analyst Wayne Connelly braced for his boss to discover his office had been taken over by historical artifacts. ⁠
⁠
Connelly had quietly started amassing materials from the agency’s 160-plus-year history to revive a museum that had closed more than a century ago. ⁠
⁠
Its new location: Connelly’s office and that of his remotely working boss. His supervisor said he didn’t mind having his former desk occupied by an exhibit on botanical explorers, among others, earlier this year.⁠
⁠
Around seven months ago, Connelly, shown here, hung a sign in the hallway proclaiming “Museum” in antique-looking font, inviting passersby to stop by his warren of rooms crammed with artifacts, photos, typed placards explaining the historical significance, framed newspaper articles and colorful prints covering every inch of available wall and desktop.⁠
⁠
At the time it was built in the 1930s, the USDA’s South Building was believed to be the largest office building in the world, with 4,500 rooms, 7 miles of corridors, 12 million bricks and 11,000 miles of structural steel, according to the General Services Administration. ⁠
⁠
Connelly, a 35-year veteran of the agency, wasn’t always combing through that labyrinth looking for historical finds. But during the pandemic, he returned to the office earlier than many others and began walking the empty halls. ⁠
⁠
He began doing more research into the history of the agency, founded in 1862 by then-President Abraham Lincoln to deepen agricultural research and disseminate information at a time when about half of all Americans lived on farms. ⁠
⁠
For roughly two years, Connelly has been on a mission to track down every interesting historical item still lurking in the thousands of rooms that make up the U.S. Agriculture Department. ⁠
⁠
The museum’s latest challenge is access. For now, visitors can only enter with a USDA employee, given the location.⁠
⁠
Read more at the link in our bio.⁠
⁠
📷: @kentnish for @wsjphotos⁠",3483,184
Cyq_2YWJVMR,2023-10-21 19:01:31,GraphVideo,"The key to shorter lines and higher profits at one restaurant chain: a salad-making robot. ⁠
⁠
Fast-casual chain Sweetgreen in May opened its first restaurant staffed by a proprietary robot that shoots kale, cheese and other ingredients down tubes into bowls traveling on a conveyor belt. A handful of employees add finishing touches, such as spiced cashews. ⁠
⁠
The system can slash the number of workers and time it takes Sweetgreen to make a bowl by more than half, executives said. Eventually, the company intends for salad-making robots to staff all of its new restaurants, working alongside human employees. ⁠
⁠
Restaurant chains are striving to become more efficient as food, labor and other costs remain high, and staffing tight. Chili’s is scrutinizing operations down to the way workers prepare shrimp, while Wendy’s studies workers’ footsteps to design more efficient kitchens. ⁠
⁠
Read more at the link in our bio.⁠
⁠
Video: Sweetgreen",4105,128
CyqkjAFOV43,2023-10-21 15:04:16,GraphVideo,"Before he became a legendary director, Martin Scorsese had his share of first jobs—and first mistakes.⁠
⁠
Watch the full interview at the link in our bio.⁠
⁠
🎥: @rinnny_ and @mylestanzer",1284,48
CyobKLcM8R1,2023-10-20 19:02:14,GraphImage,"Hamas has released two U.S. citizens taken hostage in Gaza, according to a U.S. official and another person familiar with the matter. The U.S. official said the State Department had confirmed the release of the two Americans.⁠
⁠
A person familiar with the matter said the two captives were “on their way out of Gaza"" on Friday evening.⁠
⁠
The release is the first time Hamas has released any of the more than 200 hostages taken by militants during the Oct. 7 attack that killed more than 1,400 Israelis.⁠
⁠
Follow live coverage at the link in our bio.",4354,563
CyoIralsBaH,2023-10-20 16:23:40,GraphVideo,"Medical staff at a Gaza hospital had to rely on cellphone lights to treat patients.⁠
⁠
Dr. Mohammed Qandeel, the emergency director of Nasser Hospital, said doctors there are working in “very difficult” conditions.⁠
⁠
Follow live coverage at the link in our bio.",15230,1364
Cyn8Gk_stuh,2023-10-20 14:30:55,GraphImage,"A potential blockbuster weight-loss drug still years away from U.S. regulatory approval is already being sold online, another example of a thriving gray market for unapproved weight-loss medications, according to a WSJ review.⁠
⁠
The Journal found hundreds of merchants offering the new drug, which is being developed by Eli Lilly and is called retatrutide. Most appear to be Chinese sellers shipping directly to U.S. consumers from sites such as Made-in-China.com. Some of the sites, including ones that appear to be based in the U.S., have marketed their products via posts on Facebook, LinkedIn and Reddit. A handful have run paid ads on Instagram and Google. A fitness influencer has offered it for sale via his newsletter.⁠
⁠
Excitement over retatrutide jumped in June when Lilly reported Phase 2 trial results that showed the drug led to an average weight loss of up to 24% over 48 weeks. That could prove better than Lilly’s already-approved drug Mounjaro.⁠
⁠
In August, the Journal reported that more than 50 websites were selling knockoff semaglutide and tirzepatide, the active ingredients in Ozempic and Mounjaro respectively. The Food and Drug Administration issued warning letters to two websites for “unlawful sale of unapproved and misbranded drugs” after the Journal’s article. One, GorillaHealing.com, no longer lists those two drugs on its website, but does offer retatrutide. Last week, three days after the warning letter was posted publicly, the top result in a Google search for “buy retatrutide” was a GorillaHealing.com ad.⁠
⁠
GorillaHealing.com didn’t respond to a request for comment. Meta Platforms, which owns Facebook and Instagram, as well as Google, LinkedIn and Reddit all said in statements that they removed advertisements or user posts that were flagged by the Journal, each citing internal policies.⁠
⁠
In a statement, the FDA said it would continue to investigate reports of suspect counterfeit drugs to determine the public health risks and the appropriate regulatory response. ⁠
⁠
Read more at the link in our bio.⁠
⁠
📷: @cfongphoto for @wsjphotos",3621,193
CymRoTjt0s8,2023-10-19 23:03:17,GraphVideo,"Palmer Luckey, founder of defense-technology company Anduril Industries, pushed back on remote work at the #WSJTechLive conference.⁠
⁠
He also shared his views on the evolution of warfare, the technology his company is developing to contribute to these changes and the role government should play in regulating artificial intelligence in defense tech.⁠
⁠
Watch the full interview at the link in our bio.⁠
⁠
📷: Nikki Ritcher for @wsjphotos",22224,2018
CyldWq9NnBI,2023-10-19 15:26:33,GraphVideo,"Hundreds of protesters rallied inside an office building on Capitol Hill to call for a ceasefire in the Israel-Hamas War.⁠
⁠
Capitol Police arrested a number of demonstrators Wednesday inside the Cannon House Office Building.⁠
⁠
Follow live coverage of the war at the link in our bio.⁠
⁠
Photo: Amanda Andrade-Rhoades/AP",6920,912
Cyj-Uvvy9v1,2023-10-19 01:36:02,GraphVideo,"Chinese jet fighters have performed reckless maneuvers close to American and other military aircraft almost 300 times in the past two years under a centrally directed campaign of coercion, the Pentagon said.⁠
⁠
The U.S. said the incidents were orchestrated by senior Chinese leaders. China’s Defense Ministry didn’t immediately respond to a request for comment.⁠
⁠
Read more at the link in our bio.",17010,1078
