owner_username,url_code,time_utc,type,caption,likes,comments
FoxNews,CzHlr7dsLK2,2023-11-01 21:30:36,GraphImage,DISPATCH DRAMA: The police department was forced to arrest one of their own. Read the full story at the link in our bio.,4884,299
FoxNews,CzHb5c1sdBQ,2023-11-01 20:05:04,GraphImage,CALLS CANCELED: The cruise line said in a release it “will continue to closely monitor and evaluate future sailings and adjust as needed.” Link in bio.,2168,253
FoxNews,CzHUf5sMDXN,2023-11-01 19:00:26,GraphImage,"POWER STRUGGLE: The projects were supposed to be proof of ""Bidenomics in action"" but were cancelled over high inflation. Link in bio.",5787,511
FoxNews,CzHQZMjJnFB,2023-11-01 18:24:33,GraphImage,DECISION DAY: What the central bank’s move means for Wall Street and your bottom line at the link in bio.,6538,768
FoxNews,CzHNng7Jpzd,2023-11-01 18:00:17,GraphImage,'HE WAS SOBER': 'Friends' creator recalls last conversation with Matthew Perry just 2 weeks before death. Link in bio.,7075,247
FoxNews,CzHGvqMvw6g,2023-11-01 17:00:15,GraphImage,"'PART OF THE PROBLEM': The X owner explained why he believes George Soros ""fundamentally hates humanity"" at the link in bio.",9579,587
FoxNews,CzG_4XDpIOR,2023-11-01 16:00:16,GraphImage,'LAUNDERED CHINA MONEY': @CongressmanComer makes explosive new claims in Biden corruption probe at the link in bio.,11435,1281
FoxNews,CzG5A_WJUIw,2023-11-01 15:00:16,GraphImage,‘NEVER FORGOT THAT’: The ‘Full House’ actor says Perry made an impromptu joke that saved him from embarrassment on the set of ‘Friends.’ Link in bio.,5259,139
FoxNews,CzGyJUpN0xN,2023-11-01 14:00:15,GraphImage,NOTHING TO ‘HEID’: See more party pics at the link in bio.,3755,218
FoxNews,CzGrSTnNQm2,2023-11-01 13:00:19,GraphImage,‘MAKE CAMO YOUR CAUSE’: See how you can help at the link in bio.,4586,409
FoxNews,CzGkaOhMZcq,2023-11-01 12:00:12,GraphImage,"'MOMMY, I'M SHOT': Meirav Gonen listened as her daughter bled in the back of a car after the terror group attacked a music festival in Israel. Link in bio.",7415,1523
FoxNews,CzGcHjrMvc0,2023-11-01 10:47:45,GraphImage,"SAVING SPORTS: The activist applauded the female athletes for boycotting ""so effectively that they protected not just themselves, but generations of women to come."" Link in bio.",24027,536
FoxNews,CzGPzMgs6I7,2023-11-01 09:00:06,GraphImage,NEW AND IMPROVED: Customers are lovin' the latest rebrand. How the beloved item became a billion-dollar brand at the link in bio.,7487,887
FoxNews,CzGI77SsPGy,2023-11-01 08:00:08,GraphImage,OFF SCRIPT: The actor tells all in his new memoir and at the link in bio.,2664,166
FoxNews,CzF7M7RtTwQ,2023-11-01 06:00:08,GraphImage,FIGHT AGAINST FREELOADERS: Inside the ‘atrocious scene’ at the link in bio.,4147,390
FoxNews,CzFo7qntPJw,2023-11-01 03:20:29,GraphImage,‘THIS IS A PLAN’: Texas lieutenant governor breaks down the real reason he thinks the southern border is open — to turn illegal immigrants into voting citizens.,7616,487
FoxNews,CzFmqyzNpq-,2023-11-01 03:00:42,GraphImage,"'CRISIS RIGHT NOW': Son of Hamas leader issues dire warning to US, begs leaders to ""put pressure"" on Egypt to help Gazan civilians.",16384,1441
FoxNews,CzFkURUt8tk,2023-11-01 02:40:09,GraphImage,KEEP THE FAITH: The newly elected speaker of the House is responding to attacks such as being called a “Christo-fascist.” Why he wishes critics would “get to know” him at the link in bio.,15023,926
FoxNews,CzFdc_9BcGa,2023-11-01 01:40:11,GraphImage,"DOUBLE STANDARD: Parents concerned about their children’s education were previously referred to as “domestic terrorists,” but when it comes to antisemitic individuals, the White House is biting their tongue. More on the stark contrast at the link in bio.",10971,3371
FoxNews,CzFY6Mwt26R,2023-11-01 01:01:08,GraphVideo,‘COLD-HEARTED ADMINISTRATION’: @ingrahamradio and Texas’ lieutenant governor blast Mayorkas for deliberately dodging questions about the open border.,13809,816
FoxNews,CzFVLgTuefM,2023-11-01 00:27:55,GraphImage,"‘TRULY TALENTED’: Tyler Christopher, known for his roles on “General Hospital” and “Days of Our Lives,” has died at the age of 50. Tributes pour in at the link in bio.",19876,1537
FoxNews,CzFPm7DReij,2023-10-31 23:39:13,GraphImage,THE FINE PRINT: The fast-food giant has an urgent message for consumers as it faces a lawsuit in the death of a 21-year-old college student. The warning is at the link in bio.,14977,779
FoxNews,CzFM9ZiyIMF,2023-10-31 23:16:04,GraphImage,TUNE IN: Watch coverage of Game 4 of the World Series tonight on FOX.,1234,98
FoxNews,CzFHtn5uNrz,2023-10-31 22:30:13,GraphImage,OFF THE GRID: The map is catching attention after some Chinese internet users noticed the country in the middle of a war is nowhere to be found. Details about the concerning development at the link in bio.,14203,2119
FoxNews,CzFB8mHRrMP,2023-10-31 21:39:50,GraphImage,'WE ARE NOT LIKE HER': Muslim immigrant running to unseat Rep. Ilhan Omar torches the “Squad” member for failing to stand with Israel against Hamas terrorists. Why she says far-left progressives “have no clue what they’re chanting about” at the link in bio.,42595,2578
FoxNews,CzE9aQVO5ks,2023-10-31 21:00:11,GraphImage,DOMINATING COMPETITION: Fox News consistently landed in the number one spot during a busy news month — all thanks to you. The full breakdown of the shows’ numbers at the link in our bio.,6857,501
