owner_username,url_code,time_utc,type,caption,likes,comments
Tabletmag,CywLDuSNT4W,2023-10-23 19:15:23,GraphSidecar,"""For the dead and the living, we must bear witness.” ― Elie Wiesel⁠
⁠
Reporting here sourced from David Patrikarakos and Carrie Keller-Lynn (@cjkeller8.) Head to link in bio to listen to firsthand survivor testimonies from the October 7 massacre.",17310,1089
Tabletmag,CyWAUO7NDJm,2023-10-13 15:21:15,GraphSidecar,"None of the horrors you are witnessing this week—not the massacre of Jews, not the betrayal by public figures and popular activist movements, not the moral insanity of our universities and cultural spaces—happened by accident.⁠
⁠
Head to link in bio to read.",2702,167
Tabletmag,CyOV75VsdX8,2023-10-10 15:56:15,GraphSidecar,"Be decent. Stand with the Jewish people in your lives.⁠
⁠
Head to link in bio to read.",36116,1397
Tabletmag,CzHR2zsRRvb,2023-11-01 18:37:17,GraphImage,"How did everyone get Hamas wrong, including the experts?

“I now know I suffered from a failure of imagination, both moral and practical. Under Hamas, Gaza wasn’t a place where extremists had resigned themselves to their own strange version of normality. Rather, it was an active launching pad for an insane utopia, for the vision of a purified world the group’s fighters carried out during their atrocious rampage on October 7,” writes Armin Rosen.

Head to link in bio to read.",3527,81
Tabletmag,CzG0DdDLu64,2023-11-01 14:18:22,GraphVideo,"If you’re curious why Israel has refused calls for a ceasefire, this video of Hamas political bureau member Ghazi Hamad offers a useful window into their decision-making process. 

To keep up with more developments like this, head to the link in bio to subscribe to the Scroll, Tablet’s daily afternoon newsletter, which offers updates on Israel at War.",1856,178
Tabletmag,CzEs8DfRi9D,2023-10-31 18:36:13,GraphSidecar,"What am I watching?⁠
⁠
I was staring at my phone in blank incomprehension watching the worldwide demonstrations of enthusiasm that followed the bloodiest pogrom since World War II—the “gas the Jews!” of the pro-Palestinian demonstrations in Sydney, the “fuck the Jews!” in London, the Nazi salutes in Paris, the Nazi flags in New York.⁠
⁠
I know exactly what this looks like for Jews in France, and for the rest of the world. The specific nature of the horrors it will produce when enacted on a global scale remain to be seen.⁠
⁠
Head to link in bio to read.",1074,29
Tabletmag,CzEW96PSrOJ,2023-10-31 15:24:17,GraphSidecar,"""As it turns out, the double standard I tolerated, to my shame, was not just a pesky social inconvenience: It was a sign of the deep, insidious rot within institutions from which I was supposed to derive a sense of self, as well as a sense of belonging to something higher and better.""⁠
⁠
Head to link in bio to read, from @aniwilc.",2686,45
Tabletmag,CzB6GqcrnmO,2023-10-30 16:33:32,GraphImage,"Antisemitism on college campuses has been on a steady rise, and Jewish students have been sounding the alarm for years. Will people finally start listening?

From the archives: The Hate That Can’t Be Contained. Head to link in bio to read.",2137,62
Tabletmag,CzBsNkvsvr2,2023-10-30 14:32:11,GraphSidecar,"On Oct. 7, Hamas unleashed a savage assault on southern Israel. These marauders were equal-opportunity killers, kidnappers, and abusers. They particularly relished targeting women—slaughtering them, raping them, cutting babies out of pregnant women’s wombs, torturing mothers and grandmothers in front of their families—and, many fear, sexually enslaving some of the hostages. The world witnessed these perversions because the villains proudly filmed them. This digital, GoPro assault on the victims’ dignity made this orgy of misogyny one of the bloodiest and most publicized attacks on women in history.⁠
⁠
Nevertheless, more than three weeks later, the feminist community remains silent. ⁠
⁠
Head to link in bio to read.",4073,119
Tabletmag,Cy_jdbarawX,2023-10-29 18:37:11,GraphSidecar,"""It's just about the land.""

Antisemitic mobs broke out “searching for Jews” at the airport in Dagestan, Russia as a plane from Tel Aviv was landing.

Mobs were also raiding hotels looking for Jews after rumors spread that Israelis were taking refuge there.

The flight was diverted to another airport in the city. It is not clear whether the passengers were able to land safely.",3432,440
Tabletmag,Cy_c6VMrOCy,2023-10-29 17:39:58,GraphSidecar,"From the archives: ""Jewish and Zionist allies are getting the message that they are despised and unwanted. In queer and women’s studies programs, the topic of Palestine is regularly inserted into the most unlikely contexts, to the extent that one student in a class about queer history told me that they discussed nothing but Palestine. The bitter irony is that by ostracizing and marginalizing Jews in the name of a postmodern ideology of queerness, actual queer people are made less safe.""

Head to link to bio to read.",3094,152
Tabletmag,Cy6SbsmLSIo,2023-10-27 17:32:12,GraphSidecar,"With Israeli soldiers looking for levity as the war in Gaza continues, a new trend is sweeping the IDF: mustaches!⁠
⁠
Reservists across the country are shaving their beards or upper lips and growing mustaches. Many other Israelis, from entertainers and comedians to regular civilians, are following suit in an act of solidarity, and the trend is sweeping across social media.⁠
⁠
The lighthearted trend also has more serious references, harkening back to the Yom Kippur War, the last time so many troops were called up--many of whom were sporting mustaches, as pictured in famous photos from the time. ⁠
⁠
As one reservist told the Times of Israel, “On a good day, I’m a leftist but I don’t even know what that means right now. We’ve all been thrown into something. Maybe the mustaches are about harkening back to what was.”",5811,294
