owner_username,url_code,time_utc,type,caption,likes,comments
Time,CzBbRCwM4u2,2023-10-30 12:04:08,GraphImage,"""Nobody believes in our victory like I do. Nobody.""

In a new interview, Volodymyr Zelensky tells TIME he sees no option but to press on with the war through the winter and beyond—even as public support declines. ""I don't think Ukraine can allow itself to get tired of the war,"" he says.

At the link in bio, go inside Zelensky's lonely fight to save Ukraine as war fatigue spreads.

Photograph by Kay Nietfeld—Picture Alliance/Getty Images",14330,2091
Time,Cyiqb6BMmgb,2023-10-18 13:20:13,GraphSidecar,"Saher Alghorra has long loved to document both the beauty and challenges of life in Gaza. That’s what first drove the 27-year-old Gaza native to become a photojournalist. But even Alghorra—who has already lived through the devastating 2008 and 2014 Gaza-Israel conflicts—was not prepared for what has transpired this month. “The humanitarian situation here is extremely catastrophic,” Alghorra tells TIME.

Alghorra’s photographs show how Israeli airstrikes continue to overwhelm the 2.2 million Palestinians living in what is one of the world’s most densely populated places. Families grieve next to lifeless bodies. Plumes of smoke fill the sky. Rubble fills the streets. Patients inundate Al-Shifa, the city’s largest medical complex, as thousands more seek shelter there. Homes are destroyed every day. “They are reduced to dismembered bodies inside,” he says.

And those who live have not escaped the trauma. Alghorra recalls meeting two children at the emergency room at Al-Quds hospital who had lost their father while escaping airstrikes. “They sat there crying. We tried to help find [him],” he says. Alghorra followed them until they finally found him injured in a different part of the hospital. “They hugged each other and collapsed in tears.”

A photographer captures death, destruction, and grief in Gaza — at the link in bio.

Photographs by Saher Alghorra (@saher_alghorra)—Middle East Images/AFP/Getty Images",14535,5457
Time,CyiopBORrSp,2023-10-18 13:04:34,GraphImage,"The families of Israelis held hostage by Hamas speak out about what they know and the torment of what they don't. 

Searching for hope, they find themselves at the mercy both of terrorists and of the intelligence apparatus of an Israeli government that failed them on Oct. 7, then ignored them in the chaotic days that followed.

On the cover, Jonathan Polin, left, and Rachel Goldberg sit with photos of their son, Hersh Goldberg-Polin. Goldberg-Polin, 23, was injured and abducted at the Nova music festival in southern Israel.

""Since midday Saturday, we've had a team of supporters here around the clock making calls to hospitals, to authorities, trying to work through U.S. government authorities, trying to get to humanitarian international aid agencies, trying to get to foreign governments that we think might be potentially influential. Right now we have a team working full speed with the number one goal being get Hersh the medical treatments that he needs immediately,"" Jonathan Polin says.

""We're doing everything we can to bring Hersh home.""

Read the families' stories at the link in bio.

Photograph by Michal Chelbin (@michal_chelbin) for TIME.",19433,10127
Time,CzHQ9SJsFaX,2023-11-01 18:32:04,GraphVideo,See all the best looks from Heidi Klum's annual Halloween party,10249,204
Time,CzGyIaJOopR,2023-11-01 14:00:11,GraphImage,"According to the American Psychological Association’s latest Work in America survey, 19% of employees say their workplace is very or somewhat toxic, and 22% believe that work has harmed their mental health. 

Workers describe feeling emotionally exhausted, ineffective, and unmotivated, and admit to being irritable with their coworkers or customers. Meanwhile, only 40% report that time off is respected, 35% say their workplace culture encourages breaks, and 29% note that their managers encourage employees to take care of their mental health.

Enter boundaries. Setting them can be hard, which is why we asked experts how to set boundaries around six common work scenarios.

Link in bio.",2681,35
Time,CzGkZc2MGDv,2023-11-01 12:00:09,GraphImage,"When Joko Widodo, popularly as Jokowi, was sworn in as Indonesia’s seventh President in 2014, optimism surrounding the state of democracy in the country seemed at its peak. 

At a time when dynasties traditionally dominated Indonesia’s political arena, the ascension of Jokowi, who was a carpenter and furniture businessman before becoming the governor of Jakarta, was hailed as a beacon of hope. 

But as the curtains fall on Jokowi’s decade of rule, he may be remembered more for ushering in a new era of democratic decline. Even his capstone initiative, what was meant to be a sprawling monument to his legacy—the development of a new capital called Nusantara, to replace the existing capital in Jakarta beginning as soon as next year—looks to embody such a backsliding.

At the link in bio learn Widodo's plan for a new capital is a monument to the country's democratic decline.

Photograph by Edgar Su—Reuters",9062,607
Time,CzFE3u9OE1R,2023-10-31 22:07:12,GraphVideo,Protesters calling for a cease-fire in Gaza repeatedly interrupt Sec. of State Antony Blinken’s testimony before the U.S. Senate,39374,3296
Time,CzEzbkHNroZ,2023-10-31 19:33:48,GraphVideo,Dracula's Transylvanian castle sees record number of Halloween visitors,9162,88
Time,CzEjz58uK6O,2023-10-31 17:16:31,GraphSidecar,"There's no better time to settle in with a gripping, twist-filled, and satisfying mystery than Halloween.

Swipe through some of the most chilling opening lines that we could find, and at the link in bio, find 100 of the best mystery and thriller books of all time.

Illustration by Michelle Urra for TIME",1233,10
Time,CzEWkGNxzy-,2023-10-31 15:20:47,GraphImage,"The use of the watermelon as a Palestinian symbol is not new. 

It first emerged after the Six-Day War in 1967, when Israel seized control of the West Bank and Gaza, and annexed East Jerusalem. At the time, the Israeli government made public displays of the Palestinian flag a criminal offense in Gaza and the West Bank.

To circumvent the ban, Palestinians began using the watermelon because, when cut open, the fruit bears the national colors of the Palestinian flag—red, black, white, and green. 

Learn more at the link in bio.

Photograph by Yahel Gazit—Middle East Images/AFP/Getty Images",21303,1122
