owner_username,url_code,time_utc,type,caption,likes,comments
NYTimes,CzrLIDtv8rX,2023-11-15 17:11:08,GraphSidecar,"Adult children caring for their aging parents are worried about unreliable agencies, dwindling financial resources and a lack of resources for long-term care.

The New York Times and @kffhealthnews, a nonprofit news organization, interviewed families and experts for the “Dying Broke” series, a joint project on long-term care. Those taking care of their parents expressed concern as they watched bills pile up and found themselves having to make difficult decisions about placing their parents in assisted living facilities. “If Mom gets worse and I can’t care for her? That’s something I struggle with,” said Karina Ortega, whose mother was diagnosed with Alzheimer’s in March 2020. She added: “I just can’t see it in me to leave my mom because she needs me.”

Read more at the link in our bio about how adult children are coping with helping their aging parents. Photos by @maansi.photo, @ddrios, @bryan.meltz, @kelburgess, @willcrooksphoto and @michelleagins",5012,84
NYTimes,Czq8ES4LZAX,2023-11-15 14:59:33,GraphImage,"The Israeli military forged ahead with its raid on Gaza’s largest hospital Wednesday afternoon, 12 hours after troops first stormed the complex, in a significant step that could shape the pace and extent of its war with Hamas.

The hospital, Al-Shifa, has become synonymous with Israel’s 40-day effort to wrest control of Gaza from Hamas. Its capture could affect international sentiment about the invasion as well as the continuing negotiations to free the hostages captured by Hamas last month.

A senior Israeli military official said on Wednesday that troops were interrogating people inside the hospital and had found weapons during the raid, but declined to provide evidence or further details because the operation was ongoing. Palestinian officials, the heads of United Nations agencies and some Mideast regional leaders condemned the raid, warning that it risked the lives of Gaza’s most vulnerable.

Few details about the raid were available on Wednesday afternoon, as communications were disrupted in Gaza City. This is a developing story. Tap the link in our bio for live updates.",10336,2545
NYTimes,CzpiOVgRhX1,2023-11-15 01:54:29,GraphSidecar,"Hochatown, on the shores of Broken Bow Lake in the southeast corner of Oklahoma, has a population of just 219 people. But on weekends, as many as 50,000 visitors, mostly from Dallas, flock there to kayak, fly-fish and hike among the waterfalls, rapids and thick forests of pine and pawpaw trees.

Before the Covid-19 pandemic, Hochatown had roughly 400 cabins for rent on Airbnb. There are now more than 2,400 — a staggering 413% increase in five years. Hochatown does not have a single police officer or professional firefighter. There is no sewerage system, no garbage collection, not even sufficient water to handle the proliferation of people and new homes.

What might be called the Airbnb effect has transformed the landscapes — and the economies — of countless small towns across the U.S. Read the full story at the link in our bio. Photos by @shelby_tauber",18584,403
NYTimes,CzpWrz4PjvB,2023-11-15 00:13:39,GraphImage,"Booths, a small chain that has sold groceries in northern England since 1847, announced this week that it would be getting rid of the self-checkouts in all but two of its 28 stores. The chain is bucking a trend that has remade retail shopping around the world over the last 20 years. Booths, which has about 3,000 employees, said in a statement that having its employees interact with customers would provide a better experience.

Do you prefer a cashier to self-checkout? Tap the link in our bio to learn more about the reversal of the self-checkout trend. Photo by @andrew_testa",77456,2058
NYTimes,CzpMGzRP0l4,2023-11-14 22:43:02,GraphVideo,"Families of Hostages Held by Hamas Begin March From Tel Aviv to Jerusalem

About 100 people who are family members and friends of the hostages held by Hamas began a five-day march to Prime Minister Benjamin Netanyahu’s office in Jerusalem.

Tap the link in our bio to read more about the families who are seeking to secure the release of people abducted in the Oct. 7 attack on Israel.",42347,4793
NYTimes,Czo-ArJP2tY,2023-11-14 20:39:00,GraphImage,"Doctors have long relied on a few key patient characteristics to assess risk of a heart attack or stroke, using a calculus that considers blood pressure, cholesterol, smoking and diabetes status, as well as demographics: age, sex and race.

Now, the American Heart Association is taking race out of the equation.

The overhaul of the widely used cardiac-risk algorithm is an acknowledgment that, unlike sex or age, race identification in and of itself is not a biological risk factor.

Learn more about the revision, as well as a broader trend toward removing race from a variety of clinical algorithms within the U.S. health care system, at the link in our bio. Photo by Rocketclips, Inc./Alamy",9069,188
NYTimes,Czoxyfkva89,2023-11-14 18:52:14,GraphVideo,"A Volcano May Erupt in Iceland

Iceland is bracing for a possible volcanic eruption. Since late October, tens of thousands of earthquakes have been reported in the Reykjanes Peninsula, in the southwestern part of the country. At one point there were as many as 1,400 in a single 24-hour period.

On Tuesday, the Icelandic Met Office, the country’s weather service, warned that there was a “significant likelihood of a volcanic eruption in the coming days.” The increased seismic activity and the formation of a nine-mile underground river of magma have led the authorities in recent days to declare a state of emergency and to evacuate the small fishing town of Grindavik, where more than 3,000 people live.

Tap the link in our bio to learn more about what to expect in the event of a volcanic eruption in Iceland.",91149,926
NYTimes,CzoluvGOKxX,2023-11-14 17:05:53,GraphSidecar,"Wondering which turkey is right for your Thanksgiving table? We’ve got you covered. At the link in bio, find an interactive guide that’ll walk you through choosing a turkey (or turkey alternatives), sides and everything else you’ll need for the big day.",4481,59
NYTimes,CzogjYtO9u4,2023-11-14 16:20:39,GraphSidecar,"The U.S. has no coherent system for providing long-term elder care, leaving aging people to rely on a patchwork of solutions. Millions of families are facing daunting life choices and potential financial ruin as the escalating costs of care devour their savings and incomes.

The private market where a minuscule portion of families buys long-term care insurance has shriveled.  Labor shortages have left families searching for workers willing to care for their elders at home.The cost of a spot in an assisted-living facility has soared to an unaffordable level for most middle-class Americans who qualify for nursing home care paid for by the government only after they run out of money. 

The prospect of dying broke looms as an imminent threat for the boomer generation, which has vastly expanded the middle class and looked hopefully toward a comfortable retirement on the backbone of 401(k)s and pensions. The problem is only set to worsen: By 2050, the population of Americans 65 and older is projected to increase by more than 50%, to 86 million, according to census estimates. The number of people 85 or older will nearly triple, to 19 million.

The New York Times and @kffhealthnews, a nonprofit news organization, interviewed dozens of families and experts for the “Dying Broke” series, a joint project on long-term care. Read more at the link in our bio. Photos by @shuranhuang, @arinyoon, @fremson and @willdeshazer",29178,1055
NYTimes,CzoWW_yscYi,2023-11-14 14:51:58,GraphImage,"More than 400 political appointees and staff members representing some 40 government agencies sent a letter to President Biden on Tuesday protesting his support of Israel in its war in Gaza.

The letter, part of growing internal dissent over the administration’s support of the war, calls on the president to seek an immediate cease-fire in the Gaza Strip and to push Israel to allow humanitarian aid into the territory. It is the latest of several protest letters from officials throughout the Biden administration, including three internal memos to Secretary of State Antony Blinken signed by dozens of State Department employees as well as an open letter signed by more than 1,000 employees of the U.S. Agency for International Development.

The letter, a copy of which was reviewed by The New York Times, began by denouncing the Oct. 7 attacks by Hamas, then urged Biden to stop the bloodshed caused by Israel’s retaliatory military campaign in Gaza. Read the full story at the link in our bio",94775,4313
