owner_username,url_code,time_utc,type,caption,likes,comments
Reuters,CzrA4vpsGuT,2023-11-15 15:41:40,GraphSidecar,"🐠 A vast treasure of critical minerals lies on the ocean floor. Should they be extracted to help fight climate change? 
 
🌊 The International Seabed Authority is working to set regulations for deep-sea mining as companies engaged in the clean energy transition clamor for more minerals. 
 
🔗 Read more from Reuters Graphics at our link in bio",623,15
Reuters,CzpNNWaO_R-,2023-11-14 22:51:33,GraphVideo,"⚡️🚁 Electric aircraft maker Joby Aviation achieved a milestone with its exhibition flight at the Downtown Manhattan Heliport in New York City, marking the city’s first-ever electric air taxi flight. It plans to launch commercial flights in 2025.
 
#Reuters #videonews #NewYork #NewYorkCity #NYC #JobyAviation #electrichelicopter #airtaxi #electricairtaxi",3459,82
Reuters,CzpATJQrVQj,2023-11-14 20:58:05,GraphImage,"Tens of thousands of demonstrators gathered in Washington, D.C., on November 14, 2023, for a ""March for Israel"" to show solidarity with Israel in its war with Hamas and condemn rising antisemitism.
 
Streets were closed around much of downtown amid heightened security, as people gathered on the National Mall, many draped in Israeli and U.S. flags.
 
People in the crowd held up signs showing the names and photographs of people kidnapped by Hamas, and chanted ""bring them home."" Other signs included “We have no where else to go” and “civilians who praise the slaughter of Jews are not innocent.”
 
🔗 Read the latest on the Israel-Hamas war at our link in bio. 📷 @LeahMillis #Israel #rally #reuters #reutersphotos #DC #gaza",8078,2208
Reuters,CzmNYCiOZS8,2023-11-13 18:55:09,GraphVideo,"Medical staff sewed up a patient’s head wound using a flashlight from a mobile phone amid power cuts at north Gaza’s Indonesia hospital. Israeli tanks took up positions at the gates of Gaza City’s main hospital, the primary target in their battle to seize control of the northern half of the Gaza Strip, where medics said patients including newborns were dying for lack of fuel.
 
Gaza health ministry spokesperson Ashraf Al-Qidra, who was inside Al Shifa hospital, said 32 patients had died in the past three days, including three newborn babies, as a result of the siege of the hospital and lack of power.
 
At least 650 patients were still inside, desperate to be evacuated to another medical facility by the Red Cross or some other neutral agency. Israel says the hospital sits atop tunnels housing a headquarters for Hamas fighters using patients as shields, which Hamas denies.
 
Israel launched its campaign last month to annihilate Hamas, the militant group which runs the Gaza Strip, after Hamas fighters rampaged through southern Israel killing civilians. Around 1,200 people died and 240 were dragged to Gaza as hostages, according to Israel’s tally, in the deadliest day in its 75-year history.
 
🔗 Read more about the Israel-Hamas war at our link in bio.
 
#Reuters #video #videonews #topstories #topnews #Israel #Israelis #Hamas #Palestinians #Palestinianterritories #Palestinian #Hamasattack #conflict #Gaza #IsraelHamas #IsraelHamaswar #IsraelHamasconflict",9134,1127
Reuters,CzlszAVsDBZ,2023-11-13 14:09:55,GraphImage,"Newborns are placed in a bed after being taken off incubators at Gaza's Al Shifa hospital after a power outage in Gaza City, November 12, 2023.
 
Two more major hospitals in Gaza closed to new patients on Sunday, with staff saying that Israeli bombardment plus lack of fuel and medicine meant more could die.
 
Hospitals in the north of the Palestinian enclave are blockaded by Israeli forces and barely able to care for those inside, medical staff said. Israel says it is homing in on Hamas militants in the area and the hospitals should be evacuated.
 
Gaza's largest and second-largest hospitals, Al Shifa and Al-Quds, said they were suspending operations. With more people killed and wounded daily but half of the territory's hospitals now out of action, there are ever fewer places for the injured.
 
🔗 Read the latest on the Israel-Hamas war at our link in bio. 📷 Photo obtained by Reuters #gaza #hospital #babies #israel #war #conflict",20119,2348
Reuters,CzjnJPpOcwa,2023-11-12 18:42:07,GraphImage,"Palestinians flee north Gaza to move southward as Israeli tanks roll deeper into the enclave in the central Gaza Strip, November 12, 2023. 🔗 Read the latest on the Israel-Hamas war at our link in bio. 📷 @Ibraheem_Abu_Mustafa
#Israel #Gaza #reuters #reutersphotos",3513,567
Reuters,Czekur7xIjs,2023-11-10 19:44:44,GraphImage,"The United States Air Force's B-21 ""Raider,"" a long-range stealth bomber that can be armed with nuclear weapons, takes off on its first flight from the runway at Northrop Grumman's site at Air Force Plant 42, in Palmdale, California, November 10, 2023. 📷 @photoswanson #reuters #reutersphotos #airforce #b21",8467,327
Reuters,CzcPJyrRHbw,2023-11-09 21:57:43,GraphSidecar,"Israeli air strikes devastated parts of the Jabalia refugee camp in north Gaza, flattening buildings in a densely populated area where at least 195 civilians were killed and scores more are still missing, Palestinian authorities say.
The strikes at the Jabalia camp – the largest of several refugee settlements in Gaza – have fueled international concern at the mounting humanitarian toll of Israel’s campaign.
🔗 Read more at our link in bio.",8429,1953
Reuters,CzcErQkrtQv,2023-11-09 20:26:13,GraphImage,"Israeli troops maneuver near the Israel-Gaza border, as seen from southern Israel, November 9, 2023. 

Israel has agreed to pause military operations in parts of north Gaza for four hours a day from Thursday, the White House said, raising hopes of a respite in more than a month of fighting that has killed thousands and stoked fears of regional conflict.

The pauses, that would allow people to flee along two humanitarian corridors and could be used for the release of hostages, were significant first steps, White House national security spokesperson John Kirby said. 

🔗 Read the latest on the war at our link in bio. 📷 @Evelynpix #Israel #Gaza #reuters #reutersphotos #war #conflict",986,381
Reuters,CzbjbgSNf8a,2023-11-09 15:35:42,GraphImage,"A man attempts to rescue a boy from raging flood waters following heavy rains in Mogadishu, Somalia, November 9, 2023. 
 
The worst flooding to hit Somalia in decades has killed 29 people and forced more than 300,000 to flee their homes, the National Disaster Management Agency said.
 
Authorities have scrambled to rescue thousands of stranded people from the floodwater, which comes on the heels of the region's worst drought in 40 years. 🔗 Read more at our link in bio 📷 @Feisal.o #flooding #disaster #weather #environment #reuters #reutersphotos",2359,64
Reuters,CzZL8-WxSH7,2023-11-08 17:32:31,GraphVideo,"Giant pandas Mei Xiang, Tian Tian and Xiao Qi depart Washington D.C.’s National Zoo to return to China.
 
Mei Xiang and Tian Tian came to the zoo in 2000 under a cooperative research and breeding agreement with the China Wildlife Conservation Association. The pandas were initially meant to stay 10 years, but the agreement has been renewed three times since 2010.
 
The zoo’s giant panda program began in 1972, when Chinese Premier Zhou Enlai donated two pandas to the United States soon after President Richard Nixon’s historic visit to China that year.
 
#Panda #GiantPandas #MeiXiang #TianTian #XiaoQiJi #WashingtonZoo #SmithsonianNationalZoo #Reuters #News #Animals",1638,79
Reuters,CzY67UmrXTd,2023-11-08 15:03:18,GraphImage,"Emad El Salot's son mourns his father who was killed in Israeli strikes in Khan Younis in the southern Gaza Strip, November 8, 2023. Air strikes on the Gaza Strip killed a Hamas weapons maker and several fighters, the Israeli military said on Wednesday, as its air and ground offensive targeted the militants' tunnel network beneath the besieged Palestinian enclave.
 
Gaza City, the Hamas militant group's main stronghold in the territory, is encircled by Israeli forces. The Israeli military said troops have advanced to the heart of the densely populated city while Hamas says its fighters have inflicted heavy losses. With the war now entering its second month, UN officials and G7 nations stepped up appeals for a humanitarian pause in the hostilities to help alleviate the suffering in Gaza, where buildings have been flattened and basic supplies are running out. Palestinian officials say more than 10,000 people have been killed, 40% of them children. 
 
🔗 Read the latest on the war at our link in bio. 📷 @MohammedSalem85 #Gaza #reuters #reutersphotos #Israel #war #conflict",2255,733
Reuters,CzXFm35R2rZ,2023-11-07 21:59:33,GraphVideo,"A moment of silence takes place across Israel and beyond on November 7, 2023, to commemorate the victims of the October 7 Hamas attacks while hostages are still held in Gaza.
 
Israel said on Tuesday its forces were operating deep in Gaza City in their battle to wipe out Hamas in the Palestinian enclave, and that the Islamist militant group’s leader was trapped inside a bunker. 🔗 Read the latest on the war at our link in bio",5211,1989
Reuters,CzWXyYnMxYu,2023-11-07 15:17:43,GraphImage,"Britain's King Charles and Queen Camilla pass protesters as they travel by carriage to the State Opening of Parliament, in London, November 7, 2023. 📷 Hollie Adams #london #kingcharles #king #monarchy #royal #royalty #reuters #reutersphotos",5559,168
Reuters,CzUhFhDOpYE,2023-11-06 22:00:33,GraphImage,"Palestinians evacuate the site of Israeli strikes on houses in Maghazi refugee camp in the central Gaza Strip, November 6, 2023. 

Gaza is becoming a ""graveyard for children,"" U.N. Secretary General Antonio Guterres said on Monday, amplifying demands for a ceasefire in the enclave, where Palestinian health authorities said the death toll from Israeli strikes had exceeded 10,000.

Both Israel and the Hamas militants who control Gaza have rebuffed mounting international pressure for a ceasefire. Israel says hostages taken by Hamas during its rampage in southern Israel on Oct. 7 should be released first; Hamas says it will not free them or stop fighting while Gaza is under assault. 

🔗 Read the latest news at our link in bio. 📷 Yasser Qudih #Gaza #reuters #reutersphotos",3493,783
Reuters,CzTz-l5tyA-,2023-11-06 15:26:23,GraphImage,"Anadolu news agency cameraman Mohammed El Aloul mourns at a hospital in the central Gaza Strip after several of his children and siblings were killed in Israeli strikes, November 5, 2023. U.N. agency leaders saying ""enough is enough"" demanded a humanitarian ceasefire on Monday, nearly a month into the war, as health authorities in the Hamas-run enclave said the death toll from Israeli strikes now exceeded 10,000.
 
Israel has rebuffed mounting international pressure for a ceasefire, saying hostages taken by Hamas militants during their rampage in southern Israel on Oct. 7 should be released first. 
 
🔗 Read the latest news at our link in bio. 📷 @MohammedSalem85 #Israel #Gaza #journalism #reuters #reutersphotos",9648,858
Reuters,CzRKeiSLjZF,2023-11-05 14:45:16,GraphImage,"Palestinians gather at the site of an Israeli strike on a house in the Jabalia refugee camp in the northern Gaza Strip, November 4, 2023. 

Palestinian President Mahmoud Abbas demanded an immediate Israeli ceasefire at a meeting with top U.S. diplomat Antony Blinken as Gaza's health ministry said dozens died in a strike on a refugee camp overnight.

Blinken, who dismissed the idea of a ceasefire by Israel for fear it would benefit Hamas, made an unannounced visit to the occupied West Bank as part of an effort to prevent the Israel-Hamas war from spreading. 

🔗 Read the latest news at our link in bio. 📷 Anas al-Shareef #Gaza #Israel #Jabalia #reuters #reutersphotos",3326,504
Reuters,CzMXMF5xmf4,2023-11-03 18:00:05,GraphSidecar,"Medics trapped in a clinic tending to the wounded. A father holding a door shut so gunmen can't get in. Two brothers running a freelance rescue operation. Inside the life-and-death struggle in Kibbutz Be'eri during the Hamas assault that set off a major war. 🔗 Read more at our link in bio.
 
#Hamas #Israel #IsraelHamas #War #Gaza #Palestinians #Israelis #News #Reuters #Investigation #Data",8241,2975
