owner_username,url_code,time_utc,type,caption,likes,comments
Time,Czqus1COb_X,2023-11-15 13:02:51,GraphImage,"As the head of both COP28 and one of the world's largest fossil fuel companies, Sultan Al Jaber is in the middle of the climate fight.

Most years, the COP president plays a largely functionary role, shuttling between member countries to find common ground on wonky areas of climate policy. Al Jaber has taken a very different approach. 

He has extended an invitation to oil and gas companies and prioritized private-sector climate solutions. In Al Jaber’s view, the success of COP28, not to mention the broader efforts to fight climate change, hinges as much on embracing the private sector and shifting market conditions as it does on wonky negotiations. 

“There’s going to be a paradigm shift,” he says. 

Critics from Greta Thunberg to Al Gore say Al Jaber is just a stalking horse for the fossil-fuel industry’s continuing efforts to stall the global climate agenda. 

Al Jaber says he’s uniquely positioned to reconcile the many interests in the climate fight. That debate will define the coming COP summit.

“It may or may not work,” says John Kerry, President Biden’s climate envoy. “Some might call it an experiment to have an oil-and-gas-­producing entity host COP. That’s the big question.”

What happens when you put a fossil fuel exec in charge of solving climate change? Read more at the link in our bio.

Photograph by Ali Al Shehabi (@_alishehabi) for TIME",1075,50
Time,CzoREsxuBRO,2023-11-14 14:05:29,GraphImage,"It’s that time of year. 

Here is TIME’s official list of the 100 must-read books of 2023, featuring something for every reader, from Prince Harry’s Spare to James McBride’s The Heaven & Earth Grocery Store to Jesmyn Ward’s Let Us Descend.

Find the full list at the link in bio.",10480,102
Time,CzTjwwgOI-4,2023-11-06 13:04:43,GraphImage,"Within minutes of the Oct. 31 Israeli attack on the Jabalia refugee camp in Gaza, the victims began flooding the Indonesian Hospital a mile away. Dr. Marwan Sultan, the hospital’s medical director, says that most of the injured and dead were women and children.

There are only 16 intensive-­care beds in the hospital, which was running dangerously low on fuel; the doctor had enough to perform lifesaving operations until the end of the day. 

“If the electricity goes,” says Sultan, “they will die. They will die.” 

All war zones are awful, but Gaza presents a unique hell. Much of the enclave of 2 million is now a battlefield, with civilians and combatants intermixed, and homes and businesses sitting side by side with Hamas military infrastructure. 

Nowhere is that reality felt more keenly than at the territory’s hospitals, which have simultaneously become safe havens and potential targets.

The conditions for medical care in Gaza are deteriorating. Surgeons are operating by flashlight and rationing water, anesthesia, and the generator fuel needed to perform surgeries, provide electricity for incubators, and care for kidney-dialysis patients, doctors and health organizations tell TIME. The roughly two dozen hospitals still operating in Gaza are absorbing the patients of the 12 that have closed because of a lack of supplies and the ongoing bombing, says the World Health Organization (WHO).

Read the full story at the link in bio.

Photograph by Ahmad Salem—Bloomberg/Getty Images",33548,2796
Time,CzrsZehOFhX,2023-11-15 22:03:21,GraphVideo,Families of hostages abducted by Hamas march to Jerusalem in protest,3449,704
Time,CzreuFPOdEv,2023-11-15 20:02:28,GraphImage,"President Joe Biden is meeting with Chinese President Xi Jinping near San Francisco today.

The goal of the highly anticipated meeting is to repair the diplomatic damage from the balloon episode, say White House officials, and find a way for the two nuclear powers to better compete economically without inadvertently blowing each other up.

At the link in bio, Brian Bennett breaks down why Biden's repair mission with Xi may put him out of step with the public.

Photograph by Brendan Smialowski (@bsmialowski)—AFP/Getty Images",5694,220
Time,CzrJcGpuyAA,2023-11-15 16:56:30,GraphImage,"This week is #TransgenderAwarenessWeek, a time to learn about what it means to be transgender and the issues facing the trans community.

In an essay for TIME, @glaad CEO Sarah Kate Ellis explains why it enrages her that anti-trans hate is being spread under the guise of parental rights. ""Our job as parents is to keep our kids safe, tend to their health and well-being, and ensure they receive the education they need to grow into happy, healthy, responsible adults,"" she writes. ""For so many parents of trans youth, the toxic landscape makes it nearly impossible for them to fulfill those basic duties.""

Read her full piece at the link in bio.",1930,363
Time,Czqx7E0PMhc,2023-11-15 13:31:34,GraphVideo,"Bernie Sanders stopped a fight between Sen. Markwayne Mullin and Teamsters Boss Sean O’Brien in the U.S. Senate.

It was one of two near-physical altercations that broke out on Capitol Hill on Tuesday. The two incidents on Capitol Hill underscored the deepening divisions and personal animosities within the political arena.",5207,581
Time,CzowpykuVys,2023-11-14 18:42:03,GraphVideo,"Amid a criminal investigation into his campaign, New York Mayor Eric Adams unveils plan for electric helicopters",3672,129
Time,Czmcy5Sutyj,2023-11-13 21:09:25,GraphImage,"There's a new app on the market, and it's already outpacing TikTok and Google on the App Store.

Lapse, a U.K.-based app, essentially turns your phone into a disposable camera, and then lets you share those often-grainy photos hours later with small groups of friends—instead of to strangers scrolling an endless feed.

As Instagram and TikTok incentivize users to grow their followings and nab ad deals, Lapse has found success in taking the opposite path: towards a potentially more authentic, non-gamified, experience between people who actually know and like each other.

Learn all about it at the link in bio.",10061,151
Time,CzllWSPMrDu,2023-11-13 13:04:55,GraphImage,"Japan's Tadashi Yanai grew Uniqlo into a global force. Now he thinks he knows how to fix his country.

“Wake up!” Yanai says squarely. “Japan is not an advanced nation at all, because we have been in a dormant state for 30 years.”

His sobering pitch is that Japan’s economy is teetering on a precipice because of an unhealthy obsession with manufacturing, workers conditioned to corporate bloat, and a budget financed by soaring debt rather than tax receipts.

Yanai is putting his money where his mouth is and in March hiked the wages of his 8,400 or so employees in Japan by up to 40%. 

“That still is low; it should be much higher,” he confesses. 

He’s calling on Japan’s government to take similarly proactive measures such as raising interest rates and making sweeping regulatory changes to prevent the nation of 125 million from sleepwalking into disaster. 

Uniqlo’s agility and swelling global prominence runs counter to the diminishing imprint of many storied Japanese firms. Up until the 2000s, Japan teemed with engineering pioneers: Casio; Seiko; Fujifilm. But in recent years, complacency, conservative leadership, and fierce competition have seen Japanese brands fall behind.

“Japanese businesses are managed as if they are looking in the rear-view mirror,” Yanai says.

Read the cover story in full at the link in bio.

Photograph by Ko Tsuchiya (@kotsuchiya) for TIME",7764,84
Time,CzjG4HyxKWx,2023-11-12 14:00:12,GraphImage,"""When I was newly divorced, trying to make a fresh start for myself and my children, my thinking about my family and my new life was shaped by absence,"" writes Maggie Smith. ""I looked at us and saw what was missing instead of what was there.""

In a new essay for TIME, the New York Times bestselling author reflects on how she found fullness after her divorce.

Illustration by Zara Picken for TIME",5559,61
Time,CzgiFQeRhR6,2023-11-11 14:00:10,GraphImage,"It’s been quite some time since the world has seen a pop culture phenomenon like Twilight or Harry Potter, but Rebecca Yarros’ latest novels are one of the many fantasy series attempting to give those modern classics a run for their money. 

 FourthWing, and its sequel,  IronFlame, are among the many helping to popularize the romance-fantasy genre, also called “Romantasy.” 

I n less than one day, Iron Flame received over 2,000 ratings on GoodReads, currently sitting with a 4.41 rating on the site. More than 391,000 people have marked it as a book they want to read. The hashtags #FourthWing, #RebeccaYarros, and other related terms have tallied over one billion views, and #IronFlame currently has over 83 million views. 

At the link in bio, learn about romantasy—and how Yarros' books dominated the genre.

Photograph by Getty Images",2732,72
Time,CzetYZsRS_G,2023-11-10 21:00:23,GraphSidecar,"50,000 women in Gaza are pregnant, and more than 160 women are expected to give birth every day, the U.N. Population Fund estimated on Nov 3.

But as the humanitarian crisis inside the besieged territory deepens—over 10,000 civilians have now been killed, 40% of them children, according to Palestinian officials—pregnant women and their newborn children are left to bear the brunt of a healthcare system in a state of total collapse.

More than a third of the hospitals and two-thirds of primary healthcare clinics have shut down due to a lack of fuel, and those still operating are overwhelmed with casualties and grappling with critical shortages of clean water, medicine, and other supplies, the UNFPA reports.

“Fear is the common condition of every pregnant woman,” Dr. Bassam Zaqquot tells TIME in a phone interview. But without any proper medical equipment or facilities, he says that all he can do is prescribe basic medication and give general advice. “We are trying to do our best, but we don't have treatment or solutions,” he says. “It's a terrible situation. It's very difficult.”

At the link in bio, learn what pregnant women in Gaza face.

Photographs by Mahmud Hams—AFP/Getty Images; Mustafa Hassona—Anadolu/Getty Images; Belal Khaled—Anadolu/Getty Images",37701,2621
