owner_username,url_code,time_utc,type,caption,likes,comments
Aljazeeraenglish,CylLDrztOqg,2023-10-19 12:44:28,GraphVideo,"An Al Jazeera digital #investigation found no grounds to the Israeli army claim that the strike on the al-Ahli Arab Hospital in #Gaza was caused by a failed rocket launch.⁣
.⁣
#Israel #Palestine #Gaza #Occupation #Israel_Gaza_War⁠",52602,2478
Aljazeeraenglish,CyweAJzyeeH,2023-10-23 22:03:47,GraphVideo,"""Free, free Palestine.” Video shows students being arrested after gathering outside the Israeli embassy in #India’s capital to protest against Israel’s bombardment of #Gaza and show support for #Palestine. #Israel_Gaza_war",3649,77
Aljazeeraenglish,CywYInZu0Xm,2023-10-23 21:10:06,GraphVideo,"#Palestinians say #Israel is using the war on #Gaza as a distraction to escalate arrests and destruction in the occupied West Bank. Israel has arrested an estimated 1,200 Palestinians – and killed 90 – in two weeks. #Israel_Gaza_war",3603,178
Aljazeeraenglish,CywXYIpLCYU,2023-10-23 21:06:46,GraphVideo,"As Palestinians are censored and disinformation spreads rapidly, how is the internet steering the Israel-Gaza war?
.
🎧 #AJTheTake’s @mmbilal hears from Marwa Fatafta, MENA Policy Manager at Access Now, about how shadow banning is affecting Palestinian content on social media ⤵️
.
🔗 Tap the link in @ajepodcasts’ bio to listen and subscribe 🎧
.
#Israel #Israel_Gaza_War",244,10
Aljazeeraenglish,CywWvfexzuB,2023-10-23 20:57:38,GraphImage,"Two women held captive by #Hamas in #Gaza have been released, according to the Palestinian group and the International Committee of the Red Cross (ICRC).⁠
.⁠
A spokesperson for the armed wing of Hamas said the two captives were released following mediation from Qatar and Egypt.⁠
.⁠
In a statement on Monday, spokesperson Abu Obeida said on the group’s Telegram channel that the captives had been released for “humanitarian reasons and poor health grounds.”⁠
.⁠
The release of the two hostages, 85-year-old Yocheved Lifshitz and 79-year-old Nurit Cooper, was confirmed by the ICRC.⁠
.⁠
“We hope they will soon be back with their loved ones,” it said on X, formerly Twitter.⁠
.⁠
Hamas seized more than 200 people, including Israelis and dual nationals, during an assault on southern Israel on October 7.⁠
.⁠
According to a report in the New York Times, the US is pressing Israel to delay a ground assault in order to allow for more time to secure the release of those held captive.⁠
.⁠
Israel has also been accused of showing disregard for the lives of Palestinian civilians in its response to the attack by Hamas, cutting off access to food, water, fuel, and electricity to Gaza’s 2.3 million residents as it carries out a relentless campaign of air strikes that have levelled entire neighbourhoods and brought humanitarian conditions to a breaking point.⁠
.⁠
More than 5,000 Palestinians have been killed in the Israeli bombardment, according to Palestinian authorities.⁠
.⁠
🔗Tap the link in bio for more.⁠
.⁠
#Israel_Gaza_war ⁠
.⁠
📸 Hostages and missing families forum via @Reuters",4477,346
Aljazeeraenglish,CywV9Clrmmi,2023-10-23 20:50:44,GraphImage,"On Sunday, #Israel launched an air strike on the Tel al-Hawa neighbourhood in Gaza City, killing Palestinian journalist Roshdi Sarraj.⁠
.⁠
According to local news agency WAFA, the bombing of Tel al-Hawa is among many raids carried out by the Israeli occupation on various areas of the Gaza Strip, killing at least 32 Palestinians.⁠
.⁠
Roshdi’s apartment was damaged in the first week of the war, and along with his wife Shorouq and one-year-old daughter Dania, he moved to the family home in the Tel al-Hawa neighbourhood.⁠
.⁠
“The Israelis were bombing our area with no let-up,” said Yahya al-Sarraj, Roshdi’s father and municipal mayor of Gaza City. “Roshdi tried to shield his wife and daughter when the Israeli air strike struck.”⁠
.⁠
The family home was severely damaged, but the 10 family members residing there survived, except Roshdi, who was hit by shrapnel from the Israeli strike.⁠
.⁠
He was transported to the hospital and declared a “martyr” there before his burial.⁠
.⁠
Ali Jadallah, a Palestinian photojournalist working for Turkey’s state-run Anadolu Agency, posted on Instagram the purported body bag of Sarraj, with his name on it, announcing his death.⁠
.⁠
🔗Tap the link in bio for more.⁠
.⁠
📸 Roshdi Sarraj via @Facebook",2151,41
Aljazeeraenglish,CywM9LkL8-E,2023-10-23 19:33:06,GraphVideo,Exclusive aerial footage obtained by Al Jazeera shows the aftermath of intense #Israeli bombardment on #Gaza's Deir al-Balah as rescue operations continue to search for #Palestinians trapped under the rubble. #Israel_Gaza_war,3443,126
Aljazeeraenglish,CywKJZdt2LP,2023-10-23 19:15:06,GraphVideo,"Udi Goren, whose cousin Tal Haimi is believed to have been taken captive by Hamas during its October 7 attack, has a powerful message for decision makers. #Israel_Gaza_war",7742,267
Aljazeeraenglish,CywCYUUMeUU,2023-10-23 18:00:58,GraphVideo,"""I will not let you choose what I wear."" Mirror Now presenter Shreya Dhoundial responds to an Israeli interviewee’s accusation that she’s wearing a pro-Palestinian sari. #Israel_Gaza_war",8225,356
Aljazeeraenglish,Cyv709iv1Of,2023-10-23 17:02:52,GraphVideo,Palestinian teenager Dima Allamdani lost 13 family members in an #Israeli air attack after following the military’s orders to flee northern #Gaza. #Israel_Gaza_war,6614,177
