owner_username,url_code,time_utc,type,caption,likes,comments
HuffPost,CzHTZFbPosr,2023-11-01 19:09:32,GraphVideo,"Department of Homeland Security Secretary Alejandro Mayorkas blasted Sen. Josh Hawley (R-Mo.) for implying the department he leads endorses antisemitism in a viral exchange at a congressional hearing on Tuesday.

Hawley was questioning Mayorkas about a DHS employee who reportedly made inflammatory social media posts denouncing Israel after Hamas militants launched a brutal attack there on Oct. 7.

Among a volley of questions, Hawley asked, “Is this typical of people who work at DHS?” and called Mayorkas “despicable” for not answering his queries.

After several minutes of heated questioning, Mayorkas, who is Jewish, gave a rebuttal. Watch the moment here.",14860,899
HuffPost,CzEnJkAxLQG,2023-10-31 17:46:21,GraphVideo,"Bad Bunny fans were shocked when they clicked into Ticketmaster and saw the prices for his “Most Wanted” tour. The fiasco follows a trend of rising ticket prices since the pandemic, with more demand after quarantine along with inflation.

Fans view Ticketmaster as a necessary evil when they want to see their favorite artists perform; it is the world’s largest ticket provider. But let’s not forget that artists have a say in what they’re willing to charge.

Read the full story at our link in bio.",638,83
HuffPost,CzCvd9wryHZ,2023-10-31 00:19:54,GraphImage,"The cast of “Friends” came together on Monday to offer a touching tribute to actor Matthew Perry.

Two days after the actor’s death, co-stars Courteney Cox, Matt LeBlanc, Jennifer Aniston, David Schwimmer and Lisa Kudrow released a statement to People honoring their longtime cast mate:

“We are all so utterly devastated by the loss of Matthew. We were more than just cast mates. We are a family,"" they said in the joint statement.

""There is so much to say, but right now we’re going to take a moment to grieve and process this unfathomable loss.""

Read the full statement at our link in bio. // 📷 NBC via Getty Images Getty Images // 🖊️David Moye",7739,76
HuffPost,Cy6XdYJMYSy,2023-10-27 18:16:10,GraphSidecar,"Concert ticket prices were already out of control — but Bad Bunny just took it to an entirely new level of ridiculousness.⁠
⁠
Not long after the artist’s “Most Wanted” 2024 tour presale started on Wednesday, fans were criticizing the high ticket prices on social media. Prices for seats in the nosebleeds were $150-$250 on Ticketmaster, depending on the city and before fees, according to people who shared their experience on TikTok. In Miami, a 100-level ticket was $750. Prices for floor seats were even higher, with some reporting $1,000 per ticket.⁠
⁠
The fiasco follows a trend of rising ticket prices since the pandemic, with more demand after quarantine along with inflation. Taylor Swift’s concert ticket prices weren’t awful until ticket scalpers started inflating the resale prices. Both Beyoncé’s and Drake’s ticket prices were advertised for one price and then skyrocketed due to Ticketmaster’s “dynamic pricing,” which inflates prices based on demand.⁠
⁠
This can’t become the new normal. We desperately need a concert revolution and to stand up against corporate greed. ⁠
⁠
Fans need to band together and stop buying tickets when they’re overpriced like this. And many Bad Bunny fans did.⁠
⁠
Read more at our link in bio. // 📷️: Getty Images // 🖊️: Cambria Roth",14576,1112
HuffPost,Cy3YbmJtgbx,2023-10-26 14:28:42,GraphImage,"""It has taken me decades to be ready to tell this story,"" writes HuffPost guest writer Suzanne Heywood. ""Until I reached the safety of adulthood and created my own family, I wasn’t able to confront my parents’ story about my past. In their telling, I was 'privileged.' After all, I grew up on a beautiful boat called Wavewalker, sailing around the world.""

""Of course I knew their story wasn’t true,"" Heywood continues. ""Although I had grown up on Wavewalker from the age of 7 for almost a decade, I was trapped there — unable to go to school or have friends. While my brother was allowed to help out on deck, I was expected to cook and clean down below for hours each day.""

Read more at our link in bio. // 📷 Courtesy of Suzanne Heywood",17698,583
HuffPost,Cy1xUoVR2hg,2023-10-25 23:25:58,GraphImage,"Rep. Mike Johnson (R-La.) was just installed as the new House speaker, and he’s already getting trolled for his anti-LGBTQ+ views by one of his Democratic colleagues.

Although Johnson was elected by a party-line vote of 220 to 209, Democrats chose to nominate House Minority Leader Hakeem Jeffries (D-N.Y.) as the speaker — and one of them made it personal.

When it came time for Angie Craig (D-Minn.) to voice her choice, she used the occasion not only to vote for Jeffries for the top role, but to pay tribute to a top person in her life: her wife, Cheryl.

Watch the glorious moment at our link in bio. // 📷 Getty Images // 🖊 David Moye",9612,197
HuffPost,Cy1bwB6hKrM,2023-10-25 20:17:27,GraphImage,"Donald Trump stormed out of the courtroom on Wednesday amid testimony from his former attorney Michael Cohen in a New York civil fraud trial concerning the Trump Organization.

The former president’s Secret Service agents were caught off-guard and chased after him as he abruptly left the room, according to reporters who were present.

Trump exited the courtroom shortly after Cohen admitted that Trump had never asked him to inflate the numbers on his financial statements.

Once outside, Trump declared to reporters before walking away: “The witness just admitted that we won the trial. And the judge should end this trial immediately.”

Read more of the developing story in the link in bio. //🖊Lydia O’Connor //📷Getty Images",7721,854
HuffPost,Cy1K_3RPAoX,2023-10-25 18:07:02,GraphVideo,House Republicans booed and jeered after a reporter asked about Donald Trump.,5716,1545
HuffPost,Cy1GgX8LymX,2023-10-25 17:15:26,GraphVideo,"The WWD Honors red carpet was a star-studded affair, with Jennifer Lawrence, Christopher Briney, Lola Tung and more in attendance. See their 🔥 looks here! 🎥 @ellengrace_lee",175,3
HuffPost,Cy0vV1KMp0n,2023-10-25 13:49:24,GraphImage,"Last year, Justine Lindsay made two of the biggest announcements of her life in one giddy Instagram post: She’s transgender, and she had landed herself a spot on an NFL cheerleading squad.

It was more than just a huge personal moment. In joining the Carolina TopCats, who cheer for the Carolina Panthers, Lindsay was becoming the first openly trans athlete in a space known for its problematic relationship with diversity.

There were highs and lows during her first year on the job. Triumphant performances. Coping with harassment, threats and abuse. But as she stepped onto the field for her second season last month, Lindsay was decidedly joyous about the chance to keep on performing.

“I love it. Wouldn’t change it for the world,” she told HuffPost in an interview on her 31st birthday.

Read more at our link in bio. // 📷: Getty Images // 🖊️: Josie Harvey",23674,896
