owner_username,url_code,time_utc,type,caption,likes,comments
vicenews,CzHU_8Gg-On,2023-11-01 19:04:56,GraphVideo,"Ahead of the 2024 presidential election, what do voters need to know about? If it’s about Republican Candidate Ron DeSantis wearing heels, you’re in luck. On a recent segment of Fox News, host Jesse Watters sent his team to investigate if the Florida governor wears shoe lifts or heels to look taller. 

The latest polls have remained consistent with those weeks before: in the GOP presidential race, DeSantis remains far behind Donald Trump despite facing multiple criminal charges. 

Many Floridians are also calling out DeSantis for neglecting his governor role to campaign as the state faces a mass exodus of migrant workers due to his policies.

#jessewaters #florida #fl #rondesantis #desantis #gop #foxnews #trump #donaldtrump",3839,336
vicenews,CzHK06oxW_B,2023-11-01 17:36:08,GraphVideo,"People in Gaza are struggling to get bread amid the ongoing siege by Israel. A lack of fuel has meant almost all bakeries have had to shut down, with just two out of 23 UN-run World Food Programme bakeries still open in Gaza, according to the organisation. 

Corinne Fleischer, the regional director for the Middle East, North Africa, and Eastern Europe, wrote on X, “Without connectivity in Gaza, we cannot reach WFP staff, bakeries, shops. This means that even the daily piece of bread families desperately need is no longer a guarantee."" 

""We need connectivity, fuel and increased safe passage to prevent families from starving. For 2.4 million people in Gaza to be able to eat what they need every day a 100 trucks need to pass the border everyday just for food,"" she said. 

At least 8,700 people have been killed in Gaza by Israeli strikes since October 7th according to the Palestinian Health Ministry, in response to an attack by Hamas that killed 1,400 people and took over 200 people hostage.

#bread #bakery #breadmaking #dough #baker #bakeries #food #baking #gaza #palestine #gazastrip #israel #refugees #worldhunger",4256,664
vicenews,CzG-L3euxaT,2023-11-01 15:45:39,GraphVideo,"Multiple McDonald’s stores in the UK have been filled with mice, released by pro-Palestinian activists who accuse the chain of supporting Israel.

“Free Palestine,” the masked men are heard chanting in a video as they unleash the rodents near the counter of a fast-food chain before fleeing and shouting “Fuck Israel.”

At one McDonald’s location in Birmingham, footage showed mice, spray-painted red, green and white—the colours of the Palestinian flag—released by protesters.

Activists are calling for a wider boycott of McDonald’s, who have offered free meals to IDF soldiers in Israel. However franchise groups in Pakistan, Kuwait, and other countries issued statements confirming that they did not share ownership with the Israeli franchise. 

McDonald’s confirmed that a number of the animals were set loose inside a Birmingham store, but said they have been removed.

It said in a statement: ‘Following the removal of the mice, the restaurant has been fully sanitised and our pest control partners have been called out to conduct a full inspection.’

West Midlands Police said they were treating the incident as a ‘public nuisance offence’ and were investigating. 

#palestine #gaza #mcdonaldsboycott #boycottmcdonalds #palestineprotest #uk #birminghamuk #israel",40407,3452
vicenews,CzGk0HitipR,2023-11-01 12:03:50,GraphVideo,"Czech President Petr Pavel knocked a soldier's hat off by accidentally hitting him with a flagpole during a commemorative event in Prague.

Footage shows the officer remaining standing and carrying on with the procedure after his hat fell to the floor.

“I simply underestimated the weight”, President Pavel wrote in a post on X (formerly Twitter) where which he apologised to the officer.",14190,314
vicenews,CzFA7cHJ_W-,2023-10-31 21:31:05,GraphVideo,"An Israeli air strike has hit the densely-populated Jabalya refugee camp in northern Gaza, Israel Defense Forces (IDF) confirm. Now, at least 50 people are dead and another 150 wounded, local health authorities say.

The IDF claims the strike was to target a senior Hamas commander. 

According to the UN, over 115,000 Palestinians had taken refuge at the densely-crowded camp, including children and the elderly. 

#jabalya #jabalia #jabalyarefugeecamp #refugeecamp #gaza #gazastrip #thegazastrip #refugees #palestine #idf #israel",6495,1347
vicenews,CzE6GexBjG6,2023-10-31 20:31:39,GraphVideo,"FIFA has banned Luis Rubiales from “all football-related activities” for three years after he forcibly kissed star player Jenni Hermoso on the lips after Spain’s Women’s World Cup win. 

The former president of the Spanish soccer federation vowed to appeal the ruling, which he called “disproportionate and unjust” in a post on X. 

The incident sparked massive backlash, triggering weeks of protests. Despite widespread calls for Rubiales to resign, he initially refused, claiming the unwanted kiss was “mutual” and that he was the victim of a “witch hunt.” 
Hermoso has repeatedly stated the kiss was not consensual, and said she felt “vulnerable and a victim of aggression.” 

More than 80 Spanish soccer players, including the majority of the World Cup winning team, signed a statement in support of Hermoso, demanding structural changes and saying they would not play for the national team “if current leaders continue.” 

After Rubiales denied that the kiss was unwanted in front of a judge in Madrid during a court hearing on September 15, the judge issued him a restraining order and prohibited him from contacting Hermoso. 

Spain’s high court is currently investigating a complaint filed by prosecutors that there could be grounds to investigate Rubiales for sexual assault and coercion. 

#luisrubiales #fifa #womensworldcup #worldcup #soccer #futbol #football #jennihermoso #spanishsoccer #spanishwomensnationalteam #spain #spanishfootball",4192,373
vicenews,CzEwYklONp4,2023-10-31 19:07:12,GraphVideo,"What is Gaza’s Health Ministry and how does it calculate the war’s death toll?

At least 8,000 Palestinians have been killed in Israeli attacks since October 7th, when an attack by Hamas killed 1,400 people and took more than 200 people hostage. A rising death toll in Gaza and a shut out of journalists and humanitarian workers mean the number of deaths are calculated by local authorities.

#health #healthrecords #healthministry #ministryofhealth #gaza #gazastrip #gazacity #palestine #palestinian #gazawar #israel #hsopital #hospitals #humanitarianaid #unitednations",4219,691
vicenews,CzElhmhO9Ih,2023-10-31 17:40:20,GraphVideo,"Colombia has deployed hundreds of soldiers and police officers to find the father of Liverpool FC left winger Luis Díaz, after he and his wife were abducted by gunmen on motorcycles at a gas station in their small hometown of the Barrancas on October 28, officials said. Díaz’s mother was rescued hours later nearby, Colombian President Gustavo Petro confirmed, but his father is still unaccounted for.

Colombian National Police have deployed over 100 officers in the search for Díaz’s father, Luis Manuel Díaz, and are offering a 200 million peso ($48,500) reward for tips leading to his rescue. Some 120 soldiers have also been dispatched with the rescue party along with radar-equipped planes and helicopters in the search for the football star’s father.

Kidnappings have surged this year in Colombia, with https://english.elpais.com/international/2023-06-03/colombias-kidnapping-business-is-booming-again.html reporting more than double the number of abductees in 2023 compared to 2022 from January to March, mostly as captives held over ransom money. The country is the biggest cocaine-producing nation in the world, and home to criminal groups and guerrilla armies who are involved in the international cocaine business. @evystadium reports:",5079,91
vicenews,CzEW9ibhdlp,2023-10-31 15:24:47,GraphVideo,"On October 25th, a gunman opened fire at a bowling alley and pub in Lewiston, Maine, killing 18 people. Days after a state-wide manhunt, the shooter was found dead, authorities said. @evystadium reports:",3322,331
vicenews,CzCLJR7o96w,2023-10-30 19:02:43,GraphVideo,"Two healthcare professionals sprayed a reproduction dinosaur skeleton with orange powder at London’s Natural History Museum to demand the UK stop all new oil and gas projects. 

Dr. Will Stableforth, a consultant gastroenterologist, and Steve Fay, a senior physiotherapist worked with climate activism group Just Stop Oil to paint the replica Titanosaur skeleton with orange corn starch. They held a sign that said “For Health’s Sake, Just Stop Oil” as they waited for police to arrive, and were arrested shortly after. 

“Like this long extinct dinosaur, we are in grave danger of following in its footsteps,” Fay said. “We know we are in a climate emergency with breakdowns in weather patterns and deaths of millions on the near horizon, yet our government pursues ever greater exploitation of oil and gas reserves.”

“The climate crisis is a healthcare emergency for every single one of us,” Stableforth said. “We demand an end to any new fossil fuels and immediate climate action prioritising public health rather than big business.”

#juststopoil #juststopoilprotest #climateprotest #climatecrisis #climateaction #london #uk #londonnaturalhistorymuseum",22178,1628
