owner_username,url_code,time_utc,type,caption,likes,comments
Aljazeeraenglish,CzEy9GKMGvX,2023-10-31 19:30:14,GraphVideo,"In this Fact Check, Al Jazeera’s @khalidmajzoubofficial takes a look at the Israeli Army’s claims of Hamas members using al-Shifa hospital to shield themselves and store weapons and ammunition.",10954,599
Aljazeeraenglish,CzBkVFKo-jj,2023-10-30 13:26:40,GraphVideo,"In this Fact Check, Al Jazeera’s @khalidmajzoubofficial takes a look at documents leaked from Israeli sources outlining proposed plans of ethnic cleansing of Palestinians in Gaza. 
.
#Israel_Gaza_War",20423,845
Aljazeeraenglish,CzISQ4ptRde,2023-11-02 04:00:19,GraphImage,"Media experts and Arab journalists argue that Western coverage of #Israel's war on #Gaza is biased and unprofessional. ⁠
.⁠
They claim that Western media outlets present unsubstantiated claims, only show one side of the story, and dehumanize Palestinians while legitimizing Israeli violations of international law.⁠
.⁠
“You don’t hear the word ‘victims’ [in reference to Palestinians] as you hear [when there is reporting] about the Israeli side,” Taghreed El-Khodary, an analyst from Gaza, told Al Jazeera.⁠
.⁠
Critics also highlight the lack of historical context regarding Palestinian trauma over the past 75 years.⁠
.⁠
🔗Tap the link in bio for more.⁠
.⁠
#Israel_Gaza_war #Palestine⁠ ⁠
.⁠
📝 Mat Nashed for Al Jazeera English⁠
📸 Stephanie Keith, @gettyimages⁠",2076,136
Aljazeeraenglish,CzIH93qKj25,2023-11-02 02:30:20,GraphImage,"“They were going straight into people’s homes and killing them,” Zaineb Saab told Al Jazeera as she recalled the #Sabra and #Shatila massacre that took place in Lebanon over 40 years ago.⁠
.⁠
Saab locked the door to her house and did not dare make a sound when the killing started in Sabra and Shatila, two neighbourhoods home to a Palestinian refugee camp in #Beirut.⁠
.⁠
On September 16, 1982, members of a far-right-wing Christian militia, Phalange Party, coordinated with Israeli forces to kill between 2,000 and 3,500 Muslim Lebanese and Palestinian civilians.⁠
.⁠
Saab said during the carnage she heard her neighbours screaming but no gunshots. Most victims were butchered with knives.⁠
.⁠
But residents of Sabra and Shatila say that what they lived through then does not compare with the shocking violence unfolding in #Gaza now.⁠ ⁠
.⁠
“As we watch what is happening in Gaza, we remember the massacre here. But it’s not the same. Gaza is worse,” Saab said.⁠
.⁠
🔗Tap the link in our bio for more.⁠
.⁠
#Israel #Palestine #Israel_Gaza_War⁠
.⁠
📝 Mat Nashed and Justin Salhani for Al Jazeera English ⁠
📸 Bilal Hussein, @apnews",3270,57
Aljazeeraenglish,CzH9t-hhkJu,2023-11-02 01:01:04,GraphVideo,"“There's nothing for us there.” A deadline has arrived for undocumented #Afghan refugees in #Pakistan to leave or face deportation. Thousands have been fleeing after Pakistan’s order, and many of them say they face a bleak future.",23817,939
Aljazeeraenglish,CzH2y5eNq6d,2023-11-02 00:00:19,GraphImage,"#Taiwan's military is studying recent surprise attacks by #Hamas in #Israel and #Russia in #Ukraine in preparation for a potential Chinese #invasion.⁠
.⁠
“Taiwan needs to learn from these attacks in case our island becomes the next place where the unthinkable happens,"" said 42-year-old Tony Wei, who is a member of the Taiwanese reserves and a dentist by profession.⁠
.⁠
Taiwan's defense ministry has formed a task force to learn from the Israel-Gaza war, focusing on gathering intelligence and countering #China's threats.⁠
.⁠
Taiwan's location, separated from China by the Taiwan Strait, provides a natural barrier and early warning system against surprise attacks.⁠
.⁠
However, the recent Hamas attack has raised concerns about Taiwan's ability to defend against a determined Chinese military.⁠
.⁠
“The Israelis have a very powerful military, an effective intelligence service and a lot of American support,” Wei said. “If even Israel can be surprised and overwhelmed, then what about Taiwan?”⁠
.⁠
🔗Tap the link in our bio for more.⁠
.⁠
#Israel_Gaza_War⁠
.⁠
📝 Frederik Kelter for Al Jazeera English ⁠
📸 File: Chiang Ying-ying, @apnews",4102,239
Aljazeeraenglish,CzHpKbKMV2H,2023-11-01 22:01:33,GraphVideo,"One day after #Israel launched a major air attack on #Gaza’s most heavily populated refugee camp, it has bombed it again. An analyst we spoke to accused #Israel of deliberately violating international law. #Israel_Gaza_war",8301,368
Aljazeeraenglish,CzHjTvuPIR6,2023-11-01 21:09:56,GraphVideo,Israeli police have been filmed attacking Jewish residents of an ultra-Orthodox neighbourhood in Occupied Jerusalem where they were allegedly called in to take down Palestinian flags.,48879,2900
Aljazeeraenglish,CzHhlqHpRPc,2023-11-01 20:57:46,GraphVideo,"“You drive down this road and you feel like it is a war zone.”
.
Since October 7, clashes on the Lebanon-Israel border have intensified, displacing thousands.
.
🎧 On #AJTheTake, we spoke with Al Jazeera Correspondent Zeina Khodr in Lebanon about the impact of the recent escalation.
.
🔗 Tap the link in @ajepodcasts’ bio to listen and subscribe 🎧
.
#Israel_Gaza_War",1365,64
Aljazeeraenglish,CzHbY2JM2SI,2023-11-01 20:01:05,GraphVideo,"The question they are now asking is ‘where do we want to be when we die?” ⁣
.⁣
On Sunday, British-Palestinian MP for the UK Layla Moran spoke about her family in #Gaza.⁣
.⁣
#Israel_Gaza_War",2935,70
