owner_username,url_code,time_utc,type,caption,likes,comments
BBCNews,CzHiUKQJVqB,2023-11-01 21:01:19,GraphVideo,"The Queen of Christmas is defrosting.
 
Halloween is SO yesterday, because soon, we’ll be hearing a lot of Mariah Carey.
 
All I Want For Christmas Is You re-enters the charts all around the world in the run up to Christmas.
 
Tap the link in @BBCNews’s bio to read why she was previously sued over the song.
 
#MariahCarey #Christmas #BBCNews",18687,372
BBCNews,CzHTYFSCdH5,2023-11-01 18:50:57,GraphVideo,"Pakistan has given undocumented foreigners until today, 1 November, to leave or face deportation.
 
Thousands of Afghans in Pakistan have made their way back to Afghanistan in the last two months ahead of the crackdown.
 
Many say they are terrified to be heading back to the Taliban government.
 
Tap the link in our @BBCNews’s bio to hear from some of those being forced to leave.
 
#Pakistan #Afghanistan #BBCNews",45493,3476
BBCNews,CzHDcgyoVkR,2023-11-01 16:31:22,GraphSidecar,"A devilish figure that disappeared from a celebrated and controversial 18th-Century painting has been rediscovered. 👹
 
Sir Joshua Reynolds painted a demon lurking in the shadows in his picture The Death of Cardinal Beaufort, based on a Shakespearean death scene.
 
But ""the fiend"" eventually disappeared beneath layers of paint and varnish.
 
The 1789 artwork has now been restored and put back on display, with the demon in full view.
 
The fanged creature can be seen at the head of the bed, in the shadows, as Cardinal Beaufort lies dying, with King Henry VI and two lords at his bedside.
 
Tap the link in @BBCNews's bio to find out why the painting was so heavily criticised when it was first displayed.
 
(📷National Trust)
 
#JoshuaReynolds #BBCNews",44675,473
BBCNews,CzG3MAZv4h2,2023-11-01 14:44:15,GraphSidecar,"A new study has shown that cats have up top 276 different facial expressions - some of which they share with humans. 😼
 
Researchers at University of California in Los Angeles have been investigating the different types of facial expressions cats use to communicate with each other.

Humans have around 44 unique facial movements, but their total number of expressions isn't known, so it’s hard to compare cats with us - but we do know that chimpanzees have around 357 unique expressions. 
 
The team also found that cats have some expressions in common with humans - and think they may have picked them up from their 10,000 year history of living with us.
 
Tap the link in @BBCNews's bio to find out what some of them mean.

#FacialExpression #BBCNews",221784,1613
BBCNews,CzGkTfMs7vw,2023-11-01 12:05:02,GraphVideo,"Meet the future queen of Spain. 
 
Princess Leonor is the eldest daughter of King Felipe VI and she’s just turned 18.
 
Tap the link in @BBCNews’s bio to find out more about “Leonormania”.
 
#PrincessLeonor #BBCNews",41811,955
BBCNews,CzGWwwasx7I,2023-11-01 10:00:55,GraphSidecar,"It wouldn't be spooky season without celebrities doing the most to serve us looks for the occasion. 🎃
 
Queen of Halloween Heidi Klum went to her annual party as a peacock, complete with real acrobats as her tail and her husband, Tom Kaulitz, dressed as a giant egg.
 
Ed Sheeran looked menacing as fellow redhead Chucky from horror film Child's Play.
 
Kim Kardashian and her daughter North West coordinated outfits inspired by coming-of-age film Clueless.
 
Meanwhile, Megan Thee Stallion appeared as a rose at her Tim Burton-inspired Hottieween party in Atlanta.
 
And Adele brought the gothic vibes to her Las Vegas residency by dressing as Morticia Addams.
 
Tap the link in @BBCNews's bio to see more Halloween looks from famous faces.
 
(📷 Getty / Ed Sheeran via Instagram / Kim Kardashian via Instagram / Getty / Adele via Instagram / Getty)
 
#Halloween #BBCNews",46285,318
BBCNews,CzFEVMbJDan,2023-10-31 22:00:37,GraphSidecar,"""We don't have water, we are left with nothing, the house is full of mud, everything is damaged."" 
 
Dozens of people remain missing six days after Hurricane Otis devastated the Mexican resort of Acapulco.
 
The hurricane hit the coast as a category 5 storm, the most powerful category, before weakening.
 
Local authorities said 45 bodies had been recovered so far and at least 47 were still unaccounted for.
 
The slow arrival of aid frustrated locals with some resorting to looting.
 
Tap the link in @BBCNews's bio to find out how those in Acapulco are coping after the natural disaster.
 
#HurricaneOtis #Acapulco #bbcnews 

(📸 Getty, EPA-EFE/REX/Shutterstock, Reuters)",15310,965
BBCNews,CzE2laTOuzq,2023-10-31 20:00:37,GraphVideo,"Julia, an 18-month toddler, and her five-year-old sister Joury were both pulled from the rubble of a destroyed building and rushed to a hospital in Rafah, where they were reunited.
 
Tap the link in @BBCNews's bio to read the latest on the situation in Gaza. 
 
#Gaza #Israel #Rafah #BBCNew",33560,4658
BBCNews,CzEo4ZuhCFR,2023-10-31 18:00:46,GraphSidecar,"""I understand that not everyone celebrates Halloween but I don't see our display as aggressive.""
 
Imagine decorating the outside of your home for Halloween, and then an anonymous letter arrives from your neighbours. 
 
Not like The Watcher, just to say that your ""aggressive"" decorations ""gave nightmares"" to a child in your neighbourhood.
 
That actually happened to a family in Bristol, UK and they weren't too pleased about it.
 
Tap the link in @BBCNews's bio to read the letter in full and what the home owner had to say. 
 
#Halloween #Bristol #BBCNews
 
(📸 Getty, Lia Adams-Steele)",36680,1401
BBCNews,CzEYA_zqkrp,2023-10-31 15:33:23,GraphSidecar,"“The popularity of this event spreads right across these islands, right across the world.”
 
More than 30,000 people are expected in Londonderry, Northern Ireland as the four-day Halloween festival draws to a close. 
 
The festivities have become a bucket-list-worthy destination for Halloween lovers around the world, since it first began in 1986.
 
Tap the link in @BBCNews’s bio to read more about the festival. 
 
#Halloween #Londonderry #BBCNews 
 
(📸 Derry City and Strabane District Council)",17271,623
BBCNews,CzEPBAKM3Hw,2023-10-31 14:14:44,GraphSidecar,"Hank Azaria has paid tribute to his “brother” after Matthew Perry died on Saturday.
 
Azaria is best known for voicing Moe Szyslak and Chief Wiggum on The Simpsons but also starred in Friends as Phoebe’s boyfriend David.
 
“I wanna say that, the night I went into AA, Matthew brought me in. The whole first year I was sober, we went to meetings together,” he said.
 
“He was so caring and giving and wise. And he totally helped me get sober.”
                                                              
Head to the link in @BBCNews’s bio to read what the Friends cast had to say following Perry's death. 
 
#TheSimpsons #Friends #MatthewPerry #BBCNews",73430,1333
BBCNews,CzECtBxKpb5,2023-10-31 12:27:09,GraphSidecar,"A tourist travelling in California's Death Valley National Park has been injured in an accident caused by an unlikely culprit…a tarantula.
 
According to the National Park Service, a travelling Swiss couple in a rented camper van hit their brakes to avoid squashing the giant spider crossing the road. 
 
Their abrupt stop caused a motorcyclist to crash into the back of their van, who was injured and taken to hospital.
 
But it saved the arachnid who fled the scene and escaped into the desert unharmed. 
 
Tap the link in @BBCNews's bio to find out more about the creepy-crawly that caused the crash. 
 
(Getty)
 
#DeathValley #Tarantula #BBCNews",23037,383
BBCNews,CzD0QR9K0tH,2023-10-31 10:20:54,GraphSidecar,"Saudi Arabia is set to host the 2034 football World Cup after Australia decided against bidding to stage the tournament.

Football Australia confirmed its decision only hours before Fifa's deadline for declarations of interest on Tuesday.

Saudi Arabia is the only other nation to bid.

Tap the link in @BBCNews's bio to see who will be hosting the 2030 tournament. 

#WC2034 #BBCNews",112023,2645
BBCNews,CzDumlFMNGR,2023-10-31 09:31:31,GraphImage,"The ice hockey community has paid tribute to a player who died after his neck was cut by a skate.

Nottingham Panthers' Adam Johnson's was fatally injured during a game against the Sheffield Steelers on Saturday in England.

US teams Anaheim Ducks and the Pittsburgh Penguins stood at centre ice for a moment of silence at the PPG Paints Arena.

Adam Johnson was a former Penguin forward and in a joint statement they said ""the entire hockey world in mourning the loss of Adam Johnson, whose life tragically ended far too soon"".

Tap the link in @BBCNews’s bio for how the game might change following the accident.

📷 USA Today Sports

#IceHockey #AnaheimDucks  #PittsburghPenguins #BBCNews",45446,333
BBCNews,CzCmEg9IamH,2023-10-30 22:57:43,GraphSidecar,"The Friends cast have paid tribute to Matthew Perry after his death aged 54.
 
In a joint statement, Jennifer Aniston, Courteney Cox, Matt LeBlanc, David Schwimmer and Lisa Kudrow said it was an ""unfathomable loss"".
 
""We are all so utterly devastated by the loss of Matthew,"" the cast said in a joint statement released to People magazine on Monday.
 
""We were more than just castmates. We are a family.”
 
Perry, who played Chandler in the US sitcom, was reportedly found unresponsive in a hot tub at his house on Saturday.
 
Tap the link in @bbcnews’s bio to read the statement in full.

(📷 Getty)
 
#MatthewPerry #Friends #BBCNews",111708,567
BBCNews,CzCewihLyw3,2023-10-30 21:53:49,GraphSidecar,"Lionel Messi has won a record-extending eighth Ballon d'Or trophy.
 
The 36-year-old was recognised at the football award ceremony in Paris after helping Argentina win the World Cup in Qatar last year.
 
Messi has also played a key role in securing Inter Miami’s first trophy - the Leagues Cup.
 
The Ballon d'Or recognises the best footballer of the year, and is voted for by 100 journalists from around the world.
 
Tap the link in @BBCNews’s bio for all the winners from this year’s Ballon d’Or. 
 
(📷 Getty)
 
#BallonDor #LionelMessi #Football #BBCNews",96246,1252
BBCNews,CzCceprLsXP,2023-10-30 21:33:54,GraphSidecar,"Spain and Barcelona footballer Aitana Bonmatí has won her first women's Ballon d'Or award. 
 
The 25-year-old helped her country win the the World Cup in summer, and was also crowned Uefa's player of the year in August.
 
Speaking at the annual football awards in Paris, France, Bonmatí said: “As role models, we have a responsibility on and off the pitch.”
 
“We should be more than athletes and keep leading by example and fighting together for a better, peaceful and equal world,” she added.
 
Tap the link in @BBCNews’s bio to find out more about the player's sporting achievements.
 
(📷 Getty)
 
#BallonDor #Spain #Football #BBCNews",32772,312
BBCNews,CzCWXX4sw2V,2023-10-30 20:41:30,GraphVideo,"“Truth is... the game was rigged from the start.”
 
Gamers across the globe have been remembering Matthew Perry for his “iconic” performance as Benny in Fallout: New Vegas.
 
Tap the link in @BBCNews’s bio to read more tributes to the star who has died aged 54. 
 
#MatthewPerry #FalloutNewVegas #BBCNews",28751,202
BBCNews,CzCGvwfssy7,2023-10-30 18:25:29,GraphVideo,"“I’m in control of the first drink.”
 
In 2013 Matthew Perry appeared on BBC Newsnight and talked openly about his addiction to painkillers and alcohol.
 
He debated with journalist and anti-drug campaigner Peter Hitchens.
 
Tap the link @BBCNews’s bio to read tributes to the actor who has died at the age of 54.
 
#MatthewPerry #Friends #BBCNews",476906,7576
BBCNews,CzB6X5hsh3_,2023-10-30 16:38:09,GraphVideo,"Large numbers of Gaza residents have broken into aid warehouses and distribution centres, in search of basic supplies.
 
The UN has described this as a “worrying sign that civil order is starting to break down after three weeks of war”.
 
Tap the link in @BBCNews’s bio for all the latest from the conflict.
 
#Gaza #Israel #BBCNews",49448,6368
BBCNews,CzBsfa1RJgH,2023-10-30 14:34:35,GraphSidecar,"Former basketball star Earvin (Magic) Johnson is the fourth athlete to join the billionaire club.

Michael Jordan, Lebron James, and the golfer Tiger Woods are the others.

The business magazine estimates Johnson's wealth at about $1.2bn (£990m).

They say his stake in a life insurance company holds most of his wealth.

“My family didn't come from money, that's one thing that hurt us sometimes. When you don't come from money, you don't know. I didn't even know what stocks [were] at that time,"" Johnson said earlier this year.

Tap the link in our bio to read why the 64-year-old says he could have become a billionaire sooner.

#NBA #MagicJohnson #BBCNews",29463,435
BBCNews,CzBbwtVs8S3,2023-10-30 12:09:02,GraphVideo,"Video footage on social media showed a crowd running through an airport in Dagestan, Russia.
 
It showed the crowd seeking people arriving on a flight from Tel Aviv, asking staff where the “Jews” were.
 
60 alleged participants in the crowd have been arrested, Russian news agencies said, citing the local interior ministry.
 
Tap the link in @BBCNews’s bio to read more about the incident.
 
#Russia #Makhachkala #Dagestan #BBCNews",76413,9217
BBCNews,CzBMIhJM_3G,2023-10-30 09:51:50,GraphSidecar,"Matthew Perry's loved ones and co-stars say they have been left ""heartbroken"" by his death aged 54.

The US actor - best known for playing Chandler Bing in hit '90s show Friends - was found dead at his LA home.

The sitcom's creators said he was ""always the funniest person in the room"", while his family said his fans “meant so much to him and we appreciate the tremendous outpouring of love"".

Tap the link in @bbcnews’s bio to read more tributes paid to the Friends star.

#Friends #MatthewPerry #BBCNews",204554,885
BBCNews,Cy_e-aArpYO,2023-10-29 17:58:00,GraphSidecar,"New York City is one of the most expensive cities to both live in and run a business.
 
But one business which remains a key feature on most of The Big Apple's street corners - the bodega.
 
The history of the bodega in New York can be traced back to the 1900s, most likely originating with Spanish and Cuban immigrants.
 
And despite rapidly rising rent costs and even the coronavirus pandemic, most bodegas, and their dedicated owners, still boast a long history and are firmly open for business.
 
No two are the same, but one recurring theme can be seen in cats, warm customer greetings and of course the sandwiches.
 
Tap the link in @BBCNews's bio to see why bodega owners believe their businesses survive and thrive in New York City. 
 
(📷 Getty Images, Alamy, Pierina Pighi Bel)
 
#Bodega #NewYorkCity #BBCNews",37612,545
BBCNews,Cy_TCJ7sa_8,2023-10-29 16:14:02,GraphVideo,"“I simply underestimated the weight.”
 
That’s what Czech President Petr Pavel said in an apology to a soldier after knocking his hat off during a commemorative event in Prague.
 
Tap the link in @BBCNews’s bio to see what else President Pavel had to say.
 
#Prague #Czechia #BBCNews",156791,3680
BBCNews,Cy-5eqAs3Lq,2023-10-29 12:30:21,GraphImage,"A former NHL ice hockey player has died after suffering a serious cut to his neck during a match on Saturday.
 
The Challenge Cup match between Nottingham Panthers and Sheffield Steelers was stopped in the 35th minute as 29-year-old Adam Johnson received emergency treatment from paramedics on the ice.

The Panthers said they were ""devastated"" Johnson had died following a ""freak accident"".

""The club will dearly miss him and will never ever forget him,"" they added.

Tap the link in @BBCNews's bio to read more tributes to the player.

#NHL #IceHockey  #BBCNews",97149,1659
BBCNews,Cy-sDXcRvtK,2023-10-29 10:33:02,GraphImage,"Language learning app Duolingo is to ""pause"" its Welsh course and no longer update it from the end of October.

This comes despite the company saying in 2020 the language was the fastest growing in the UK.

It said it would be channelling its resources into courses that were more popular among users - including Spanish, French, and German.

Welsh learner Kim Falk, from Ohio in the United States, said she was ""mad as heck"" at the decision.

Tap the link in @BBCNews’s bio to read the reactions from more learners across the world.

#Wales #Duolingo #BBCNews",48747,917
BBCNews,Cy-dNk7RvsK,2023-10-29 08:23:21,GraphSidecar,"US actor Matthew Perry, best known for playing Chandler Bing in the hit '90s TV sitcom Friends, has died aged 54.
 
The actor was found dead at his home in his Los Angeles, law enforcement sources told US media.
 
The LA Times and TMZ, which first reported that Perry had died, said the actor was found unresponsive in a hot tub at his house.
 
Warner Bros TV, which produced Friends, said ""the impact of his comedic genius was felt around the world, and his legacy will live on in the hearts of so many.""
 
Friends, which followed the fortunes of six young friends living in New York City, aired from 1994 until 2004.
 
Its final episode was watched by 52.5 million in the US, making it the most watched TV episode of the 2000s.
 
Tap the link in @BBCNews's bio to take a look back at his life and career in pictures.
 
(📷 Warner Bros. / Getty Images)
 
#MatthewPerry #Friends #BBCNews",303508,2645
BBCNews,Cy9Pc2gMaC2,2023-10-28 21:03:52,GraphImage,"South Africa have won the men’s Rugby World Cup for a record fourth time! 🇿🇦

The Springboks beat the All Blacks by a point in the final in Paris.

#BBCRugby #RWC2023 #RWCFinal #Springboks #RugbyWorldCup",31732,749
BBCNews,Cy8vl5Eso-K,2023-10-28 16:30:18,GraphVideo,"Happy Howl-oween! 🎃
 
Have you ever wondered have you ever wondered why we collect sweets at Halloween?
 
Tap the link in @BBCNews’s bio to see how one English village has gone all out for Halloween.
 
#Halloween #TrickOrTreat #BBCNews",6445,496
BBCNews,Cy8oex-MWAk,2023-10-28 15:24:06,GraphVideo,"“A state of panic, fear and chaos.”
 
The BBC’s Rushdi Abualouf spoke of the situation in Gaza after Israel intensified its airstrikes in the heaviest bombing of the war to date. 
 
Tap the link in @BBCNews’s bio for the latest on the conflict.
 
#Israel #Gaza #BBCNews",19167,4377
