owner_username,url_code,time_utc,type,caption,likes,comments
CNN,CzHcNIXSbgc,2023-11-01 20:10:05,GraphVideo,"After a mother noticed one of her son’s eyes appeared to be black on a baby monitor image, the 5-month-old was diagnosed with a rare form of cancer in his eye called Retinoblastoma.",167378,2104
CNN,CzHAs6XpFVP,2023-11-01 16:07:38,GraphVideo,"Injured Palestinians have begun arriving in Egypt, officials say, the first to be allowed out of Gaza since the Israel-Hamas war began",5629,1634
CNN,CzFdA9NJEGa,2023-11-01 01:39:00,GraphVideo,"CNN obtained footage inside Al Quds hospital in northern Gaza where some 12,000 displaced people seeking shelter are camped out. CNN’s Salma Abdelaziz reports.",15012,4718
CNN,CzFZZyPBT74,2023-11-01 01:04:48,GraphImage,"Thousands of miles away from the brutality of war in Gaza, Tariq Hamouda and his wife Manal are in disbelief over the loss of three generations of their family.

The Palestinian Americans, who live in Maple Grove, Minnesota, say it’s been over a week since they learned 42 relatives were killed in the ongoing war between Israel and Hamas, and they’re still unable to fully comprehend the news. The deceased range in age from three months to 77.

Hamouda says his wife, whose maiden name is Saqallah, lost four brothers, a sister and most of their children when two explosions destroyed the Saqallah family compound on October 19 in the Sheikh Ejleen neighborhood of Gaza City.

Read more at the link in our bio.

📸: Tariq Hamouda",53544,5161
CNN,CzFQZUIJBXc,2023-10-31 23:46:25,GraphVideo,CNN’s Wolf Blitzer interviews a spokesperson for the Israel Defense Forces about the deadly airstrike that the IDF says targeted a senior Hamas commander at the Jabalya refugee camp in northern Gaza. Hamas denied Israeli assertions regarding the presence of one of its leaders in the camp.,15747,6234
CNN,CzFMrB1vVp7,2023-10-31 23:14:57,GraphVideo,"An Israel Defense Forces attack caused a massive blast at the Jabalya refugee camp in northern Gaza, leaving many casualties. The IDF says they were targeting a senior Hamas commander. Hamas denied Israeli assertions regarding the presence of one of its leaders in the camp.",17971,5295
CNN,CzEkuYnJNuh,2023-10-31 17:24:50,GraphVideo,"Capitol Police arrested several protesters, who were calling for a ceasefire in Gaza, during a congressional hearing with Secretary of State Antony Blinken and Defense Secretary Lloyd Austin. The protesters were arrested on the charge of crowding, obstructing or incommoding, according to Capitol Police.",56417,7424
CNN,CzEaWN1tU9D,2023-10-31 16:00:41,GraphVideo,"Shani Louk, the 23-year-old German-Israeli woman who was kidnapped by Hamas militants on October 7, has been declared dead, the Israeli Ministry of Foreign Affairs has said. Shani’s mother, Ricarda Louk, joins CNN’s Poppy Harlow to remember her daughter.

Tap the link in bio to read more.",27022,10030
CNN,CzEWSK9plgc,2023-10-31 15:18:18,GraphImage,"When tragedy takes the world stage, it can quickly become part of every conversation.

But as much as it may feel imperative to stay fully engaged in the tragic updates and charged conversations like those about Israel and Gaza, doing so without boundaries may lead to compassion fatigue, said Dr. Rebecca Sachs, a clinical psychologist based in New York City.

The term was created to capture the experience of people in caretaking roles or professions — such as therapists, firefighters, police officers, emergency room health care professionals and family members caring for someone with a chronic condition, said Dr. Charles Figley, Kurzweg Distinguished Chair in Disaster Mental Health at Tulane University in New Orleans.

Those who are watching traumatic things unfold in communities they are connected to as well as those they empathize with from afar may also feel the impact of compassion fatigue, Sachs said. That can lead to exhaustion, irritability and difficulty continuing to engage with their empathy if not attended to, Sachs said. 

Tap the link in bio for more. 

📸 : Tatiana Maksimova/Moment RF/Getty Images",22679,2643
CNN,CzEFyOYMcMk,2023-10-31 12:55:44,GraphVideo,"CNN journalist Ibrahim Dahman evacuated his family from Gaza City to the southern city of Khan Younis. In this video diary, he documents how he and his family try to find light amidst the darkness of the warzone.",8907,2490
CNN,CzD2KQ9sJrk,2023-10-31 10:37:33,GraphSidecar,"US-based advocacy groups are reporting a spike in hate incidents against Jewish and Muslim individuals amid the outbreak of war between Israel and Hamas. The Anti-Defamation League said this week that since the Hamas attack on Oct. 7, antisemitic incidents in the US increased 388%, according to preliminary data.

But the recent uptick from the war is part of a years-long rise in hate crimes in the US, according to data from the Federal Bureau of Investigation. FBI data released in October shows hate crimes in the US are the highest since collection began in 1991.

Tap the link in bio for more.",9409,1920
CNN,CzDzFJIsxEB,2023-10-31 10:12:20,GraphVideo,CNN’s Erin Burnett speaks with Palestinians living in East Jerusalem who say they are afraid to leave their homes for fear of being arrested by Israeli police.,17904,3837
CNN,CzCv02Xp1_K,2023-10-31 00:23:48,GraphVideo,"CNN senior crime and justice correspondent Shimon Prokupecz asked Maine Gov. Janet Mills about numerous reports that police were warned about the Lewiston shooter.

Read more at the link in our bio.",10426,652
