owner_username,url_code,time_utc,type,caption,likes,comments
APNews,CzpdI5yvH-O,2023-11-15 01:10:07,GraphImage,"Comedian John Oliver has succeeded in his campaign to have what he describes as a weird, puking bird with a colorful mullet win New Zealand’s Bird of the Century contest.

Conservation group Forest and Bird announced that Oliver’s favored water bird, the pūteketeke, had won after Oliver went all-out in a humorous campaign for the bird on his HBO show “Last Week Tonight.”

The North Island brown kiwi came in second.
Usually billed Bird of the Year, the annual event is held to raise awareness about the plight of the nation’s native birds, some of which have been driven to extinction. This year, the contest was named Bird of the Century to mark the group’s centennial.

Oliver had discovered a loophole in the rules, which allowed anybody with a valid email address to cast a vote.

He had a billboard erected for “The Lord of the Wings” in New Zealand’s capital, Wellington, and put up billboards in Paris, Tokyo, London, and Mumbai, India. He had a plane with a banner fly over Ipanema Beach in Brazil. And he even wore an oversized bird costume on Jimmy Fallon’s “The Tonight Show.”

“After all, this is what democracy is all about,” Oliver said on his show. “America interfering in foreign elections.”

Read more about the bird, and the campaign, at the link in our bio.

Peter Foulds/Royal Forest and Bird Protection Society via AP",4647,21
APNews,CzpO3syJgGK,2023-11-14 23:05:27,GraphImage,"The House voted Tuesday to prevent a government shutdown.

The bipartisan tally, 336-95, showed Republican Speaker Johnson’s willingness to leave his right-flank Republicans behind and work with Democrats to temporarily keep government running — the same political move that cost the last House speaker, Kevin McCarthy, his job just weeks ago.

The Senate acts next, ahead of Friday’s shutdown deadline.

“Making sure that government stays in operation is a matter of conscience for all of us. We owe that to the American people,” Johnson said earlier Tuesday at a news conference at the Capitol.

This is a developing story. Read the latest at the link in our bio.",2643,72
APNews,CzpM8PuSZWi,2023-11-14 22:48:51,GraphVideo,"San. Bernie Sanders intervened during a congressional hearing Tuesday after Sen. Markwayne Mullin challenged labor union leader Sean O’Brien to a fight.

The Oklahoma Republican confronted the witness after reading critical tweets O’Brien had sent about him in the past.",8488,686
APNews,Czo04_NrRec,2023-11-14 19:18:40,GraphVideo,"The White House says President Joe Biden and Chinese President Xi Jinping will discuss trade, Taiwan and fraught U.S.-Chinese relations when they meet next week in the San Francisco Bay area.

Read more about the meeting at the link in our bio.",1164,281
APNews,Czot2firpAc,2023-11-14 18:17:08,GraphVideo,"Hundreds of small earthquakes have split open roads over the past two weeks in the Icelandic town of Grindavik, as scientists monitor a buildup of magma some 5 kilometers (3.1 miles) underground.",1459,22
APNews,CzolGF1r1bf,2023-11-14 17:00:25,GraphSidecar,"It’s tricky to mess with tradition on Thanksgiving, but with a few tweaks, some typically one-note side dishes can become boldly flavored, exciting dishes.

The cooks at Christopher Kimball’s Milk Street skip pureeing butternut squash. Instead they cut it into chunks and roast it, seasoning it with fresh ginger and Chinese five-spice to complement its natural sweetness. To enliven sautéed greens, they skip the spinach and instead char hardy kale.

Do you have a spin on a classic Thanksgiving dish?

See more recipes with instructions at the link in our bio.

Photo and recipes by Milk Street via AP",755,5
APNews,CzohqA1Lq56,2023-11-14 16:30:40,GraphVideo,"Arson was the cause of a massive weekend fire that indefinitely closed a vital section of a Los Angeles freeway, California authorities said.

Gov. Gavin Newsom said investigators were trying to determine if more than one person was involved. He gave no other details.",1310,96
APNews,CzodoAxLpsa,2023-11-14 15:55:04,GraphImage,"As a child of the South, actor Cailee Spaeny grew up steeped in Graceland mythology, memorabilia and Elvis Presley tunes.⁠
⁠
Her mother loved Elvis and it wasn’t unusual for a trip to that famous house in Memphis, Tennessee, to count as a family vacation. Priscilla Presley was of course part of that. But Spaeny would find there was much more than she’d ever known when she got the opportunity to play her in Sofia Coppola’s new film, “Priscilla,” now in theaters nationwide.⁠
⁠
The film is based on Presley’s 1985 memoir “Elvis and Me,” a diary-like account of her years with the King.⁠
⁠
She and Jacob Elordi, the rising Australian actor cast as Elvis, had only 30 days to tell this expansive but intimate story with hundreds of costume changes and quite a few wigs too.⁠
⁠
Elordi said they quickly developed an “unspoken language” that helped carry them through. As an actor, he loved going deep into why Elvis behaved the way he did.⁠
⁠
Read more at the link in our bio.⁠
⁠
#APPhoto by @willysanjuanphotography/Invision",1248,4
APNews,Czm-pe2LwJ6,2023-11-14 02:05:12,GraphSidecar,"Arson likely caused a massive weekend fire that has indefinitely closed a vital section of a freeway in Los Angeles, California Gov. Gavin Newsom said Monday.

He did not say whether there were any suspects or persons of interest. The fire left the columns of Interstate 10 charred and chipped and the deck guardrails were twisted and blackened. Crews shored up the most damaged section for the safety of workers clearing the debris. It’s still unclear what structural damage, if any, the blaze caused to the freeway.

Engineers were assessing the situation Monday.

The freeway is used by 300,000 vehicles daily and the closure is expected to be felt well beyond the city, including possibly slowing the transport of goods from the twin ports of LA and Long Beach, federal officials have said. The ports are among the nation’s largest and handle more than half the goods coming into the U.S. President Joe Biden had been briefed on the fire that erupted Saturday.

Read more at the link in our bio.

#APPhotos by Jae C. Hong",3446,91
APNews,Czm6EshNIQc,2023-11-14 01:25:29,GraphVideo,Former British Prime Minister David Cameron has made an unexpected return to high office. He was appointed foreign secretary on Monday in a major shakeup of the Conservative government that also saw the firing of divisive Home Secretary Suella Braverman.,1143,51
