owner_username,url_code,time_utc,type,caption,likes,comments
BBCNews,CzrI99wN-9M,2023-11-15 16:52:17,GraphSidecar,"Friends actors Jennifer Aniston and David Schwimmer have paid their first tributes to co-star Matthew Perry following his death last month.
 
Schwimmer, who played Ross, shared a picture on Instagram of himself alongside Perry as Chandler.
 
""Thanks you for ten incredible years of laughter and creativity,"" he wrote.
 
Aniston, who played Rachel, posted a clip of her and Perry from the sitcom and wrote that she’d been “pouring over” their texts that’s made her laugh and cry.
 
Perry, 54, was found unresponsive in a hot tub at his Los Angeles home at the end of October.
 
Tap the link in @BBCNews’s bio to read what Perry's other co-stars said about him in their tributes.
 
(📸 Getty)
 
#Friends #JenniferAniston #DavidSchwimmer #MatthewPerry #BBCNews",30623,133
BBCNews,Czq_n4asiuu,2023-11-15 15:33:31,GraphVideo,"A BBC correspondent was reporting in Iceland when an immediate evacuation order came.
 
Residents were being allowed back into Grindavik in small numbers to quickly retrieve belongings when authorities ordered people to leave. 
 
A volcanic eruption is expected in the area, according to scientists.
 
Tap the link in @BBCNews’s bio to find out what the impact of an eruption could be.
 
#Iceland #Volcano #BBCNews",5548,147
BBCNews,Czq5TsjseA7,2023-11-15 14:36:13,GraphVideo,"What’s it like for people breathing in Delhi’s toxic air?

On Monday, the morning after Diwali festival, when revellers burst firecrackers despite a ban, Delhi was among the world's top cities for pollution.

But pollution is also a year-round problem here, due to factors like high vehicular and industrial emissions and dust.

Tap the link in our bio to find out about what solutions there could be.

#Delhi #AirQuality #Pollution #BBCNews",12088,485
BBCNews,CzqnWeltr4h,2023-11-15 11:58:32,GraphSidecar,"The UK's highest court has ruled a government plan to deport asylum seekers to Rwanda is unlawful. 
 
The government had said its plan to deport asylum seekers to east Africa and ban them from returning was needed to deter illegal small boat crossings. 
 
But the Supreme Court ruled it was possible the Rwandan government would send people back to the country they had fled in the first place. 
 
It said the policy breaches human rights laws by potentially leaving the people sent there open to that risk.
 
UK PM Rishi Sunak said it was ""not the outcome we wanted"" and the government would ""now consider next steps"".
 
Tap the link in @BBCNews’s bio for reaction to the ruling. 
 
(📷 Reuters)
 
#UK #Rwanda #BBCNews",14904,642
BBCNews,Czqg3MONMUM,2023-11-15 11:01:50,GraphImage,"Israeli forces have entered Gaza's largest hospital in what the military says is a ""targeted"" operation. 
 
A journalist inside the Al-Shifa hospital told the BBC that Israeli soldiers are going room to room and interrogating people, but there is currently no shooting taking place. 
 
The same witness said commando soldiers had entered the main emergency department, with tanks also in the hospital area. 
 
Israel accuses Hamas of running a command centre in tunnels under the hospital and the US says it has intelligence that supports this. 
 
Hamas denies this and says the raid on the hospital is a war crime - hundreds of civilians have been sheltering there, alongside patients. 
 
Tap the link in @BBCNews’s bio for the latest developments. 
 
(📷 Reuters) 
 
#Gaza #Israel #BBCNews",17651,4274
BBCNews,CzqWHDhtOJj,2023-11-15 09:27:52,GraphSidecar,"Threads users can delete their account while keeping their linked Instagram account, under new changes.
 
An Instagram account is needed to sign up to the X-like app, formerly Twitter, but users were frustrated that it was impossible to delete Threads alone.
 
The platform said it had ""heard feedback that you want more control over the experience"", Instagram boss Adam Mosseri wrote.
 
The new feature will be accessible from the settings menu in a ""Delete or Deactivate Profile"" section.
 
Tap the link in @BBCNews’s bio to find out what other changes he announced.
 
(📸 Reuters/ EPA)
 
#Threads #Instagram #BBCNews",20734,209
BBCNews,CzqKKQbtfXl,2023-11-15 07:43:27,GraphSidecar,"Friends stars Courteney Cox and Matt LeBlanc have paid their individual tributes to co-star Mathew Perry, following his death last month.
 
Cox, who played his on-screen wife Monica, shared a clip of her with Perry's character Chandler on Instagram and said she was ""so grateful for every moment"" they worked together.
 
Matt LeBlanc, who played roommate Joey, wrote, ""It was an honour to call you my friend"".
 
He added that: ""It is with a heavy heart I say goodbye. I'll never forget you.""
 
Perry was found dead at his Los Angeles home last month at the age of 54, sparking an outpouring of grief from fans across the world.
 
Cox also revealed that her character's marriage to Chandler was not the writers' original plan.
 
Tap the link in @BBCNews’s bio to find out what was.
 
#Friends #MathewPerry #CourteneyCox #MattLeBlanc #BBCNews",54424,162
BBCNews,CzpK85oN7-n,2023-11-14 22:31:08,GraphSidecar,"""We cannot change the past; however, this decision provides the Army and the American people an opportunity to learn from this difficult moment in our history.""
 
The US Army has overturned convictions of 110 black soldiers who were arrested after the 1917 Houston Riots.
 
A military review found the soldiers were not given fair trials and were ""wrongly treated"" because of their race.
 
The riots took place after months of racial provocations against members of a regiment known as ""Buffalo Soldiers"".
 
Amid rumours of additional threats from a white mob, a group of armed black soldiers assembled in the Texas city, where clashes erupted.
 
The army convicted 110 soldiers from the regiment and ultimately nineteen were executed, while others were sentenced to life behind bars.
 
It remains the largest mass execution of American soldiers by the US Army.
 
Tap the link in @BBCNews’s bio to find out what will be done to characterise the soldiers’ military service as honourable.
 
📷Houston Chronicle/Hearst Newspapers via Getty Images / Contributor
 
#BuffaloSoldiers #BBCNews",37562,590
BBCNews,CzpAmeNt-H7,2023-11-14 21:00:41,GraphSidecar,"“The holy grail of postage"".
 
A rare postage stamp has sold for $2m (£1.63m) in a New York auction, setting the record for the most expensive single US stamp sold.
 
The famous red, white and blue ""Inverted Jenny"" stamp dates back to 1918, and originally cost 24 cents.
 
Charles Hack, 74, made the monumental purchase on Wednesday, adding to his existing Jenny stamp collection.
 
Tap the link in @bbcnews’s bio to find out what makes the stamp so valuable. 
 
(📷 Siegel Auctions)
 
#Stamp #StampCollection #BBCNews",10358,178
BBCNews,Czo81dZM1J5,2023-11-14 20:29:58,GraphVideo,"More than 1,000 people have been evacuated from an Icelandic town after 500 earthquakes hit the region on Monday, with fears a volcanic eruption could follow.

Tap the link in @bbcnews’s bio to read how the country plans to protect a power plant from possible lava flows.

#Iceland #Volcano #BBCNews",9371,152
