owner_username,url_code,time_utc,type,caption,likes,comments
NBCNews,CzrI2-iLQIZ,2023-11-15 16:51:23,GraphSidecar,"The families of American citizens kidnapped by Hamas militants in Israel say they want to focus international attention on the plight of their loved ones in captivity — including a 3-year-old girl who the White House confirmed was taken into Gaza during the Oct. 7 terror attack.

In an exclusive interview with @lesterholtnbc, the girl’s great-aunt was joined by seven other families whose relatives were taken hostage during Hamas' assault on kibbutzim, a musical festival and homes across Israel’s south. They spoke as thousands of people from across the U.S. descended on the National Mall for a pro-Israel march.

Read more at the link in bio. 

📷️ @gregkahn for @NBCNews",2486,563
NBCNews,CzpNZwPuVCA,2023-11-14 22:54:02,GraphVideo,Family members of hostages trapped in Gaza tell Lester Holt how they feel about the Biden administration’s response to bringing home their loved ones.,1008,530
NBCNews,CzpHbn_rMag,2023-11-14 22:00:26,GraphSidecar,"Thousands of demonstrators gathered at the National Mall on Tuesday for a rally in support of Israel and against the antisemitism and bias incidents that have erupted in the U.S. since the start of the war.

Organizers of the event say they are not only calling for the return of hostages, but also want to underscore ""Israel's right to remain free from violence and the right of Jewish communities in North America and around the world to live free from hate.""

Read more at the link in our bio.",13221,2675
NBCNews,Czo388bs0OB,2023-11-14 19:45:10,GraphImage,"Monday was supposed to be the day Bettersten Wade would finally get a measure of peace.
Instead, she suffered another indignity.

Wade and her lawyers had arranged with Hinds County officials to exhume the remains of her son, Dexter Wade, who’d been struck and killed by a Jackson police officer and buried in a pauper’s field at the county penal farm without her knowing. They agreed on 11:30 a.m. Monday. Her lawyers said they spoke to a county attorney Sunday to confirm.

But when Bettersten Wade arrived at the penal farm at the appointed time, her son’s remains had already been dug up, put in a body bag and placed in the back of a Chevy Suburban. County officials said a public works crew had turned up earlier in the morning and removed the remains before anyone else arrived.

“It makes me feel like I don’t exist,” Bettersten Wade said. “It doesn’t matter that I’m his mother. It didn’t matter to them. They act like that’s their child and they’re really the one who decides what happens to him. I didn’t have any rights or say.”

Dexter Wade’s funeral is scheduled for next week. 

Read more at the link in bio.

📷️ @ashleighcoleman for @NBCNews",3308,251
NBCNews,Czo0HjqxDp6,2023-11-14 19:12:17,GraphVideo,"@lesterholtnbc sat down with 12 family members of hostages that are being held in Gaza. Liz Hirsh Naftali’s relative, a three-year-old girl, was taken after her parents were killed in Hamas’ attack.",2154,597
NBCNews,Czov7_GL1PB,2023-11-14 18:35:09,GraphImage,"A man was arrested on suspicion of manslaughter Tuesday in connection with the death of professional ice hockey player Adam Johnson, whose neck was cut by a skate blade mid-game.

Nottingham Panthers player Adam Johnson was playing in a Champion cup game against the Sheffield Steelers on Oct. 28 when the incident happened. Johnson died in hospital due to a ""fatal neck injury.""

After Johnson's death, the English Ice Hockey Association, which governs the sport below the Elite League, said they would require all players in England to wear neck guards from the start of 2024.

Read more at the link in bio.

📷️ Ben Booth / SOPA Images / Sipa via AP file",12727,325
NBCNews,CzmLtq2rDfq,2023-11-13 18:40:07,GraphImage,"Iceland has declared a state of emergency and evacuated all 3,400 residents from the coastal town of Grindavik, saying there is a “significant likelihood” of a volcanic eruption in the coming days.

The Icelandic Meteorological Office reported intense earthquake swarms in the southwestern part of the country in recent weeks, likely tied to the movement of underground magma in and around the Reykjanes Peninsula. 

On Monday around 900 earthquakes had been detected since midnight, but their size and intensity were decreasing. Officials said ground deformation in the region has also slowed, which “can be an indication that magma is moving closer to the surface.”

Read more at the link in bio.

📷️ Brynjar Gunnarsson",3047,54
NBCNews,Czlq4GVNc8M,2023-11-13 13:53:08,GraphImage,"The boys' high school soccer team in the Maine city that was the site of a mass shooting more than two weeks ago has won the state title.

The Lewiston High School Blue Devils beat Portland's Deering High School Rams 3-2 on Saturday in the Class A state championship game.

The shootings at a bowling alley and a nearby bar on Oct. 25 in Lewiston killed 18 people and injured 13 others, making it the deadliest mass shooting in Maine history.

Read more at the link in the bio.",15930,99
NBCNews,CzjpOGfrCJt,2023-11-12 19:00:14,GraphImage,"Scientists have developed a new toothpaste that shows potential to prevent severe allergic reactions in adults with peanut allergies.

An early-stage clinical trial tested whether 32 adults with peanut allergies could safely brush their teeth with the toothpaste, which contains trace amounts of peanut protein. The hope is that introducing small amounts of peanuts to the body over time will help the immune system get used to the allergen and reduce severe reactions.

Adults in the trial used the toothpaste once daily for about 11 months. At the end of the study, none of the participants experienced severe reactions or anaphylaxis — an allergic response often characterized by difficulty breathing, swelling in the throat, pale skin, blue lips, fainting or dizziness.

Read more at the link in bio.",5191,76
NBCNews,CzeZqfWLSUt,2023-11-10 18:08:06,GraphImage,"Taylor Swift made history when 2024 Grammy Awards nominations were announced, becoming the first person to be nominated in the song of the year category seven times in her career. The song that garnered this year's nod in that category was her hit, ""Anti-Hero.""

Swift also logged her sixth album of the year nomination for ""Midnights."" She's now tied with a music icon Barbra Streisand for the most nominations by a female artist in that category.

The megastar earned a total of six nominations, which also included nominations for record of the year, best pop solo performance and best pop/duo group performance.

Read more at the link in our bio.",10174,191
NBCNews,CzeR47NrZNm,2023-11-10 17:00:10,GraphImage,"Keke Palmer is accusing her ex-boyfriend, Darius Jackson, of physical and emotional abuse, writing in court documents that he has repeatedly attacked her, trespassed at her home and ""became very frustrated"" with their 8-month-old son. 

Palmer says the abuse happened throughout her two-year relationship with Jackson and did not stop after their breakup in early October.

A judge has granted Palmer a temporary restraining order while she seeks sole custody of their child.

Read more at the link in our bio.",2988,219
NBCNews,CzcRyCKP0NK,2023-11-09 22:22:11,GraphVideo,"@nbcnews watched the third Republican debate with voters in New Hampshire.⁠
⁠
Here’s what voters had to say about the election event. ⁠",5155,1063
NBCNews,CzcPbMWOOy2,2023-11-09 22:01:23,GraphVideo,The 2023 Rockefeller Center Christmas tree has been cut and is en route to arrive at 30 Rockefeller Center by Saturday.,2914,86
NBCNews,Czb7Kj0ra6v,2023-11-09 19:03:18,GraphVideo,"Donald Trump, Israel, and a whole slew of insults: Here's the third Republican presidential primary debate in one minute.",2210,529
NBCNews,Czb0EakroPo,2023-11-09 18:01:07,GraphImage,"Israel will implement four-hour pauses in fighting in parts of the northern Gaza Strip each day, White House National Security Council spokesperson John Kirby said.

An announcement will be made three hours before each pause and the Israeli military assured the U.S. there will be no operations in designated areas during those times, he told reporters in a briefing.

Kirby's comments came after the U.S. was said to be discussing with Israel and Qatar a possible proposal for a dayslong pause in the fighting, according to two foreign diplomats and a U.S. official. 

It is unclear how exactly these pauses will differ from current ones, which Israel has been implementing for the past several days. Israeli officials have said that the brief suspensions in fighting have been to allow Palestinian civilians in northern Gaza to move south.

Read more at the link in bio.",2202,647
NBCNews,CzaeFyFugPs,2023-11-09 05:30:37,GraphVideo,"Vivek Ramaswamy and Nikki Haley shared a number of tense moments at the Republican primary debate, with the tension carrying over post-debate.",4351,629
NBCNews,CzaUFa5NJE6,2023-11-09 04:02:22,GraphSidecar,"Republican presidential candidates competed with each other to show the most support for Israel, draw the hardest line on Iran and speak out the most aggressively about antisemitism at Wednesday's GOP presidential debate, while downplaying what Florida Gov. Ron DeSantis called “so-called Islamophobia.”

All five candidates said they fully supported Israel’s military campaign against Hamas and would not do anything to rein in its bombing of Gaza, which has led to a worsening humanitarian crisis for Palestinian civilians.

Read more at the link in bio.",2930,723
NBCNews,CzaQg8_Loc1,2023-11-09 03:31:11,GraphImage,"Vivek Ramaswamy has been the most attacked candidate in both of the first two GOP debates.

He was not the target this time around.

NBC News live-tracked every attack, criticism and barb the candidates delivered Wednesday in Miami.

Read more at the link in bio.",2184,143
NBCNews,CzaMLO0tEIL,2023-11-09 02:53:16,GraphImage,"A question on TikTok comes as the popular video platform, which is owned by Chinese tech company ByteDance, has re-entered the crosshairs of politicians and national security officials. 

TikTok has been the subject of scrutiny for years because of concerns that people in China may access the personal data of American users.

Most recently, members of Congress and people in the tech industry have criticized TikTok because of pro-Palestinian content on the platform.

Nikki Haley used the time to answer a previous question unrelated to TikTok.

Get live updates at the link in bio.",3433,387
NBCNews,CzaJqJ3tXWq,2023-11-09 02:31:25,GraphVideo,"After Vivek Ramaswamy criticizes American support for Ukraine’s fight against Russia, Nikki Haley says President Putin and Chinese President Xi are ""salivating at the thought"" that someone like Ramaswamy could become president of the U.S.",4228,581
NBCNews,CzaIecDNHD-,2023-11-09 02:20:55,GraphImage,"Five Republican presidential are facing off tonight in Miami in a debate hosted by NBC News and sanctioned by the Republican National Committee.

Debate participants began by noting why voters should choose them over Trump.

Get live updates at the link in bio.",26593,662
NBCNews,CzaHs-Btr5D,2023-11-09 02:14:10,GraphSidecar,"Nikki Haley, Ron DeSantis, Vivek Ramaswamy, Chris Christie and Tim Scott are are facing off tonight in Miami at the NBC News Republican Presidential Debate.

Donald Trump is not participating in the debate but instead is holding a rally in Florida.

Follow live updates at the link in our bio.",1294,112
NBCNews,CzaEk-tNeBQ,2023-11-09 01:47:06,GraphVideo,The Republican presidential candidates walk out on stage and pose for a photo before the start of tonight's debate.,5263,369
NBCNews,CzZ7tZ5uw35,2023-11-09 00:29:44,GraphVideo,"Light signals, note-taking and absolutely no coaching: Garrett Haake breaks down the rules for @NBCNews’ Republican presidential debate.",907,35
NBCNews,CzZ1SxGtf2L,2023-11-08 23:33:34,GraphVideo,"The Biden-Harris campaign is putting up 1,000 signs featuring the “Dark Brandon” meme around the venue for the GOP presidential debate in Miami today, it said.

The meme is an online image of President Biden with red laser eyes, meant to portray the president as powerful. The name stems from the Republican rallying cry, “Let’s Go Brandon,” which is a euphemism for an expletive against Biden. But White House staffers began embracing the “Dark Brandon” meme last summer, and the president’s re-election campaign has used it as an icon, too.

Follow live updates from the third Republican presidential debate at the link in bio.",2800,173
NBCNews,CzZqwG5LKFE,2023-11-08 22:01:12,GraphImage,"Virginia Del. Danica Roem has made political history once again after winning a seat in the state Senate on Tuesday. She is the first out transgender person elected to Virginia’s upper chamber and only the second trans person elected to any state Senate in the United States, following Delaware’s Sarah McBride in 2020.

“I’m grateful the people of Virginia’s 30th Senate district elected me to continue representing my lifelong home of western Prince William County and greater Manassas,” Roem said. 

“The voters have shown they want a leader who will prioritize fixing roads, feeding kids and protecting our land instead of stigmatizing trans kids or taking away your civil rights.”

Read more at the link in bio.",13848,1392
NBCNews,CzZhMeSLQ_j,2023-11-08 20:37:41,GraphImage,"From his bedroom in Seattle, John Michael has been checking a red alert app in recent weeks to see whether any rockets have landed near his friend’s house in Tel Aviv or the kibbutz where he taught this summer. 

As the Israel-Hamas war enters its second month, some Jewish Americans are turning to an information source little known to non-Israelis: rocket alert apps.

The platforms, which have been around for nearly a decade and draw on real-time data from Israel’s Home Front Command, warn users of incoming rocket attacks sometimes just moments before they happen.

Read more at the link in bio.",1373,209
NBCNews,CzZB_1hO9Fj,2023-11-08 16:07:55,GraphVideo,#Republican presidential candidates share their meals of choice on debate days.,7445,389
NBCNews,CzXw23KtsJE,2023-11-08 04:16:06,GraphImage,"Ohio voters have added the right to access abortion care to the state's constitution, NBC News projects — another major political victory for abortion-rights advocates in the nearly 17 months since the Supreme Court struck down Roe v. Wade.

The passage of the Issue 1 ballot measure inserts language in the state constitution guaranteeing every person in Ohio the right “to one’s own reproductive medical treatment, including but not limited to abortion,” and barring the state from “burdening, penalizing or prohibiting” those rights — though it specifies that abortion will remain prohibited after the point a doctor judges a fetus would most likely survive birth, with exceptions to protect the woman’s life or health.

Read more at the link in bio.",13530,615
NBCNews,CzXufjftJU0,2023-11-08 03:55:24,GraphImage,"House lawmakers on Tuesday censured Rep. Rashida Tlaib, the sole Palestinian American in Congress, over her remarks and actions in response to the Israel-Hamas war.

Republicans have seized on Tlaib’s words and actions criticizing Israel, joining several Democrats in condemning a video she posted on social media showing protesters chanting “from the river to the sea” — a phrase that has been used by Hamas and that Jewish groups consider an antisemitic call for the elimination of Israel. 

Tlaib’s positions have divided Democrats, who are wrestling with how to respond to the new conflict in the Middle East.

Read more at the link in bio.",4018,895
NBCNews,CzXdQ1Gt1bt,2023-11-08 01:24:51,GraphImage,"Democrat Cherelle Parker, a former member of the Philadelphia City Council, has been elected the city’s next mayor, NBC News projects, which will make her the first woman to hold the office. 

Click the link in our bio to read more.",18685,396
NBCNews,CzXBEcvrS9g,2023-11-07 21:18:38,GraphVideo,A deer leapt 20 feet and landed on a pristine white pickup truck — minutes before the owner was about to sell it.,23021,567
NBCNews,CzW50KLLHc3,2023-11-07 20:15:07,GraphImage,"Scientists have discovered the oldest black hole yet, a cosmic beast formed a mere 470 million years after the Big Bang.

The findings, published Monday, confirm what until now were theories that supermassive black holes existed at the dawn of the universe. 

Given the universe is 13.7 billion years old, that puts the age of this black hole at 13.2 billion years.

Even more astounding to scientists, this black hole is a whopper — 10 times bigger than the black hole in our own Milky Way.

Read more at the link in bio.

📷️ NASA via AP",2415,88
NBCNews,CzWuKEjLUMe,2023-11-07 18:33:15,GraphSidecar,"The Gaza Strip is becoming a “graveyard for children,” U.N. Secretary-General António Guterres said, as he called for an immediate humanitarian cease-fire and the unconditional release of all hostages being held by Hamas.

The U.N. Security Council failed again last night to agree on a resolution on the war, however.

Despite more than two hours of closed-door discussions, differences remained, with the U.S. calling for “humanitarian pauses” and many council members demanding a “humanitarian cease-fire.”

Yesterday, the U.N. launched a $1.2 billion humanitarian appeal to help 2.7 million Palestinians in Gaza and the West Bank. According to the Gaza Health Ministry, more than 10,000 people, including more than 4,000 children, have been killed since the conflict began a month ago.

Read more at the link in bio.",4440,1053
