owner_username,url_code,time_utc,type,caption,likes,comments
WSJ,CzrGoXXMTHj,2023-11-15 16:34:52,GraphVideo,"Israeli soldiers moved into Gaza’s largest hospital, Al-Shifa, on Wednesday, searching buildings and questioning Palestinians sheltering there, witnesses said, as the troops hunted for Hamas militants.⁠
⁠
A senior Israeli military official said soldiers killed four Hamas fighters who attacked them outside the hospital, which Israel contends sits atop underground complexes used by militants.⁠
⁠
The official said soldiers found weapons and other “concrete evidence” that militants had been operating in the hospital but didn’t elaborate, adding that the evidence would be shared later with the public.⁠
⁠
Read more at the link in our bio.",2888,928
WSJ,Czq_dSeshbd,2023-11-15 15:29:26,GraphImage,"Meta will let political ads on Facebook and Instagram question the legitimacy of the 2020 U.S. presidential election, one of several changes the social-media company and other platforms have made to loosen constraints on campaign advertising for 2024.⁠
⁠
Meta made the change last year, but it hasn’t gained wide attention. The company decided to allow political advertisers to say past elections were “rigged” or “stolen” but prevented them from questioning the legitimacy of ongoing and coming elections.⁠
⁠
Executives at Meta made the decision based on free-speech considerations after weighing past U.S. elections in which the results might have been contested by a portion of the electorate, according to people familiar with the issue.⁠
⁠
The updated policy is part of a number of changes Meta has made that might fundamentally alter its influence and reach compared with past elections, including a move to adjust its algorithm in a way that de-emphasizes organic political content on Facebook, the people said.⁠
⁠
Some candidates already appear to have questioned elections in ads. Former President Donald Trump ran a campaign ad on Facebook in August that was within the bounds of the updated policy. “We won in 2016. We had a rigged election in 2020 but got more votes than any sitting president,” Trump said in the ad. “We’re going to win like never before.”⁠
⁠
Read more at the link in our bio.",2095,392
WSJ,CzpIjyZvVTd,2023-11-14 22:13:06,GraphVideo,"Sen. Markwayne Mullin called out Teamsters President Sean O’Brien during a Senate hearing on Tuesday and suggested the two settle the matter with a fight.⁠
⁠
Watch the full video at the link in our bio.⁠
⁠
Photos: Elizabeth Frantz/Reuters",15438,1373
WSJ,CzpBGRLMAhs,2023-11-14 21:05:10,GraphImage,"A cherry red, 1962 Ferrari 250 GTO known for its rarity and winning race history has become the second-most expensive vehicle ever sold at auction.⁠
⁠
RM Sotheby’s sold the car for $52 million on Monday, below its $60 million asking price. The top-selling car is a 1955 Mercedes-Benz 300 SLR Uhlenhaut Coupe, a prototype that was auctioned for $142 million last year and one of two ever manufactured. ⁠
⁠
Ohio collector Jim Jaeger, who privately bought the Ferrari for around $500,000 in 1985, sold the car to an anonymous bidder. The Ferrari was one of 34 produced by Ferrari and one of only two GTO models ever raced by Ferrari’s own team, Scuderia Ferrari, the auction house said. It initially sold in 1964 for about $6,000, Sotheby’s said.⁠
⁠
The auction house made the unusual move of using the car as part of its high-profile New York series of fall auctions—bidding began just before its evening sale of modern art—as a way to underscore the fact that collectors are now willing to pay as much for a vintage vehicle as they would a masterpiece painting.⁠
⁠
Read more at the link in our bio.⁠
⁠
Photo: Sotheby’s",6446,50
WSJ,CzoivNSM2iq,2023-11-14 16:42:42,GraphVideo,"The fire that shut down part of Interstate 10, a major artery in the Los Angeles freeway system, was likely arson, officials said.⁠
⁠
The shutdown threatens to worsen traffic in a city already famous for clogged roads. The damaged section will remain closed in both directions “until further notice,” the California Department of Transportation said Sunday.⁠
⁠
Read more at the link in our bio.⁠
⁠
Photo: AP",2410,120
WSJ,CzmFw0svWpA,2023-11-13 17:50:50,GraphVideo,"Israel struck southern Lebanon on Monday after at least one of its civilians was killed by missiles launched from Lebanon on Sunday. Several other civilians and soldiers were injured.⁠
⁠
The Lebanese militant group Hezbollah claimed responsibility for Sunday's attack. The Israeli government issued warnings to Hezbollah, with Prime Minister Benjamin Netanyahu calling the group a “war target.”⁠
⁠
Follow live coverage at the link in our bio.⁠
⁠
Photo: Hussein Malla/AP",7809,903
WSJ,CzmFqWDMzkk,2023-11-13 17:47:18,GraphImage,"Nearly three years into an experiment that proponents hoped would spark a nationwide relaxation of drug laws, many in Oregon have turned against the decriminalization initiative known as Measure 110, which passed with 58% support in 2020. ⁠
⁠
People sprawled on sidewalks and using fentanyl with no fear of consequence have become a common sight in cities such as Eugene and Portland. Business owners and local leaders are upset, but so are liberal voters who hoped decriminalization would lead to more people getting help. In reality, few drug users are taking advantage of new state-funded rehabilitation programs.⁠
⁠
Change appears likely. A coalition of city officials, police chiefs and district attorneys recently called on the state legislature to recriminalize hard drugs. A measure to do so is in the works for next year’s ballot. A recent poll found the majority of Oregonians support the idea.⁠
⁠
The fundamental problem, according to law-enforcement officers and researchers, is that the threat of jail time hasn’t been replaced with a new incentive for people struggling with addiction to seek treatment.⁠
⁠
Some 6,000 tickets have been issued for drug possession since decriminalization went into effect in 2021, but just 92 people have called and completed assessments needed to connect them to services, according to the nonprofit that operates the helpline. The only penalty for those who don’t call is a $100 fine, which is rarely enforced.⁠
⁠
Advocates of drug decriminalization blame Oregon’s continued problems on nationwide trends, including the rise of deadly fentanyl and increased homelessness.⁠
⁠
They say Measure 110 is already succeeding at one of its goals: keeping people out of the criminal-justice system for drug possession. About 4,000 people were arrested for drug offenses in Oregon in 2022, down from 11,000 in 2020.⁠
⁠
Read more at the link in our bio. ⁠
⁠
📷: @moriahratner for @wsjphotos",15798,993
WSJ,CzkSbXJLnpu,2023-11-13 01:00:27,GraphImage,"The white-collar labor market is softening to a point that companies are encountering an issue that would have been unthinkable in the era known as the Great Resignation. ⁠
⁠
These days, too few people are voluntarily leaving their jobs.⁠
⁠
Turnover has declined so steeply at some large employers that companies now find themselves over budget on certain teams, requiring leaders to weigh whether to postpone projects or to cut additional staff as the end of year approaches. Other bosses worry about how to keep star employees engaged when there are far fewer vacant positions internally, making it harder to move people into new roles.⁠
⁠
The decline in quitting would seem a welcome development for bosses who spent years bemoaning high levels of job-hopping and rapidly rising salaries. But some executives said they have been caught by surprise at how quickly the labor-market dynamics flipped, posing new challenges.⁠
⁠
Morgan Stanley had layoffs in recent months in part because of low attrition within the 80,000-person Wall Street firm, CEO James Gorman said on a call with investors in mid-October.⁠
⁠
Employers try to accurately predict how many staffers will quit in a given year to help set budgets for teams and establish hiring plans. Software company ServiceNow uses a machine-learning model to anticipate the number of employees it expects will step down each quarter. Voluntary turnover this year has fallen below levels forecast by those models, said Sarah Tilley, senior vice president of global talent. She didn’t cite specific figures, but attrition among top-performing employees in 2023 is less than half of what it was in 2022.⁠
⁠
Read more at the link in our bio.⁠
⁠
Photo illustration: Emil Lendof for @wsjphotos; iStock",6749,159
WSJ,CzjwRbZvt3Y,2023-11-12 20:03:59,GraphVideo,"Astrophysicist Jason Steffen has spent his career trying to crack the deepest mysteries of the universe while studying exoplanets orbiting distant stars, dark matter and gravitation. In his spare time, he also tackles another impenetrable riddle of the galaxy: What is the best way to board airplanes?⁠
⁠
Steffen’s frustration with the boarding process began with an unpleasant trip to the airport in Seattle, where he waited in many lines. He thought the last one, at the jet bridge, was unnecessary.⁠
⁠
“There should be a solution to this—no matter how weird it might be,” the 48-year-old said.⁠
⁠
His annoyance, which you don’t have to be an astrophysicist to understand, led him to develop what he says is the optimal boarding strategy.⁠
⁠
Here’s how it works: The first person to board a single-aisle jet like a Boeing 737 is the passenger in the window seat of the last row. Say that’s 30A. The next person would be exactly two rows away in 28A, followed by 26A, 24A and 22A until the window seats in even rows on the right side were full. Next are the window seats in even rows on the left side: 30F, 28F, 26F and so on. Then come window seats in odd rows on the right and left starting from the back. The same patterns apply to middle seats and aisle seats until the last person on board plops into the front row.⁠
⁠
The idea is to reduce the probability of traffic jams. If the primary bottleneck of the boarding process is people waiting in the aisle, mostly because of how long it takes for others to load their luggage, Steffen’s fix maximizes the number of passengers stuffing their bags into overhead bins simultaneously. It takes a serial process (one at a time) and makes it parallel (several at a time).⁠
⁠
Steffen’s academic theories might be too idealistic to overcome the realities of the business, but it’s still worth exploring why they work.⁠
⁠
Read more at the link in our bio.⁠
⁠
🎨: Johnny Simon for @wsjphotos, iStock photo/Getty Images",5224,163
WSJ,CzjUrBms-t7,2023-11-12 16:00:41,GraphSidecar,"While anxiety, depression and other mental-health conditions started to climb among children before Covid, they soared during the isolation and disruption of the pandemic. ⁠
⁠
The increased demand for treatment exacerbated a shortage of available mental-health services. This has left desperate families pouring into emergency departments that legally can turn no one away. ⁠
⁠
The influx of young mental-health patients is overcrowding emergency departments and delaying treatment across the country at both specialized children’s hospitals and general hospitals. Major pediatric and emergency medicine organizations issued a public warning to hospitals and doctors in August, stating that the lack of space and available staff is forcing children who need psychiatric care to wait too long in E.R.s. ⁠
⁠
Andrea Teague, an oncologist in Santa Fe, N.M., has struggled to get help for her teenage daughter Iris, who suffers from depression and an eating disorder. The lone therapist Teague knew of in Santa Fe specializing in adolescent eating disorders had a six-month wait list. An Albuquerque program was temporarily closed. ⁠
⁠
Teague eventually found residential facilities, but it took weeks to get her in. After being discharged from one facility, Iris tried to kill herself. After a mental-health evaluation, Iris, who had just turned 18, was transferred to an adult psychiatric unit at an Albuquerque hospital, where she was discharged after five days with a treatment plan that would have required her to wait months for a psychiatrist.⁠
⁠
Teague used her medical connections to cobble together a treatment plan, which includes a local therapist and a dietitian from Colorado who helps her daughter remotely. ⁠
⁠
“She was in a crisis that required relatively urgent intervention, where waiting meant putting her life in danger,” Teague said. ⁠
⁠
Read more at the link in our bio. ⁠
⁠
📷: @adriamalcolm for @wsjphotos",5913,280
