owner_username,url_code,time_utc,type,caption,likes,comments
CNN,CzrElIVs_oI,2023-11-15 16:13:58,GraphImage,"Jennifer Aniston is the latest “Friends” cast member to pay tribute to Matthew Perry.

“Oh boy this one has cut deep… Having to say goodbye to our Matty has been an insane wave of emotions that I’ve never experienced before,” Aniston wrote in the caption of her Instagram post.

Loss comes for everyone, Aniston noted, before describing the depth of hers.

“Being able to really SIT in this grief allows you to feel the moments of joy and gratitude for having loved someone that deep. And we loved him deeply,” she wrote. “He was such a part of our DNA. We were always the 6 of us. This was a chosen family that forever changed the course of who we were and what our path was going to be.”

Read her full statement at the link in bio.

📸: Ron Davis/Archive Photos/Getty Images",28534,238
CNN,CzpVX3uM7s5,2023-11-15 00:02:13,GraphImage,"Pink will give away 2,000 banned books at her South Florida shows this week in partnership with the literary and free expression advocacy group PEN America.

Fans who attend the Miami and Sunrise, Florida, stops of the singer-songwriter’s “Trustfall Tour” Tuesday and Wednesday will receive a copy of some of the books that have appeared on PEN America’s Index of Banned Books.

Read more at the link in our bio.

📷: Michelle Pemberton/IndyStar/USA Today Network",64519,1716
CNN,CzpUkcXJkZg,2023-11-14 23:57:41,GraphVideo,"Republican Sen. Markwayne Mullin of Oklahoma challenged Teamsters General President Sean M. O’Brien to a fight during a Senate committee hearing, before Sen. Bernie Sanders intervened.",22197,2258
CNN,CzoqR8AprzJ,2023-11-14 17:45:49,GraphVideo,Rescue efforts are underway in northern India to save as many as 40 workers after a mountain tunnel they were working on collapsed on November 12.,4302,393
CNN,CzomsybMQWb,2023-11-14 17:15:05,GraphVideo,"A CNN team embedded with the Israel Defense Forces (IDF) was shown guns and explosives in one room located beneath Al-Rantisi children's hospital on Monday, which IDF spokesperson Rear Admiral Daniel Hagari termed as ""armory.""

Hamas has repeatedly denied that its fighters hide under hospitals, as have Gazan health officials and hospital directors.

CNN reported from Gaza under IDF escort at all times. CNN did not submit its script or footage to the IDF and has retained editorial control over the final report.",27883,15830
CNN,CzoGM8SPRgT,2023-11-14 12:30:36,GraphVideo,CNN's Nic Robertson embedded with the Israel Defense Forces to get a firsthand view of the destruction of Gaza's coastline amid Israel's war with Hamas. CNN reported from Gaza under IDF escort at all times. CNN did not submit its script or footage to the IDF and has retained editorial control over the final report.,9404,4429
CNN,Czn-8gNtozJ,2023-11-14 11:27:24,GraphVideo,"Former criminal John Lally jumped into action when a gunfight broke out between Houston police and a carjacking suspect. Lally helped by dragging 29-year-old police officer John Gibson, who had been shot in the leg, to safety.",117703,2555
CNN,Czm7AgkOQOQ,2023-11-14 01:34:22,GraphVideo,"A Chinese government campaign to harass Americans with vile and deeply personal threats has left some victims distressed and afraid. CNN’s Donie O’Sullivan looks into how China is targeting US residents, online and off.",10111,773
CNN,Czm3zuAudGC,2023-11-14 01:05:41,GraphVideo,UNICEF spokesperson James Elder tells CNN that the situation for premature babies at Gaza’s Al-Shifa hospital is “lethal.” The hospital’s director told CNN that babies have been taken off incubators due to the power outage and are being wrapped in foil to keep them alive. The Israeli army told CNN it is engaged in “ongoing intense fighting” against Hamas in the vicinity of the hospital complex but rejected suggestions the hospital is under siege.,14098,4637
CNN,CzmZf_HpBhb,2023-11-13 20:41:08,GraphVideo,"The San Diego Border Patrol Sector has reported more than 230,000 encounters during the fiscal year that ended in September – a level of activity the agency has not seen in over two decades.",52078,4590
CNN,CzmVMebpfu5,2023-11-13 20:03:26,GraphVideo,Sea ice in the Arctic is melting at alarming rates. But what if it was possible to refreeze it? UK-based start-up Real Ice is developing a way to do so.,9202,439
