owner_username,url_code,time_utc,type,caption,likes,comments
FoxNews,CzrKw5DAFTQ,2023-11-15 17:08:01,GraphImage,‘GO F--- YOURSELF’: UFC CEO Dana White says he went off on a sponsor who asked him to delete a pro-Trump post. Link in bio.,15916,698
FoxNews,CzrDEbRpgDN,2023-11-15 16:00:47,GraphImage,"BEST ‘FRIENDS’: ""In the last couple weeks, I’ve been pouring over our texts to one another. Laughing and crying then laughing again. I’ll keep them forever and ever,” Aniston wrote. Link in bio.",3419,148
FoxNews,Czq8FFFM5mR,2023-11-15 14:59:41,GraphImage,"SWEPT UNDER THE RUG: “It is extremely frustrating. Newsom doesn't care about having clean streets for the constituents he serves. But at the snap of the fingers, things are clean. Just in time for this conference,” one small business owner said. Link in bio.",7815,1264
FoxNews,Czq2BEEs9hJ,2023-11-15 14:06:43,GraphImage,"STANDING STRONG: Devlin Hodges commented online saying, ""Just know there is a God and he has wonderful plans for those that believe in him!” Link in bio.",7668,653
FoxNews,Czqut6gsyL9,2023-11-15 13:02:56,GraphImage,‘PROVEN INCORRECT’: Fact checkers set the record straight after the pop star made a bold claim about censorship. Link in bio.,5482,849
FoxNews,Czqgq5mM3n7,2023-11-15 11:00:11,GraphImage,LOVE STORY: Why Swifties have something to shout about at is the link in bio.,5940,576
FoxNews,CzqZ0SdM6Y6,2023-11-15 10:00:19,GraphImage,PAGEANT PROBLEM: The company behind the iconic pageant appears to be unstable as this year’s event is slated to feature at least two transgender women. Everything to know at the link in bio.,33832,3396
FoxNews,CzqS8u3MTK8,2023-11-15 09:00:17,GraphImage,BLOWING THE WHISTLE: How Trevor Lawrence's wife turned the tables on a social media troll at the link in bio.,12083,292
FoxNews,CzqMEUnsg4o,2023-11-15 08:00:09,GraphImage,'RIDICULOUS': Jimmy Failla reacts to newly surfaced photos of the mysterious cocaine found in the White House after Secret Service closed the investigation without identifying a suspect.,10622,354
FoxNews,Czp-VmtLfWT,2023-11-15 06:00:11,GraphImage,CHECK YOUR CABINETS: Dozens of toddlers are sick after extremely high concentrations of lead were found in fruit pouches. Startling details at the link in bio.,13026,751
FoxNews,CzpwoH6A0G0,2023-11-15 04:00:23,GraphImage,'LET ME BE VERY CLEAR': House Speaker Mike Johnson doubles down on the United States’ support for Israel as thousands march through the capital condemning antisemitism. He recalls Congress’ reaction to the “unspeakable” attacks by Hamas at the link in bio.,6133,482
FoxNews,CzppvQ3rbRc,2023-11-15 03:00:09,GraphImage,'F---ED UP': Controversial soccer star Megan Rapinoe faults faith after getting hurt in the final match of her career.,23168,10060
FoxNews,Czpl5yeOjjB,2023-11-15 02:26:42,GraphImage,'MISS YOU EVERY DAY': The actress is paying tribute to her on-screen husband with a behind-the-scenes moment that sparked the “beginning” of their characters’ love story. She recalls the funny line he whispered before the iconic scene at the link in bio.,7300,110
FoxNews,CzpcB7LOges,2023-11-15 01:00:25,GraphImage,"'HAMAS MUST GO': Hillary Clinton explains why a ""full cease-fire"" that leaves Hamas in power would be a ""mistake"" at the link in bio.",23997,4457
FoxNews,CzpVQ06hT0j,2023-11-15 00:01:17,GraphImage,"GREEN LIGHT: The bill was a “clean” continuing resolution, similar to the one McCarthy was ousted over. More details at the link in our bio.",8128,496
FoxNews,CzpOUcHtp6R,2023-11-14 23:00:36,GraphImage,"WALLS ARE CLOSING IN: The aftermath of the Gaza crisis will leave Iran worse off than before, Fox News contributor Rebecca Grant says. She explains why at the link in bio.",6333,1141
FoxNews,CzpJXf3Nm9r,2023-11-14 22:17:22,GraphImage,"'SHOULD BE ASHAMED': Harvard Law professor Alan Dershowitz is accusing Obama of ""encouraging people"" to engage in their antisemitic, anti-Israel, and anti-American attitudes. Link in bio.",35292,4936
FoxNews,CzpAztYMJVL,2023-11-14 21:02:32,GraphImage,HUMILIATION 'HAS ALREADY BEGUN': Liz Peek has a prediction about how President Biden’s summit with Chinese leader Xi Jinping will go — and it’s not good for America. She weighs in on the upcoming meeting at the link in bio.,9553,990
FoxNews,Czo9Gk9shfF,2023-11-14 20:30:07,GraphSidecar,SHOULDER TO SHOULDER: Tens of thousands of people gather on Capitol Hill as they show support for Israel and condemn antisemitism. Watch at the link in bio.,110177,7419
FoxNews,Czo5rQaPJvm,2023-11-14 20:00:11,GraphImage,FAITH 'ON FIRE': The makeup guru and reality star explains why she's moving away from witchcraft and embracing Christianity at the link in bio.,40075,937
FoxNews,Czoy0cmres6,2023-11-14 19:00:16,GraphImage,'HILL' OR HIGH WATER: Republican Tim Burchett accuses Kevin McCarthy of assaulting him in the Capitol — even offering to take a polygraph test about what went down. Burchett details the play-by-play of the 'cheap shot' at the link in our bio.,7330,810
FoxNews,CzosAK9RFdW,2023-11-14 18:00:56,GraphVideo,GLOVES OFF: Senator challenges labor leader to fistfight during congressional hearing. Then Bernie Sanders plays referee and it was all caught on video. The near smackdown details at the link in our bio.,22115,1689
FoxNews,CzomOc-h1va,2023-11-14 17:10:16,GraphImage,'CHEAP SHOT': Then a chase ensued and it didn't end there: 'Hide behind mama's skirt.' The details at the lik in our bio.,3078,463
FoxNews,CzolHsTuTr2,2023-11-14 17:00:36,GraphImage,"VIGILANTE MODE: The supermodel says ""we are all over the moon for our girl"" following speculation that Gomez ""didn't agree"" with the pop star's budding relationship.",6196,350
FoxNews,CzoflHkLJRu,2023-11-14 16:12:12,GraphImage,SPACE CADETS: The mishap luckily happened after the equipment was no longer needed. See how you can catch a glimpse of it at the link in bio.,9755,538
FoxNews,CzoVneJsO4j,2023-11-14 14:45:07,GraphImage,...READY FOR IT? The attempt to honor the pop star came after Swifties ignited a firestorm with a depiction of her iconic shift over the statue.,20106,4728
FoxNews,CzoRQl6sXno,2023-11-14 14:07:03,GraphImage,"HONORING EVERYDAY HEROES: @foxnation celebrates America during the 2023 Patriot Awards at the Grand Ole Opry House on November 16, 2023. Buy your tickets at the link in our bio.",1438,108
FoxNews,CzoQgHFsmdN,2023-11-14 14:00:27,GraphImage,"PURSUIT OF HAPPINESS: ""I just want to keep doing the right thing and feeling better. I'm starting to find a will to live and I wanna lean into that, that's it. I just want to be happier,” says the musician. Link in bio.",13076,370
FoxNews,CzoJnohsjbh,2023-11-14 13:00:17,GraphImage,ALL THE KING’S MOVES: Get to know more about ‘one of most eccentric sovereigns’ at the link in our bio.,3689,234
FoxNews,CzoDa2_M7JU,2023-11-14 12:06:20,GraphVideo,'WE HAVE TO WIN': Israeli Prime Minister Benjamin Netanyahu sits down with @seanhannity to explain what's at stake in the Israel-Hamas war.,6804,1666
