owner_username,url_code,time_utc,type,caption,likes,comments
NYTimes,C0HtVJPOpEd,2023-11-26 19:10:47,GraphVideo,"An American Girl Among Hostages Released on Sunday, Biden Says

President Biden on Sunday hailed on Sunday the release of Avigail Idan, a 4-year-old U.S. citizen who Hamas held for seven weeks, and vowed to keep working to secure freedom for others in captivity and extend the pause in the fighting.

Avigail, whose name has sometimes been rendered as “Abigail” in the U.S. news media, is a dual U.S. and Israeli citizen and was seized during the Hamas terrorist attack on Oct. 7 after her parents were killed. Her case had been the focus of widespread international attention and concern as she turned 4 on Friday. She was among the 17 hostages released on Sunday, and Biden said she was “safely in Israel.”

Read more about the president’s statements at the link in our bio.",11321,3238
NYTimes,C0Hk0oBuh3C,2023-11-26 17:54:24,GraphSidecar,"Workers in sex-related industries — whether in a brothel, a strip club or online — often risk their safety and face social and employment discrimination. But a lesser-known struggle is that it’s often difficult for sex workers to maintain a basic bank account and other financial relationships that most people take for granted, even when their work is legal.

Banks are shutting down what appears to be an increasing number of customer accounts, usually with little explanation, throwing their customers’ lives into chaos. The closures have hit small-business owners who routinely deposit cash; individuals who withdrew larger sums than usual; and others who unknowingly transacted with suspected fraudsters, The New York Times has found. 

Without bank accounts, people are unable to accomplish the most basic financial tasks: collecting, spending and saving their earnings. Tap the link in our bio to learn more about the financial challenges sex workers face. Photos by @carly.zavala and Niki Chan Wylie for The New York Times",22805,511
NYTimes,C0HUGjnOHsa,2023-11-26 15:28:18,GraphSidecar,"For a desert city, Dubai appears like a water wonderland. To maintain its opulence, the city relies on freshwater it doesn’t have, turning to the sea and spending billions on energy-intensive desalination technologies that help hydrate a rapidly growing metropolis. Experts say Dubai’s reliance on desalination is damaging the Persian Gulf.

Dubai, the most populous city in the United Arab Emirates, has taken steps to address the damage of desalination with environmental initiatives and new technology, but pressure is building to do more. Later this month, the city will host the United Nations global climate summit, known as COP28, an event that has already increased tensions because of fossil fuel investments by the UAE and other participating countries.

Read more about the hefty cost of the city’s water world. Photos by @katarinapremfors",22135,382
NYTimes,C0HKH-5uFOT,2023-11-26 14:01:07,GraphSidecar,"Paju, a satellite city 22 miles northeast of Seoul, is an intentional and euphoric celebration of books and the bookmaking process.

Paju is home to the nation’s elaborate book publishing hub — officially known as Paju Publishing Culture, Information and National Industrial Park but commonly referred to as Paju Book City. The city houses around 900 book-related businesses, including printing presses, distribution companies and design studios.

The book city’s mission — to “actively support culture and arts based on books” — can be seen in buildings all over town. At the core of Paju Book City is the Asia Publication Culture and Information Center, a six-story complex that includes an education facility, an events hall and an exhibition space, and that serves as a social and professional nucleus for local publishers. The center draws almost 10,000 visitors a year. Every fall, it hosts a book festival, bringing together local authors, artists and book lovers. 

Tap the link in our bio to pay a virtual visit to the book city. Photos by @nytchangster",38685,107
NYTimes,C0Fqh7MOcAI,2023-11-26 00:05:48,GraphSidecar,"Just off Australia’s largest container port lies a neighborhood with a scent so distinctive that passing taxi drivers will sometimes roll down their windows for a whiff of the rich and unmistakably beery aroma.

That smell, officially recognized by the City of Melbourne last year for its “intangible cultural heritage,” emanates from a brick factory on a corner lot in an industrial district known as Port Melbourne. Every vessel of Vegemite, the spread beloved in Australia and not so much outside it, has begun its journey here for the past 80 years.

The brand celebrated its 100th birthday this year, but what does the “concentrated yeast extract” on the label mean? Have you tried @vegemite? Tap the link in our bio to read the full story. Photos by @abivar",24461,777
NYTimes,C0FYAUEOF7_,2023-11-25 21:23:56,GraphSidecar,"Donald Trump hasn’t won the Republican nomination, but many in the political world view it as all but inevitable. That has inspired a fair amount of speculation about who might wind up as his potential running mate in 2024. 

Tap the link in our bio to see some possible picks.",26319,3249
NYTimes,C0FGUCauzjN,2023-11-25 18:50:41,GraphVideo,"Hostages Reunite With Families at Israeli Children’s Hospital

Footage released by the Schneider children’s hospital in Israel shows women and children who had been held hostage by Hamas reuniting with loved ones.

Two dozen hostages held in Gaza, including Israelis, Thai and Filipino nationals, were released from captivity on Friday, Egyptian and Qatari officials said, and Israel confirmed it had freed 39 Palestinian prisoners and detainees.

This was the first exchange laid out by a deal between Israel and Hamas for a temporary cease-fire.

Read what we know about the released Israeli hostages and cease-fire deal at the link in our bio.",78504,5067
NYTimes,C0EzyNaOUe3,2023-11-25 16:07:26,GraphSidecar,"Moderated by Emily Bazelon, a staff writer for The New York Times Magazine, we assembled a panel of seven scholars and experts — three Palestinian, three Israeli and an American — to discuss the history of the Oslo peace process, which was the first direct dialogue between Israel and the P.L.O. and would become their most sustained effort to reach a settlement. Named for the city where the secret meetings took place, the Oslo talks ran through most of the 1990s and came as close as any negotiated process ever has to resolving this intractable conflict.

But in the end, Oslo failed. The reasons for that failure — and the lessons it has to teach us — have been debated ever since. Was it a genuine chance for peace? Was it doomed from the start? These photos show some of the pivotal moments on the road to and from Oslo. To read the complete discussion, go to the link in our bio.

Photos by Ziv Koren/Polaris, Bernard Frye/Associated Press, Micha Bar-Am/Magnum Photos, Gary Hershorn/Reuters, via Redux, Abbas/Magnum Photos, and Paolo Pellegrin/Magnum Photos",19828,2222
NYTimes,C0ElwoeOccp,2023-11-25 14:04:53,GraphImage,"@itsalislagle knows what the people want, and it's French Onion Grilled Cheese 🧅. Make it with the link in bio. Photo by @romuloyanesphotography, with food styling by @vivianhlui",76486,385
NYTimes,C0DHimXs62n,2023-11-25 00:21:35,GraphSidecar,"Hundreds of thousands of Moroccans are still estimated to be living in tents in the devastated villages of the Atlas Mountains, where a powerful earthquake on Sept. 8 killed about 3,000 people. Recent rains and flooding have further exposed residents to vulnerable living conditions as they wait for officials to act.

The government has pledged to spend about $11.8 billion to rebuild and repair the homes of an estimated 4.2 million Moroccans in the next five years. But officials are also weighing how best to restore the cultural heritage of a region that is an important part of the country’s tourism industry. Tap the link in our bio to read the full story. Photos by @hannahreyesmorales & @narimanelmofty",14072,170
