owner_username,url_code,time_utc,type,caption,likes,comments
Tabletmag,CzrBgNPrPFd,2023-11-15 15:48:13,GraphVideo,Talia from Chicago tells us about the sign she made for the March for Israel rally in DC.,1735,59
Tabletmag,CzpNRchrRdh,2023-11-14 22:53:26,GraphVideo,"The last thing Anat Moshe Shoshany heard from her 72-year-old grandmother, Adina, was a text saying that armed men were forcing their way into her house in Kibbutz Nir Oz. The last she saw of her was a clip from social media of her grandmother forced onto a motorcycle and driven away by members of Hamas. 

When her family arrived at their house, they found that the terrorists had killed Adina’s beloved husband, Anat’s grandfather David, as he tried to protect her. His body laid on the ground near where he fought bravely to hold the door closed. 

We met Anat at the rally in Washington DC and asked her about what her grandparents were like before their lives were torn apart by terror.",2801,92
Tabletmag,Czo_wxSPvZV,2023-11-14 20:54:39,GraphVideo,Omer Adam sings Hatikvah at the March for Israel rally in Washington DC.,7550,266
Tabletmag,Czo_NbRPEtw,2023-11-14 20:48:32,GraphSidecar,"Signs spotted at today’s March for Israel in Washington DC.

Photos by @aniwilc and @isaacdecastro.",18427,619
Tabletmag,CzmG_xELrmk,2023-11-13 17:58:51,GraphSidecar,"Photos from Israeli filmmaker and photographer @shahar_dekel, who has been capturing IDF soldiers on their base since the start of the war.",5874,87
Tabletmag,CzlrHT4M0Ee,2023-11-13 13:55:16,GraphSidecar,"""Before the State of Israel was born, long before its military occupation began, Palestine was the scene of what was until now the most gruesome pogrom outside of Europe.""⁠
⁠
Head to link in bio to read.",5035,230
Tabletmag,CzeKIMBMEgw,2023-11-10 15:52:22,GraphSidecar,"Shabbat spotlight: The photos of Adi Nes, the acclaimed Israeli photographer whose work is both autobiographical and representative of life in a turbulent country. His photographs are reminiscent of Renaissance or Baroque paintings and are often based on parables. Sexual tension is ever-present in Nes’ work, as he delves into complex explorations of homoeroticism. ⁠
⁠
“My staged photographs are oversized and often recall well-known scenes from Art History and Western Civilization combined with personal experiences based on my life as a gay youth growing up in a small town on the periphery of Israeli society,” said Nes.⁠
⁠
Even though soldiers are his most common subject, Nes’s photographs subvert the stereotype and tropes of the hyper-masculine, jingoistic Israeli soldier. “I allowed my subjects to be sensitive, childlike and anxious,” he says. ⁠
⁠
“Before starting work on the Soldiers series, I decided my subjects would never be in combat,” Nes has also said. “They would always be in between. They eat, sleep, take a piss, but they never fight. Still, death is always present, lingering. The sleeping soldiers on the bus look as if they may be dead, because, as I was working on these pieces, suicide bombers were blowing themselves up in buses.”",2553,49
Tabletmag,CzbyWZsr7WH,2023-11-09 17:46:02,GraphSidecar,"Today is the anniversary of Kristallnacht, a pogrom carried out by the Nazi Party overnight, while Germans let it happen. 

The anniversary dovetails with new findings from Honest Reporting, about how freelance photographers from the AP, CNN, and Reuters were present for the Hamas attacks, raising questions about their complicity.

From the archives: The Legal Status of the Bystander. Head to link in bio to read.",2043,34
Tabletmag,CzbgguMu_uS,2023-11-09 15:10:09,GraphSidecar,"“There’s no more powerful way to take ownership of your Jewish identity than through the objects required for our most important rituals.”

Head to link in bio to read full piece, from @sbutnick",6080,281
Tabletmag,CzZIHBELYfn,2023-11-08 16:58:27,GraphSidecar,"""Nobody is coming to stand up for Israel, or the welfare of the Jews, on your behalf. The overwhelming anti-Israel cultural tide is not going to suddenly ebb on its own.""

Head to link in bio to read, from @aniwilc.",2698,65
Tabletmag,CzY6SHOrFpV,2023-11-08 14:57:38,GraphSidecar,"Look around at the disarray and the chaos and the betrayal of Jews by alleged friends and allies, and you’ll see a bitter truth: Our communal leadership has gone bad.

Head to link in bio to read.",1326,82
Tabletmag,CzW4wVwvtIt,2023-11-07 20:05:48,GraphSidecar,"“I don’t want to say, ‘I told you so.’ I would have given anything to have been wrong. But I was not.”

Head to link in bio to read.",3108,53
Tabletmag,CzWiXaYyYNW,2023-11-07 16:50:13,GraphSidecar,"“Because embracing the rage can bring you to a whole new place: liberation. Lean in. We’re all screamers now.”

Head to link in bio to read.",1466,28
Tabletmag,CzWVf5Zr2yk,2023-11-07 14:57:43,GraphSidecar,"What Now? 

Link in bio to read the full collection.",3269,82
Tabletmag,CzTxFuSMm95,2023-11-06 15:01:08,GraphSidecar,"From the archives: American universities, their faculties, and their student activists are of course at liberty to exercise their academic freedoms in whatever ways they choose; they can turn their institutions into radical chic summer camps and publish all the books they want about the IDF harvesting Palestinian organs.⁠
⁠
Freedom also means that Jews should not be expected to pay for turning their children into second-class citizens, or for the destruction of the values that have made our lives as Americans possible.⁠
⁠
Head to link in bio to read.",2402,37
Tabletmag,CzMTYwaL62J,2023-11-03 17:26:52,GraphImage,"🕊️Shabbat Shalom🕊️ to everyone besides the antizionists!

From “The Un-Jews,” by Natan Sharansky and Gil Troy: “The anti-Zionists know exactly what they are doing, and what they are undoing. They are trying to disentangle Judaism from Jewish nationalism, the sense of Jewish peoplehood, while undoing decades of identity-building…these anti-Zionists join a long history of such un-Jews, who wormed their way deep into the tradition and tried to weaken Jewish identity ideologically from within by canceling a central pillar of contemporary Jewish identity, as part of what they imagine to be a wider commitment to world liberation.”

Link in bio to read Sharansky’s piece.",4884,502
Tabletmag,CzL6tdaszja,2023-11-03 13:51:17,GraphSidecar,"Hezbollah leader Hassan Nasrallah is currently making a speech in Beirut, in which he praised the legitimacy of Hamas' attacks, denied any prior Hezbollah or Iranian knowledge of the plans, described Israel as ""weaker than a spider's web,"" and blamed the United States for the war in Gaza. ⁠
⁠
His remarks are just another reminder of the threats that lurk outside Israel's borders, and precisely why Israel needs to win this war. ⁠
⁠
Head to link in bio to read.",1552,54
Tabletmag,CzJ9F7pPanZ,2023-11-02 19:33:34,GraphSidecar,"Since the Houthis, Yemen’s Islamist political movement, declared war on Israel this week, Yemenite Jews in the IDF are celebrating their culture in dance, song, and online videos.

According to a report by the United Nations last year, there is only one Jew left in Yemen. The man in question, Levi Salem Musa Marhabi, has been illegally captured and imprisoned by Houthi rebels for years. The rest have been driven out. 

Head to link in bio to read more about the history of Yemenite Jews.

#MizrahiHeritageMonth",8233,268
Tabletmag,CzJXi38xVl3,2023-11-02 14:07:30,GraphSidecar,"Be safe, and pray for the safety of others. All the best 💖⁠
⁠
Head to link in bio to read.",7074,239
Tabletmag,CzHR2zsRRvb,2023-11-01 18:37:17,GraphImage,"How did everyone get Hamas wrong, including the experts?

“I now know I suffered from a failure of imagination, both moral and practical. Under Hamas, Gaza wasn’t a place where extremists had resigned themselves to their own strange version of normality. Rather, it was an active launching pad for an insane utopia, for the vision of a purified world the group’s fighters carried out during their atrocious rampage on October 7,” writes Armin Rosen.

Head to link in bio to read.",10808,391
Tabletmag,CzG0DdDLu64,2023-11-01 14:18:22,GraphVideo,"If you’re curious why Israel has refused calls for a ceasefire, this video of Hamas political bureau member Ghazi Hamad offers a useful window into their decision-making process. 

To keep up with more developments like this, head to the link in bio to subscribe to the Scroll, Tablet’s daily afternoon newsletter, which offers updates on Israel at War.",2383,240
