owner_username,url_code,time_utc,type,caption,likes,comments
WSJ,C0Hznl2v3wM,2023-11-26 20:04:05,GraphSidecar,"Which dog breeds are your wallet’s best friend?⁠
⁠
It’s not easy to put a price on you furry companion, so we looked at data on the cost of ownership and a range of objectively desirable traits across dozens of dog breeds to determine which pups are easiest on your finances. ⁠
⁠
The top of the ranking is dominated by smaller breeds, which are less expensive to care for and generally less expensive to insure. The rat terrier, papillon, chihuahua, miniature pinscher and havanese are the top five breeds in the ranking.⁠
⁠
The best dogs for your wallet considers only 81 pure-breeds for which cost, insurance premiums and trait data was available.⁠
⁠
See our full ranking at the link in our bio.⁠
⁠
🎨: Adrienne Tong/WSJ",2592,96
WSJ,C0Fp87AMjjK,2023-11-26 00:01:23,GraphSidecar,"In Greenfield, Calif., the cultivation of vegetables, wine grapes and strawberries drives the economy. Middle and high schools and many homes in the town of 19,000 sit across the street from fields where growers apply some of the nine million pounds of pesticides used in the surrounding Monterey County each year.⁠
⁠
Farmworkers and families in Greenfield believe cancer cases in their community were caused by pesticide. Establishing whether pesticide or another environmental exposure caused cancer in a particular person is difficult. Many factors influence whether someone develops cancer, and the interplay among those forces isn’t fully understood. ⁠
⁠
When Agustin Espinoza Jaramillo shuffles to the doctor who treats his prostate cancer, he says he thinks about the three decades he spent applying pesticides to the fields that surround this Greenfield. The 72-year-old long knew some pest-killing chemicals have been linked to health problems including cancer. Even so, his own diagnosis came as a surprise. ⁠
⁠
“I can’t say that I fully understood everything I was applying,” Jaramillo said. ⁠
⁠
Some research shows pesticides can harm workers and people who live near fields where the chemicals are applied. Exposure to some pesticides has been linked to respiratory problems, neurological disorders and some cancers, said Cynthia Curl, director of the Agricultural Health Lab at Boise State University, who has published studies on the topic. ⁠
⁠
Many Greenfield residents associate local cancer cases with pesticide exposure, including City Council Member Yanely Martinez. She believes pesticide exposure caused breast cancer in her aunt, who was an agricultural worker. “It’s just not something that shocks us anymore, and it shouldn’t be like that,” Martinez said.⁠
⁠
Read more at the link in our bio.⁠
⁠
📷: @zaydee.s for @wsjphotos",3565,67
WSJ,C0FOuBXuo5b,2023-11-25 20:03:40,GraphVideo,"On a barrier island off the coast of Florida, Ian Enochs runs a high-tech “coral gym” where he trains the colorful invertebrates to be survivors.⁠
⁠
Enochs and his colleagues are looking for individuals strong enough to withstand the kind of marine heat wave that threatened to wipe out Florida’s 360-mile-long coral reef this summer—an ecological disaster that also put the state’s fishing, tourism and beaches at risk.⁠
⁠
The full extent of the losses are still being tallied, but recent estimates from the Florida Fish and Wildlife Research Institute found that 60% of the 558 coral reef sites regularly monitored from Miami south to the Dry Tortugas National Park were severely bleached.⁠
⁠
Florida’s coral reef is the world’s third-longest barrier reef behind those in Australia and Belize. It draws tens of thousands of tourists each year; serves as a nursery for commercial seafood species such as grouper, red snapper, lobster and shrimp; and shields the state’s coastal areas from storms and flooding.⁠
⁠
Now that the heat wave has passed, scientists like Enochs are working overtime to engineer more climate-resistant corals. They are creating booster shots to keep them alive, deploying in vitro fertilization to make larvae grow faster, and importing coral species from around the Caribbean to breed with those in Florida.⁠
⁠
Read more at the link in our bio.⁠
⁠
🎥: Alfonso Duran for @wsjphotos",1023,17
WSJ,C0CHXeOMpst,2023-11-24 15:01:46,GraphImage,"Holiday shoppers scouring Black Friday deals are in for a pleasant surprise: Many popular gifts are cheaper now than they were a year ago, when inflation was still near its 40-year peak. ⁠
⁠
Prices for TVs, smartphones, toys, sofas and other items that often get wrapped up in bows have all dropped since last year’s holiday season. ⁠
⁠
There are several reasons. Consumers are spending more on experiences such as travel and concerts, reducing demand for goods. Store shelves also are amply stocked—thanks to a lessening of the pandemic-era supply disruptions that triggered shortages last year.⁠
⁠
More broadly, overall inflation has declined significantly as the economy shows signs of cooling, from slower job growth to sluggish retail spending last month. ⁠
⁠
Retailers such as Walmart say an era of price hikes is fading. Adobe, which tracks online sales through its analytics arm, predicts holiday discounting will hit record highs as retailers struggle with the uncertain outlook for consumer spending. ⁠
⁠
Read more at the link in our bio.",1794,49
WSJ,C0AjCmwRkfD,2023-11-24 00:24:12,GraphSidecar,"The last time his family gathered for Thanksgiving, Wall Street Journal reporter Evan Gershkovich took the lead on cooking with his father.⁠
⁠
This year, they saved an empty seat for him at the table.⁠
⁠
Gershkovich, a 32-year-old U.S. citizen, was detained on March 29 while on a reporting trip in Russia and held on an allegation of espionage that he, the Journal and the U.S. government vehemently deny. ⁠
⁠
Several of Gershkovich’s close friends flew to the U.S. this year to spend Thanksgiving with his family. His friends, parents and sister Danielle gathered at her apartment in Philadelphia. ⁠
⁠
The family’s Thanksgiving guests included his friends Polina Ivanova, Pjotr Sauer and Masha Borzunova, fellow journalists who have advocated for the Journal reporter’s release from Russian prison. ⁠
⁠
“We feel they are already part of the family,” Danielle Gershkovich said in an interview ahead of the holiday gathering. ⁠
⁠
Food, she said, is a love language in their family. Known among his friends and family for his gregarious nature, her brother would find any excuse to bring people together over a meal, she said. ⁠
⁠
Read more about Evan at the link in our bio.⁠
⁠
📷: Rachel Wisniewski for @wsjphotos",4331,29
WSJ,Cz_ps5MsitJ,2023-11-23 16:03:20,GraphImage,"Your phone deserves a seat at the Thanksgiving table.⁠
⁠
Have you ever tried to chat between dinner courses with a relative whose mind seems to be elsewhere? That person might appear to be sweating or even breaking out in hives. It could be because of your aunt’s sweet-potato casserole. Or it could be smartphone withdrawal.⁠
⁠
We have so readily accepted the supposed virtues of ditching our devices at holiday get-togethers that you’d think logging off was enshrined on the first Thanksgiving in 1621. The argument is that we’re better company when we’re fully present, instead of scrolling social media or checking email.⁠
⁠
But device separation can produce real anxiety, says Kia-Rai Prewitt, a psychologist at the Cleveland Clinic. For people who refresh their feeds and inboxes multiple times an hour on workdays and weekends—aka, many of us—going cold turkey during a holiday party can leave them unable to focus on conversations.⁠
⁠
Her advice: Let yourself check new messages and posts a few times on Thanksgiving. Chances are you’ll find that all is quiet or, if not, you can handle whatever needs attention. Having put your mind at ease, you’ll be more present for the people around you than if you’d gone fully offline.⁠
⁠
You can also use smartphones to enhance discussion, by showing your grandma photos from your latest vacation or discreetly loading your brother-in-law's LinkedIn page to remind yourself of his new job. Maybe you need your smartphone to end conversations, like when your mom asks about your dating life. You could tell her it’s none of her business…or feign an urgent text from your “crazy” boss.⁠
⁠
Read more at the link in our bio.⁠
⁠
Photo illustration: @elenamadeit/The Wall Street Journal, iStock, Getty Images",2550,89
WSJ,Cz_gGkbOMGb,2023-11-23 14:39:14,GraphImage,"Everyone says Taylor Swift is huge, she’s fabulous, but really it’s bigger than that. What she did this year is some kind of epic American story, writes Peggy Noonan for @wsjopinion.

Her tour has broken attendance and income records across the country. She has transformed the economy of every city she visits. Downtowns across the country—uniquely battered by the pandemic and the riots and demonstrations of 2020—are, while she is there, brought to life, with an influx of visitors and a local small business boom. Wherever she went it was like the past three years didn’t happen.

When the tour became a bonafide record-breaker, Swift gave everyone in her crew—everyone, the dressers, the guys who move the sets, the sound techs and backup dancers—a combined $55 million in bonuses.

All of this is phenomenal, groundbreaking, but it’s just economics. Taylor Swift brings joy. When she played in downtown Seattle in July, the stomping was so heavy and the stadium shook so hard it registered on a seismometer as equal to a magnitude 2.3 earthquake.

Her special bond with her audience is that for 17 years, more than a generation, they’ve been going through life together, experiencing it and talking it through. It’s a relationship.

This is some kind of epic American thing that is happening, something on the order of great tales and myths. There is just something so mightily American in Taylor Swift’s great year.

Read more at the link in @wsjopinion's bio.

Photo: Michael Tran/AFP/Getty",19169,811
WSJ,Cz97jhcsf5N,2023-11-23 00:01:06,GraphImage,"Everybody seems to have a theory about why many young adults have trouble with so-called soft skills, which include the art of persuasion and civil conversation. Blame smartphone addiction, Covid cocooning or helicopter parenting. ⁠
⁠
Regardless of cause, a growing number of college professors in various disciplines around the U.S. are trying to keep professional chitchat from becoming a lost language.⁠
⁠
Employers see it, even if students don’t. When college seniors were asked to rate their communication, nearly 80% responded “very/extremely proficient.” Only 54% of employers agreed, according to 2022 surveys by the National Association of Colleges and Employers.⁠
⁠
Jana Mathews, a professor of Medieval literature at Rollins College, said she understood why many of her students weren’t getting hired for jobs, saying they offered “no evidence that they had the interpersonal or communication skills to succeed at them.” That prompted her to initiate a Job Market Boot Camp class and similar exercises to help students unmute.⁠
⁠
Mathews checks the bathrooms to coax out students hiding from the big event in the class, a mixer with alumni to practice professional networking. For many of her students, the face-to-face conversations with strangers are more nerve-racking than decoding Chaucer. Sydney Parmet had trouble sleeping the night before and considered skipping it. “I kept overthinking what I was going to say and second-guessed whether I should say anything,” said Parmet, who graduated in May from the Winter Park, Fla., campus.⁠
⁠
Mathews recommends students try swiping deodorant on palms to avoid clammy handshakes. Those who vomit from nerves should pop a breath mint. If the question, “Tell me about yourself,” triggers temporary amnesia, consult your prepared script, she says. Students practice moving from introductions to asking about the other person to giving their elevator pitch that covers their interests, work experience and skills.⁠
⁠
Read more at the link in our bio.⁠
⁠
Photo: Adeline Davis",15166,259
WSJ,Cz9LssiS_Y9,2023-11-22 17:03:34,GraphImage,"Teen boys are falling for an online nude-photo scam that has evolved in recent years to include monetary shakedowns. ⁠
⁠
Scammers posing as teen girls befriend boys online, share nude photos of a girl and then ask for nude photos in return. Once the boy reciprocates, the schemer demands money be sent by a peer-to-peer payment app and threatens to share the boy’s photos with his social-media followers if he doesn’t pay.⁠
⁠
That is how law-enforcement officials and child-protection experts describe a growing wave of online predators targeting teens. Previously, online sextortion—as they call it—largely involved pedophiles blackmailing kids into sending photos or videos. These new scammers focus on money, law-enforcement officials say.⁠
⁠
Three years ago, the National Center for Missing and Exploited Children received fewer than 10 reports of this sort of financial extortion. Last year, the congressionally mandated nonprofit received more than 10,000—and has already received 12,500 this year.⁠
⁠
In a survey of more than 6,000 teens and young adults in the U.S. and five other countries conducted by Snapchat’s parent company, 65% of respondents said they or their friends have been targeted in schemes where unknown attackers obtained explicit personal imagery or other private information, then threatened to release the material to friends and family. The majority of those approached were boys.⁠
⁠
Boys are easily lured because they respond to sexual photos more readily than girls do, says Lauren Coffren, NCMEC’s executive director. As soon as boys send their own photos, she says, “The immediate response back is, ‘I’m going to ruin your life if you don’t pay me.’” More than a dozen teen boys in the U.S. have killed themselves in instances involving these scams, she adds.⁠
⁠
At the link in our bio, learn what parents and teens can do to avoid sextortion.⁠
⁠
🎨: @jon_krause_art",11712,310
WSJ,Cz7jD8WIp_U,2023-11-22 01:48:17,GraphImage,"Israel said it agreed to a deal with Hamas to free 50 civilian hostages held by militants in Gaza in return for the release of Palestinian prisoners from Israeli jails and a series of pauses in the fighting.⁠
⁠
The Israeli cabinet approved the deal after a long deliberation in Jerusalem.⁠
⁠
It capped weeks of painstaking negotiations brokered by Qatar, Egypt and the U.S., marking the first major diplomatic breakthrough since the war began on Oct. 7.⁠
⁠
Read more at the link in our bio.",6441,816
WSJ,Cz7WwNYIb3A,2023-11-22 00:01:09,GraphImage,"Americans’ support for abortion access is at one of the highest levels on record since nonpartisan researchers began tracking it in the 1970s, new results from a WSJ-NORC poll show.⁠
⁠
Some 55% of respondents say it should be possible for a pregnant woman to obtain a legal abortion if she wants it for any reason. The poll, conducted for the Journal by NORC at the University of Chicago, surveyed 1,163 registered voters from Oct. 19-24. ⁠
⁠
Since the Supreme Court ended the constitutional right to the procedure, abortion-rights groups have notched seven consecutive victories in state ballot initiatives. Behind these successes is a decadeslong shift among Americans in support of access to the procedure.⁠
⁠
Democrats and independent voters—whose support of abortion rights was roughly in line with that of Republicans up until the 1990s—now back access to the procedure by greater margins. About 77% of Democrats in the new poll say they support access to abortion for any reason, up from 52% in 2016. Among Republicans, that share is one-third.⁠
⁠
Many voters have nuanced views, including backing restrictions later in pregnancy and exceptions for difficult circumstances, that they say aren’t well captured by current legislative proposals. Nearly nine in 10 poll respondents support abortion access in the event of rape or incest, or when a woman’s health is seriously endangered by the pregnancy.⁠
⁠
Read more at the link in our bio.",3644,373
