owner_username,url_code,time_utc,type,caption,likes,comments
Aljazeeraenglish,Czq5MUUtbFc,2023-11-15 14:35:19,GraphVideo,"The Middle East is witnessing a Western naval build-up that hasn't been seen for decades, from aircraft carriers to missile cruisers and much more. In collaboration with Al Jazeera's Sanad digital investigations team, Project Force host @alex_aljazeera explains.",7989,470
Aljazeeraenglish,CzmI4l0Ihbd,2023-11-13 18:26:04,GraphVideo,"In this Fact Check, Al Jazeera’s @khalidmajzoubofficial takes a look at the Israeli army’s claim that it offered fuel to Gaza’s al-Shifa hospital, and that the hospital’s staff refused to collect it. 
.
#israel_gaza_war #occupation",17796,821
Aljazeeraenglish,CzsDFXaIVTn,2023-11-16 01:20:15,GraphImage,"The world has seen enough of the tragedy in #Gaza and it is time for countries to use their influence over #Israel to put a stop to “this real crime against humanity,” says South African FM Naledi Pandor.⁠
.⁠
🔗Tap the link in bio for more.⁠
.⁠
#Israel_Gaza_War⁠
.⁠
📸 File: Andrew Harnik, @apnews",1586,39
Aljazeeraenglish,Czr6BAFpFGp,2023-11-16 00:03:45,GraphVideo,"Al Jazeera challenges a Pentagon spokesperson over #US intelligence on #Gaza. The spokesperson says the US has “no boots on the ground in Gaza”. ⁠
.⁠
#Israel_Gaza_War⁠",5794,277
Aljazeeraenglish,Czrx7Edtnzw,2023-11-15 22:50:34,GraphVideo,"“The Israeli government has put forward no evidence that would justify stripping hospitals of special protections they have under international humanitarian law” - Omar Shakir, Israel and Palestine director, HRW. International outcry over #Israel’s raid on al-Shifa Hospital in #Gaza.⁣
.⁣
#Israel_Gaza_War",6945,235
Aljazeeraenglish,CzrsHaTBfjd,2023-11-15 22:02:20,GraphVideo,"Francesca Albanese, UN Special Rapporteur on the occupied #Palestinian territories, has said that #Israel cannot claim the right of ‘self-defence’ under international law because #Gaza is a territory which it occupies. Her comments came in a speech to the National Press Club in Canberra, Australia. ⁠
.⁠
#Israel_Gaza_war",21464,423
Aljazeeraenglish,CzrsOAdyF8o,2023-11-15 22:00:46,GraphVideo,"""We want our Palestinian brothers and sisters to know, we care for you, we’re concerned about you, we’re raising our voices, we’re hitting the streets, we’re going to jail.” ⁣
.⁣
Cornel West, #US Philosopher and Political activist tells Al Jazeera how many #Americans feel about the war on #Gaza.⁣
.⁣
#Israel_Gaza_War",2168,57
Aljazeeraenglish,CzrqCBuseFo,2023-11-15 21:41:24,GraphImage,"The #UN Security Council has passed a resolution calling for extended humanitarian pauses in #Gaza.⁠
.⁠
More than 11,300 Palestinians have been killed in #Israeli strikes on Gaza since October 7. In #Israel, the official death toll from #Hamas’s attacks stands at more than 1,200.⁠
.⁠
🔗Tap the link in bio for 🔴 LIVE updates.⁠
.⁠
#Israel_Gaza_war #humanitariancrises ⁠
.⁠
GFX by @AJ_labs",13979,555
Aljazeeraenglish,Czrl5XyrJZG,2023-11-15 21:07:09,GraphVideo,"“We are hoping that our protest put that ship on notice and put communities around the world on notice.”
.
🎧 On #AJTheTake, we hear from @aroc_bayarea’s Mohamed Shehk about US protests against weapon shipments to Israel ⤵️
.
🔗 Tap the link in @ajepodcasts’ bio to listen and subscribe 🎧
.
#Israel_Gaza_War",820,6
Aljazeeraenglish,Czred6_r5qQ,2023-11-15 20:00:38,GraphVideo,"Al Jazeera’s @rawanalahmadd puts into perspective how cities around the world would look if #Gaza was in them.⁣
.⁣
#Israel_Gaza_War",2402,98
Aljazeeraenglish,CzrbmvSLXpz,2023-11-15 19:35:19,GraphImage,"President Xi Jinping aims to revive investments in a sluggish #Chinese economy while #US President Joe Biden looks to keep temperatures ‘low’ in Asia-Pacific. ⁠
.⁠
🔗Tap the link in bio for more.⁠
.⁠
#China #APECSummit #Economy #Business ⁠
.⁠
📸 Kevin Lamarque, @Reuters",857,38
Aljazeeraenglish,CzrWXX8tL1z,2023-11-15 18:49:47,GraphVideo,"""The kind of attacks that are taking place in Gaza, including today's attacks, seem to be clearly in violation of international humanitarian law obligations.""⁣
Srinivas Burra, assistant professor of international humanitarian law in New Delhi, speaks to Al Jazeera about #Israel's attacks on hospitals in #Gaza.⁣
.⁣
#Israel_Gaza_War",1135,18
Aljazeeraenglish,CzrPbC1S5ek,2023-11-15 17:48:54,GraphImage,"Inspired by Virat Kohli and Mohammed Shami, #India overcame a valiant New Zealand fightback to enter the ICC Cricket World Cup 2023 final on home soil.⁠
.⁠
India beat New Zealand by 70 runs in the first semifinal in Mumbai on Wednesday.⁠
.⁠
🔗Tap the link in bio for more.⁠
.⁠
#Cricket #Sports #CricketWorldCup #ICCWorldCup⁠
.⁠
📸 Rafiq Maqbool, @apnews",10258,223
