datetime,url,title
2023-11-19 15:57:00,/article/idUSKBN32E0CA,"Israel says soldier executed, foreign hostages held at Gaza's Shifa hospital"
2023-11-19 15:52:00,/article/idUSKBN32E0FC,"Three more journalists killed in Gaza in Israeli offensive, relatives say"
2023-11-19 15:42:00,/article/idUSL1N3CK0BM,"Three more journalists killed in Gaza in Israeli offensive, relatives say"
2023-11-19 15:08:00,/article/idUSL1N3CK0GG,"UPDATE 1-Israel says soldier executed, foreign hostages held at Gaza's Shifa hospital"
2023-11-19 14:31:00,/article/idUSKBN32E004,Israel-Hamas hostage deal edges closer despite fierce fighting in Gaza
2023-11-19 13:48:00,/article/idUSKBN32E09H,"Israel says Houthis seize ship in Red Sea, no Israelis among owners or crew"
2023-11-19 12:32:00,/article/idUSL1N3CJ0M8,WRAPUP 11-Israel-Hamas hostage deal edges closer despite fierce fighting in Gaza
2023-11-19 12:21:00,/article/idUSKBN32E093,"Israel 'hopeful' significant number of hostages could be freed, ambassador says"
2023-11-19 12:14:00,/article/idUSL8N3CK0CZ,"UPDATE 3-Israel says Houthis seize ship in Red Sea, no Israelis among owners or crew"
2023-11-19 12:13:00,/article/idUSS8N3AS01D,"Gaza government: 13,000 Palestinians killed, 30,000 injured since Oct. 7"
2023-11-19 11:13:00,/article/idUSKBN32E07Q,"Palestinian Red Crescent, UN agencies evacuate Al Shifa premature babies -statement"
2023-11-19 11:10:00,/article/idUSKBN32E0AU,Russia and Iran call for ceasefire in Gaza
2023-11-19 11:05:00,/article/idUSKBN32E0AQ,Jordan's king says immediate ceasefire in Gaza needed to avert humanitarian catastrophe
2023-11-19 10:39:00,/article/idUSL1N3CK089,UPDATE 1-Jordan's king says immediate ceasefire in Gaza needed to avert humanitarian catastrophe
2023-11-19 10:32:00,/article/idUSKBN32E08X,"Gaza hostage deal closer than ever, US official says"
2023-11-19 08:56:00,/article/idUSKBN32E08G,Palestinians search for shelter as wider Israeli campaign mounts
2023-11-19 08:50:00,/article/idUSL4N3CK07F,Palestinians search for shelter as wider Israeli campaign mounts
2023-11-19 08:07:00,/article/idUSL1N3CK08U,"UPDATE 1-Palestinian Red Crescent, UN agencies evacuate Al Shifa premature babies -statement"
2023-11-19 07:28:00,/article/idUSL8N3CK0AR,"France to send new medical supplies, hospital ship to Gaza"
2023-11-19 06:53:00,/article/idUSS8N3C603I,"Palestinian Red Crescent, UN agencies evacuate Al Shifa premature babies -statement"
2023-11-19 05:33:00,/article/idUSKBN32E04Q,Qatar says challenges to Israel-Hamas hostage deal are 'just logistical'
2023-11-19 05:12:00,/article/idUSL8N3CK07Z,Jordan's king says immediate ceasefire in Gaza needed to avert humanitarian catastrophe
2023-11-19 05:03:00,/article/idUSS8N3C603B,EU's Borrell: UN resolution on humanitarian pauses in Gaza must be implemented
2023-11-18 21:57:00,/article/idUSKBN32B258,"Tentative Gaza deal reached to free some hostages, pause fighting-report"
2023-11-18 21:54:00,/article/idUSKBN32E01T,White House says no deal between Israel and Hamas yet -spokesperson
2023-11-18 21:08:00,/article/idUSKBN32E011,"U.S., Israel and Hamas reach tentative deal to pause conflict and free dozens of hostages- WaPo"
2023-11-18 21:08:00,/article/idUSL1N3CK00T,"UPDATE 1-U.S., Israel and Hamas reach tentative deal to pause conflict and free dozens of hostages- WaPo"
2023-11-18 20:16:00,/article/idUSKBN32E00X,Humanitarian team describes Gaza's Al Shifa Hospital as 'death zone'- WHO
2023-11-18 20:14:00,/article/idUSL1N3CK007,UPDATE 1-Humanitarian team describes Gaza's Al Shifa Hospital as 'death zone'- WHO
2023-11-18 18:58:00,/article/idUSP8N3BK02F,Humanitarian team assesses situation at Gaza's Al Shifa Hospital - WHO
2023-11-18 18:40:00,/article/idUSKBN32D0H2,More than 550 Russians evacuated from Gaza so far - Russia
2023-11-18 18:18:00,/article/idUSKBN32C1ST,Israel kills 5 Palestinian fighters in West Bank air strike
2023-11-18 17:27:00,/article/idUSKBN32D0G3,"Iraq's Kataeb Hezbollah says attacks aim to 'drain' US, sanctions 'ridiculous'"
2023-11-18 17:18:00,/article/idUSL1N3CJ0LZ,"Iraq's Kataeb Hezbollah says attacks aim to 'drain' US, sanctions 'ridiculous'"
2023-11-18 16:37:00,/article/idUSKBN32D0EL,Biden says Palestinian Authority should ultimately govern Gaza and West Bank
2023-11-18 14:31:00,/article/idUSKBN32C1OW,"APEC leaders divided on Ukraine, Gaza wars, back WTO reform"
2023-11-18 13:48:00,/article/idUSL1N3CH2XM,WRAPUP 10-Israeli strikes kill dozens in Gaza as offensive against Hamas set to widen
2023-11-18 12:17:00,/article/idUSKBN32D0AL,Israel's government faces pressure as hostage families march on Jerusalem seeking answers
2023-11-18 11:54:00,/article/idUSKBN32D0C2,No anomalies in Germany's aid to Palestinians - Foreign Ministry
2023-11-18 10:21:00,/article/idUSL8N3CJ0GJ,"SPECIAL REPORT-At a Gaza hospital, a midwife brings new life and volunteers tend to the dead"
2023-11-18 10:08:00,/article/idUSKBN32D0AP,"Iranians protest civilian Gaza deaths, Guards chief sees 'war of attrition'"
2023-11-18 10:03:00,/article/idUSL1N3CJ0EJ,"Iranians protest civilian Gaza deaths, Guards chief sees 'war of attrition'"
2023-11-18 09:02:00,/article/idUSKBN32D05O,Jordan doubts Israel can destroy Hamas as Gaza war rages
2023-11-18 08:43:00,/article/idUSKBN32D08Y,Turkey will seek to rebuild Gaza if ceasefire achieved - Erdogan cited by media
2023-11-18 07:05:00,/article/idUSKBN32D04B,"Palestinian detainees report Israeli beatings, mistreatment as West Bank arrests surge"
2023-11-18 06:44:00,/article/idUSKBN32D04H,Jordan minister doubts Israel can wipe out Hamas
2023-11-18 04:28:00,/article/idUSKBN32D05V,"Hezbollah, Israel trade strikes at Lebanese border in latest escalation"
2023-11-18 04:26:00,/article/idUSS8N3C6033,UAE official says Israel statements on longer term presence in Gaza worrying
2023-11-18 04:21:00,/article/idUSKBN32D05F,Analysis-Israeli offensive in south Gaza will put civilians in firing line
2023-11-18 04:01:00,/article/idUSKBN32D00J,Exclusive-IMF chief says Biden-Xi engagement an important signal for world to cooperate
2023-11-18 03:11:00,/article/idUSKBN32D05B,Tanzania says one of two citizens missing in Hamas attack confirmed dead
2023-11-18 02:13:00,/article/idUSS8N3C6031,"Six Palestinians killed in Israeli air strike in southern Gaza, health officials say"
2023-11-18 02:00:00,/article/idUSL8N3CH6V0,"Palestinian detainees report Israeli beatings, mistreatment as West Bank arrests surge"
2023-11-17 22:41:00,/article/idUSL1N3CI3AU,"UPDATE 2-APEC leaders divided on Ukraine, Gaza wars, back WTO reform"
